%m vratio
0.76736 0.028325
0.7762457 0.0277125
0.7852342 0.0272375
0.7943267 0.026575
0.8035246 0.0257375
0.812829 0.0253875
0.8222411 0.024225
0.8317622 0.02375
0.8413936 0.0232
0.8511364 0.02215625
0.8609921 0.0218875
0.870962 0.0205875
0.8810472 0.0204375
0.8912493 0.02
0.9015695 0.01914375
0.9120091 0.0192
0.9225697 0.0186375
0.9332526 0.01820625
0.9440591 0.0177875
0.9549908 0.0175625
0.9660491 0.0170125
0.9772354 0.0165625
0.9885513 0.0162
0.9999982 0.01585
1.011578 0.01570625
1.023291 0.01479375
1.03514 0.01474375
1.047127 0.0143125
1.059252 0.01406875
1.071517 0.01365
1.083925 0.01333125
1.096476 0.0131375
1.109173 0.012725
1.122016 0.01265
1.135009 0.012575
1.148151 0.012375
1.161446 0.0122125
1.174895 0.01195
1.1885 0.01174375
1.202262 0.01141875
1.216184 0.0115
1.230266 0.0113375
1.244512 0.0114125
1.258923 0.01096875
1.273501 0.01079375
1.288247 0.01059375
1.303164 0.01055625
1.318254 0.0106625
1.333519 0.01058125
1.34896 0.01025
1.364581 0.00958125
1.380382 0.0096625
1.396366 0.00915
1.412535 0.00929375
1.428891 0.0093
1.445437 0.0089625
1.462174 0.0085625
1.479106 0.008525
1.496233 0.00843125
1.513558 0.0085375
1.531084 0.0079625
1.548814 0.00838125
1.566748 0.0077875
1.58489 0.007775
1.603242 0.00758125
1.621807 0.007425
1.640586 0.0074375
1.659584 0.00705
1.678801 0.00690625
1.69824 0.00689375
1.717905 0.00708125
1.737797 0.00655625
1.75792 0.0064875
1.778276 0.0062375
1.798867 0.00611875
1.819697 0.00605
1.840768 0.00604375
1.862083 0.0055625
1.883645 0.00536875
1.905457 0.0053125
1.927521 0.00526875
1.94984 0.00501875
1.972418 0.00460625
1.995258 0.00456875
2.018362 0.00460625
2.041734 0.0046125
2.065376 0.004325
2.089292 0.0042875
2.113484 0.00404375
2.137957 0.0041875
2.162714 0.00409375
2.187757 0.00385
2.21309 0.00381875
2.238716 0.00374375
2.264639 0.00373125
2.290862 0.00375625
2.317389 0.0036
2.344223 0.00365625
2.371368 0.00335
2.398827 0.00329375
2.426604 0.00330625
2.454703 0.0031875
2.483127 0.00328125
2.51188 0.0030375
2.540967 0.00308125
2.57039 0.00314375
2.600153 0.00294375
2.630262 0.0030125
2.660718 0.0033
2.691528 0.0030625
2.722695 0.00303125
2.754222 0.0031875
2.786114 0.00316875
2.818376 0.00301875
2.851011 0.00305625
2.884024 0.00315
2.91742 0.00289375
2.951202 0.00294375
2.985375 0.0030875
3.019944 0.0027875
3.054913 0.00289375
3.090287 0.00293125
3.126071 0.00270625
3.162269 0.00276875
3.198887 0.00285625
3.235928 0.00280625
3.273398 0.0028375
3.311302 0.00281875
3.349645 0.00273125
3.388433 0.00261875
3.427669 0.002825
3.467359 0.0027875
3.507509 0.00284375
3.548124 0.00275
3.58921 0.00273125
3.630771 0.00285
3.672813 0.002875
3.715342 0.00275
3.758364 0.0028
3.801883 0.0027
3.845907 0.00255625
3.89044 0.002775
3.93549 0.0026125
3.981061 0.00260625
4.027159 0.0024875
4.073791 0.00245
4.120964 0.00238125
4.168682 0.0023375
4.216953 0.0023125
4.265783 0.002225
4.315178 0.0023
4.365146 0.0022375
4.415691 0.0021875
4.466823 0.00228125
4.518546 0.0021125
4.570868 0.00213125
4.623796 0.002
4.677338 0.002075
4.731498 0.00195625
4.786286 0.00181875
4.841709 0.00174375
4.897773 0.00180625
4.954487 0.0016875
5.011857 0.0016875
5.069891 0.001725
5.128598 0.0016125
5.187984 0.0016875
5.248058 0.0015625
5.308828 0.00150625
5.370301 0.00153125
5.432487 0.0016
5.495391 0.00155
5.559025 0.00146875
5.623395 0.0015625
5.688511 0.001425
5.754381 0.00155625
5.821013 0.0015625
5.888418 0.00155
5.956602 0.00158125
6.025577 0.0015875
6.095349 0.0015125
6.16593 0.0015125
6.237328 0.001575
6.309553 0.00149375
6.382614 0.00151875
6.456521 0.00150625
6.531284 0.00146875
6.606913 0.00151875
6.683417 0.00146875
6.760807 0.00146875
6.839094 0.0013875
6.918286 0.00138125
6.998396 0.0013875
7.079434 0.0013875
7.16141 0.0013125
7.244335 0.00143125
