%a vratio
0.0 0.00028125
0.0625 0.0002625
0.125 0.0002875
0.1875 0.00025
0.25 0.00024375
0.3125 0.0002375
0.375 0.0002375
0.4375 0.000225
0.5 0.00021875
0.5625 0.00020625
0.625 0.00019375
0.6875 0.000175
0.75 0.00015625
0.8125 0.00014375
0.875 0.00013125
0.9375 0.00011875
1.0 0.00010625
1.0625 8.75e-05
1.125 7.5e-05
1.1875 6.25e-05
1.25 5e-05
1.3125 3.75e-05
1.375 2.5e-05
1.4375 6.25e-06
1.5 0.0
1.5625 0.0
1.625 0.0
1.6875 0.0
1.75 0.0
1.8125 0.0
1.875 0.0
1.9375 0.0
2.0 0.0
2.0625 0.0
2.125 0.0
2.1875 0.0
2.25 0.0
2.3125 0.0
2.375 0.0
2.4375 0.0
2.5 0.0
2.5625 0.0
2.625 0.0
2.6875 0.0
2.75 0.0
2.8125 0.0
2.875 0.0
2.9375 0.0
3.0 0.0
3.0625 0.0
3.125 0.0
3.1875 0.0
3.25 0.0
3.3125 0.0
3.375 6.25e-06
3.4375 0.0
3.5 1.25e-05
3.5625 3.75e-05
3.625 8.125e-05
3.6875 0.0001375
3.75 0.0002125
3.8125 0.0002625
3.875 0.0003
3.9375 0.000325
4.0 0.00045625
4.0625 0.00069375
4.125 0.00061875
4.1875 0.00055
4.25 0.0005625
4.3125 0.00060625
4.375 0.0006125
4.4375 0.00065
4.5 0.0006625
4.5625 0.0007
4.625 0.00073125
4.6875 0.00080625
4.75 0.0008375
4.8125 0.0009
4.875 0.00090625
4.9375 0.0009125
5.0 0.00096875
5.0625 0.00106875
5.125 0.00111875
5.1875 0.0012
5.25 0.0012125
5.3125 0.001225
5.375 0.00131875
5.4375 0.0012875
5.5 0.00135
5.5625 0.00130625
5.625 0.0013625
5.6875 0.00135
5.75 0.0014125
5.8125 0.001425
5.875 0.0015375
5.9375 0.001475
6.0 0.00155625
6.0625 0.00156875
6.125 0.00164375
6.1875 0.00155625
6.25 0.00164375
6.3125 0.00155
6.375 0.00170625
6.4375 0.0015375
6.5 0.00161875
6.5625 0.00160625
6.625 0.00160625
6.6875 0.0016
6.75 0.0015125
6.8125 0.00156875
6.875 0.00153125
6.9375 0.00151875
7.0 0.0014875
