#g P
0.09999999 0.0030375
0.1011579 0.00305625
0.1023293 0.00295625
0.1035142 0.00303125
0.1047129 0.00306875
0.1059254 0.00295625
0.1071519 0.0030125
0.1083927 0.002975
0.1096478 0.0029875
0.1109175 0.0028875
0.1122018 0.00286875
0.1135011 0.0030625
0.1148153 0.00309375
0.1161449 0.00295
0.1174897 0.0029
0.1188502 0.00294375
0.1202264 0.00285
0.1216186 0.0029125
0.1230268 0.0030375
0.1244514 0.0029
0.1258925 0.00289375
0.1273503 0.00284375
0.1288249 0.00301875
0.1303166 0.00310625
0.1318256 0.00295625
0.1333521 0.00300625
0.1348962 0.0030125
0.1364583 0.0030625
0.1380384 0.00313125
0.1396368 0.003
0.1412537 0.00305
0.1428893 0.0031
0.1445439 0.00308125
0.1462177 0.00308125
0.1479108 0.00299375
0.1496235 0.00305625
0.1513561 0.00304375
0.1531087 0.00310625
0.1548816 0.00316875
0.156675 0.00328125
0.1584892 0.0032125
0.1603245 0.00325625
0.1621809 0.0031625
0.1640589 0.0033875
0.1659586 0.00341875
0.1678803 0.00365
0.1698243 0.0038
0.1717908 0.00383125
0.17378 0.00403125
0.1757923 0.004
0.1778278 0.0040375
0.179887 0.004275
0.18197 0.00410625
0.1840771 0.00419375
0.1862086 0.00444375
0.1883648 0.0044125
0.190546 0.0044125
0.1927524 0.0045875
0.1949843 0.00470625
0.1972422 0.004825
0.1995261 0.004875
0.2018365 0.0051875
0.2041737 0.00515
0.2065379 0.00520625
0.2089295 0.00535625
0.2113487 0.0056
0.2137961 0.00560625
0.2162717 0.00574375
0.218776 0.0056375
0.2213093 0.00593125
0.2238719 0.00575
0.2264642 0.00615
0.2290866 0.0061375
0.2317393 0.00620625
0.2344227 0.006025
0.2371372 0.00605
0.2398831 0.00608125
0.2426608 0.0060125
0.2454707 0.0062
0.2483131 0.0060125
0.2511884 0.0057625
0.254097 0.00595625
0.2570393 0.00593125
0.2600157 0.0057875
0.2630266 0.00594375
0.2660722 0.00584375
0.2691532 0.0057875
0.2722699 0.0057
0.2754226 0.00576875
0.2786118 0.00579375
0.281838 0.00583125
0.2851015 0.0058
0.2884029 0.00585
0.2917424 0.00585
0.2951206 0.0057
0.2985379 0.00568125
0.3019949 0.0055125
0.3054918 0.00558125
0.3090292 0.00549375
0.3126076 0.0054625
0.3162274 0.00534375
0.3198892 0.0051375
0.3235933 0.00515
0.3273403 0.0051125
0.3311307 0.00495
0.3349651 0.00488125
0.3388438 0.00484375
0.3427674 0.00495
0.3467365 0.00498125
0.3507515 0.0049375
0.3548129 0.0047125
0.3589215 0.00478125
0.3630776 0.004675
0.3672818 0.00461875
0.3715348 0.00469375
0.3758369 0.00456875
0.3801889 0.0046875
0.3845913 0.00456875
0.3890446 0.00466875
0.3935496 0.00461875
0.3981066 0.00459375
0.4027165 0.00461875
0.4073797 0.00459375
0.412097 0.00466875
0.4168688 0.00454375
0.4216959 0.00449375
0.4265789 0.0044875
0.4315185 0.004425
0.4365152 0.0044125
0.4415698 0.00459375
0.4466829 0.00455625
0.4518553 0.00445625
0.4570875 0.0044375
0.4623803 0.00445
0.4677345 0.0043375
0.4731506 0.00435625
0.4786294 0.0044375
0.4841716 0.00425
0.4897781 0.004175
0.4954494 0.00414375
0.5011865 0.00425625
0.50699 0.00413125
0.5128606 0.004175
0.5187992 0.004025
0.5248066 0.00405625
0.5308836 0.004
0.5370309 0.00408125
0.5432495 0.00396875
0.54954 0.00410625
0.5559034 0.00413125
0.5623404 0.0038875
0.568852 0.00391875
0.575439 0.0039375
0.5821022 0.0038875
0.5888426 0.00380625
0.5956612 0.0038875
