#g P
0.09999999 0.00235625
0.1011579 0.0023375
0.1023293 0.00234375
0.1035142 0.00236875
0.1047129 0.00240625
0.1059254 0.00243125
0.1071519 0.00239375
0.1083927 0.0023375
0.1096478 0.0023375
0.1109175 0.00238125
0.1122018 0.0024125
0.1135011 0.0023875
0.1148153 0.00231875
0.1161449 0.0023375
0.1174897 0.00229375
0.1188502 0.0024125
0.1202264 0.00235
0.1216186 0.0023625
0.1230268 0.0022625
0.1244514 0.002225
0.1258925 0.002275
0.1273503 0.00234375
0.1288249 0.0022125
0.1303166 0.002175
0.1318256 0.0021375
0.1333521 0.00218125
0.1348962 0.0021125
0.1364583 0.0021125
0.1380384 0.00194375
0.1396368 0.0020625
0.1412537 0.00196875
0.1428893 0.0018875
0.1445439 0.001875
0.1462177 0.001775
0.1479108 0.00191875
0.1496235 0.00183125
0.1513561 0.001775
0.1531087 0.0015625
0.1548816 0.0016625
0.156675 0.0015875
0.1584892 0.00148125
0.1603245 0.00155625
0.1621809 0.00146875
0.1640589 0.00165625
0.1659586 0.00164375
0.1678803 0.00158125
0.1698243 0.001475
0.1717908 0.00151875
0.17378 0.0016125
0.1757923 0.00156875
0.1778278 0.00175625
0.179887 0.0018125
0.18197 0.001725
0.1840771 0.0019625
0.1862086 0.0020625
0.1883648 0.002
0.190546 0.0021625
0.1927524 0.00241875
0.1949843 0.0027125
0.1972422 0.00251875
0.1995261 0.00274375
0.2018365 0.00285625
0.2041737 0.00283125
0.2065379 0.0031
0.2089295 0.00323125
0.2113487 0.0031875
0.2137961 0.0032
0.2162717 0.00335625
0.218776 0.003525
0.2213093 0.00354375
0.2238719 0.0035625
0.2264642 0.00353125
0.2290866 0.00360625
0.2317393 0.00363125
0.2344227 0.0036125
0.2371372 0.0034875
0.2398831 0.003425
0.2426608 0.00335625
0.2454707 0.0032125
0.2483131 0.00335
0.2511884 0.003225
0.254097 0.00315625
0.2570393 0.003125
0.2600157 0.003
0.2630266 0.0030625
0.2660722 0.00294375
0.2691532 0.0028375
0.2722699 0.00276875
0.2754226 0.0027875
0.2786118 0.0027125
0.281838 0.00254375
0.2851015 0.002625
0.2884029 0.0023875
0.2917424 0.00233125
0.2951206 0.00223125
0.2985379 0.0021
0.3019949 0.00195625
0.3054918 0.00189375
0.3090292 0.0019125
0.3126076 0.001675
0.3162274 0.00154375
0.3198892 0.00149375
0.3235933 0.00151875
0.3273403 0.00149375
0.3311307 0.0014375
0.3349651 0.001225
0.3388438 0.00125625
0.3427674 0.00130625
0.3467365 0.0012
0.3507515 0.00121875
0.3548129 0.0011
0.3589215 0.00101875
0.3630776 0.0009875
0.3672818 0.00099375
0.3715348 0.0010125
0.3758369 0.00096875
0.3801889 0.00104375
0.3845913 0.00101875
0.3890446 0.0011375
0.3935496 0.00115
0.3981066 0.00121875
0.4027165 0.00114375
0.4073797 0.001275
0.412097 0.00134375
0.4168688 0.00148125
0.4216959 0.00144375
0.4265789 0.001475
0.4315185 0.00154375
0.4365152 0.0015625
0.4415698 0.0015125
0.4466829 0.0016625
0.4518553 0.00158125
0.4570875 0.00155625
0.4623803 0.00170625
0.4677345 0.00168125
0.4731506 0.0016875
0.4786294 0.0017125
0.4841716 0.0017
0.4897781 0.001725
0.4954494 0.00171875
0.5011865 0.00171875
0.50699 0.001675
0.5128606 0.00160625
0.5187992 0.00183125
0.5248066 0.00174375
0.5308836 0.00185
0.5370309 0.0019
0.5432495 0.00186875
0.54954 0.00185
0.5559034 0.00191875
0.5623404 0.0019125
0.568852 0.00205
0.575439 0.00214375
0.5821022 0.00205625
0.5888426 0.00209375
0.5956612 0.002175
0.6025586 0.00240625
0.6095359 0.00238125
0.6165939 0.00235
0.6237338 0.00238125
0.6309562 0.002575
0.6382623 0.0027125
0.6456531 0.0027875
0.6531294 0.00283125
0.6606923 0.00294375
0.6683427 0.00305625
0.6760817 0.0031875
0.6839104 0.0032375
0.6918297 0.0033125
0.6998407 0.0035
0.7079445 0.0037375
0.7161421 0.00386875
0.7244346 0.0041
0.7328231 0.00456875
0.7413088 0.004725
0.7498928 0.00491875
0.7585762 0.00498125
0.76736 0.005225
0.7762457 0.00525
0.7852342 0.005525
0.7943267 0.00561875
0.8035246 0.00563125
0.812829 0.0057875
0.8222411 0.00589375
0.8317622 0.00604375
0.8413936 0.00609375
0.8511364 0.00611875
0.8609921 0.0060125
0.870962 0.00621875
0.8810472 0.00628125
0.8912493 0.00650625
0.9015695 0.006675
0.9120091 0.00685
0.9225697 0.00720625
0.9332526 0.007375
0.9440591 0.0077875
0.9549908 0.00814375
0.9660491 0.0087875
0.9772354 0.00944375
0.9885513 0.00994375
0.9999982 0.01070625
1.011578 0.0110125
1.023291 0.01164375
1.03514 0.012325
1.047127 0.01268125
1.059252 0.0134375
1.071517 0.01391875
1.083925 0.0145
1.096476 0.01506875
1.109173 0.01610625
1.122016 0.01715625
1.135009 0.018425
1.148151 0.0198875
1.161446 0.02115625
1.174895 0.0225
1.1885 0.02339375
1.202262 0.0235125
1.216184 0.02300625
1.230266 0.02248125
1.244512 0.02125
1.258923 0.0202375
1.273501 0.01960625
1.288247 0.01831875
1.303164 0.0165625
1.318254 0.01495
1.333519 0.01430625
1.34896 0.01334375
1.364581 0.012475
1.380382 0.01151875
1.396366 0.0106625
1.412535 0.0095625
1.428891 0.0093375
1.445437 0.0093375
1.462174 0.00915
1.479106 0.0089625
1.496233 0.00865
1.513558 0.008525
1.531085 0.00828125
1.548814 0.0081125
1.566748 0.0078875
1.58489 0.0076125
1.603242 0.00746875
1.621807 0.00731875
1.640586 0.00719375
1.659584 0.00713125
1.678801 0.0070125
1.69824 0.00684375
1.717905 0.00665
1.737797 0.00648125
1.75792 0.00625
1.778276 0.0061
1.798867 0.00600625
1.819697 0.0056875
1.840768 0.00579375
1.862083 0.005975
1.883645 0.00608125
1.905457 0.00609375
1.927521 0.00600625
1.94984 0.00599375
1.972418 0.00586875
1.995258 0.00568125
2.018362 0.00558125
