%a vratio
0.0 0.0002
0.0625 4.375e-05
0.125 5.625e-05
0.1875 4.375e-05
0.25 5e-05
0.3125 4.375e-05
0.375 2.5e-05
0.4375 3.125e-05
0.5 2.5e-05
0.5625 3.125e-05
0.625 1.875e-05
0.6875 3.75e-05
0.75 2.5e-05
0.8125 5e-05
0.875 6.875e-05
0.9375 6.25e-05
1.0 0.0001
1.0625 0.00011875
1.125 0.00011875
1.1875 0.00013125
1.25 9.375e-05
1.3125 0.00014375
1.375 0.000175
1.4375 0.00024375
1.5 0.00019375
1.5625 0.00023125
1.625 0.00029375
1.6875 0.0003125
1.75 0.00038125
1.8125 0.00045625
1.875 0.0003875
1.9375 0.00044375
2.0 0.00045625
2.0625 0.00045625
2.125 0.00065625
2.1875 0.0006
2.25 0.00069375
2.3125 0.00071875
2.375 0.0007375
2.4375 0.0008125
2.5 0.00095625
2.5625 0.0009125
2.625 0.00099375
2.6875 0.00103125
2.75 0.000975
2.8125 0.00104375
2.875 0.00116875
2.9375 0.001225
3.0 0.0012375
3.0625 0.0012875
3.125 0.00115625
3.1875 0.00148125
3.25 0.00128125
3.3125 0.001475
3.375 0.00125625
3.4375 0.00153125
3.5 0.00138125
3.5625 0.001525
3.625 0.001575
3.6875 0.001425
3.75 0.00150625
3.8125 0.0016
3.875 0.00156875
3.9375 0.00160625
4.0 0.0015125
4.0625 0.00141875
4.125 0.0015125
4.1875 0.0015
4.25 0.00149375
4.3125 0.0015125
4.375 0.00135
4.4375 0.00155625
4.5 0.00148125
4.5625 0.00149375
4.625 0.00155625
4.6875 0.0015625
4.75 0.00161875
4.8125 0.00160625
4.875 0.00176875
4.9375 0.00151875
5.0 0.0014375
5.0625 0.0015
5.125 0.00131875
5.1875 0.00133125
5.25 0.00150625
5.3125 0.00148125
5.375 0.00135625
5.4375 0.00129375
5.5 0.0013125
5.5625 0.0013
5.625 0.00140625
5.6875 0.0011625
5.75 0.0013
5.8125 0.0013625
5.875 0.00146875
5.9375 0.001425
6.0 0.00159375
6.0625 0.00169375
6.125 0.001825
6.1875 0.00195
6.25 0.0021
6.3125 0.002
6.375 0.002075
6.4375 0.00210625
6.5 0.002325
6.5625 0.00224375
6.625 0.0024375
6.6875 0.0022875
6.75 0.0022
6.8125 0.002475
6.875 0.00251875
6.9375 0.00255625
7.0 0.0024875
7.0625 0.00265625
7.125 0.00280625
7.1875 0.003
7.25 0.00294375
7.3125 0.0027375
7.375 0.003075
7.4375 0.00303125
7.5 0.0035
7.5625 0.00328125
7.625 0.00331875
7.6875 0.00345625
7.75 0.00350625
7.8125 0.00354375
7.875 0.0034125
7.9375 0.0034
8.0 0.00339375
8.0625 0.003275
8.125 0.00344375
8.1875 0.00363125
8.25 0.0034875
8.3125 0.00345
8.375 0.0033375
8.4375 0.003525
8.5 0.00330625
8.5625 0.003425
8.625 0.00324375
8.6875 0.00325
8.75 0.003625
8.8125 0.00335
8.875 0.003475
8.9375 0.00320625
9.0 0.00330625
9.0625 0.00310625
9.125 0.00323125
9.1875 0.0035375
9.25 0.00315625
9.3125 0.0030125
9.375 0.00345
9.4375 0.0032125
9.5 0.00336875
9.5625 0.00311875
9.625 0.00333125
9.6875 0.0034125
9.75 0.00351875
9.8125 0.003425
9.875 0.0034
9.9375 0.00331875
10.0 0.00365625
10.0625 0.00360625
10.125 0.00385625
10.1875 0.00383125
10.25 0.0037625
10.3125 0.00390625
10.375 0.003975
10.4375 0.0038875
10.5 0.00433125
10.5625 0.0041
10.625 0.00414375
10.6875 0.004125
10.75 0.0042875
10.8125 0.00393125
10.875 0.0041875
10.9375 0.00418125
11.0 0.0040125
11.0625 0.00393125
11.125 0.004375
11.1875 0.0043125
11.25 0.00413125
11.3125 0.00406875
11.375 0.00415
11.4375 0.00435625
11.5 0.004125
11.5625 0.004175
11.625 0.004275
11.6875 0.00423125
11.75 0.0043375
11.8125 0.004125
11.875 0.00430625
11.9375 0.00434375
12.0 0.004375
12.0625 0.00428125
12.125 0.00488125
12.1875 0.004925
12.25 0.0046375
12.3125 0.0051
12.375 0.0048375
12.4375 0.00474375
12.5 0.0046875
12.5625 0.0048
12.625 0.00483125
12.6875 0.0047875
12.75 0.004675
12.8125 0.00464375
12.875 0.00464375
12.9375 0.0046375
13.0 0.00463125
13.0625 0.00476875
13.125 0.004475
13.1875 0.00474375
13.25 0.0046125
13.3125 0.00465
13.375 0.004575
13.4375 0.004775
13.5 0.00465
13.5625 0.00460625
13.625 0.004525
13.6875 0.00463125
13.75 0.00461875
13.8125 0.0045875
13.875 0.00473125
13.9375 0.0045
14.0 0.0044625
14.0625 0.00480625
14.125 0.00485
14.1875 0.004575
14.25 0.004775
14.3125 0.0045875
14.375 0.0049125
14.4375 0.0046375
14.5 0.004875
14.5625 0.00480625
14.625 0.00463125
14.6875 0.00488125
14.75 0.0049
14.8125 0.0050125
14.875 0.0052125
14.9375 0.00508125
15.0 0.00486875
15.0625 0.00499375
15.125 0.00481875
15.1875 0.004925
15.25 0.0054125
15.3125 0.00510625
15.375 0.00506875
15.4375 0.00506875
15.5 0.005325
15.5625 0.0052375
15.625 0.0047875
15.6875 0.0050875
15.75 0.00544375
15.8125 0.0056
15.875 0.00540625
15.9375 0.005575
16.0 0.00526875
16.0625 0.0054375
16.125 0.0055875
16.1875 0.00514375
16.25 0.0052375
16.3125 0.0053125
16.375 0.00503125
16.4375 0.0055875
16.5 0.00605
16.5625 0.0054625
16.625 0.00533125
16.6875 0.00525625
16.75 0.00538125
16.8125 0.00555625
16.875 0.00573125
