#g P
2.483127 0.01555625
2.51188 0.01525
2.540967 0.01496875
2.57039 0.01444375
2.600153 0.01431875
2.630262 0.01405
2.660718 0.0139875
2.691528 0.01365
2.722695 0.01340625
2.754222 0.0130375
2.786114 0.0126375
2.818376 0.01243125
2.851011 0.01223125
2.884024 0.01185625
2.91742 0.01188125
2.951202 0.01146875
2.985375 0.01115625
3.019944 0.01105625
3.054913 0.01076875
3.090287 0.01044375
3.126071 0.010225
3.162269 0.0099625
3.198887 0.009725
3.235928 0.00909375
3.273398 0.008975
3.311302 0.0085375
3.349646 0.0083
3.388433 0.0078375
3.427669 0.00779375
3.467359 0.00746875
3.507509 0.00695625
3.548124 0.006775
3.58921 0.0064625
3.630771 0.006175
3.672813 0.00605625
3.715342 0.00558125
3.758364 0.0055625
3.801883 0.00549375
3.845907 0.00488125
3.890441 0.00463125
3.93549 0.0046125
3.981061 0.0043
4.027159 0.0042
4.073791 0.0038
4.120964 0.00365625
4.168682 0.0035
4.216953 0.00320625
4.265783 0.00320625
4.315178 0.002875
4.365146 0.002675
4.415691 0.002425
4.466823 0.002425
4.518546 0.00210625
4.570868 0.0020375
4.623796 0.002
4.677338 0.001925
4.731498 0.0019375
4.786287 0.00168125
4.841709 0.0015375
4.897773 0.00155625
4.954487 0.0015375
5.011857 0.00141875
5.069891 0.00126875
5.128598 0.0011375
5.187984 0.00123125
5.248058 0.001125
5.308828 0.00105
5.370301 0.0009625
5.432486 0.0009125
5.495392 0.00083125
5.559025 0.000775
5.623395 0.00074375
5.688511 0.0006125
5.754381 0.0005875
5.821013 0.0006
5.888418 0.00050625
5.956603 0.0004875
6.025576 0.0004125
6.095349 0.00038125
6.16593 0.000375
6.237328 0.000325
6.309553 0.00028125
6.382614 0.00020625
6.456521 0.0001625
6.531284 0.0001625
6.606913 8.75e-05
6.683417 0.0001375
6.760808 6.25e-05
6.839094 6.25e-05
6.918286 5.625e-05
6.998397 5.625e-05
7.079434 1.875e-05
7.16141 1.875e-05
7.244335 3.125e-05
7.32822 6.25e-06
7.413077 0.0
7.498917 6.25e-06
7.585749 0.0
7.673588 0.0
7.762445 0.0
7.852328 0.0
7.943254 0.0
8.035233 0.0
8.128276 0.0
8.222398 0.0
8.317609 0.0
8.41392 0.0
8.51135 0.0
8.609907 0.0
8.709604 0.0
8.810457 0.0
8.912478 0.0
9.015678 0.0
9.120075 0.0
9.225681 0.0
9.332508 0.0
9.440575 0.0
9.549891 0.00061875
9.660473 0.0
9.772336 0.0
9.885495 0.0
