%a vratio
0.0 0.000835
0.0625 0.000790
0.125 0.000820
0.1875 0.000795
0.25 0.000730
0.3125 0.000700
0.375 0.000690
0.4375 0.000655
0.5 0.000640
0.5625 0.000470
0.625 0.000430
0.6875 0.000385
0.75 0.000375
0.8125 0.000320
0.875 0.000275
0.9375 0.000225
1.0 0.000235
1.0625 0.000235
1.125 0.000220
1.1875 0.000220
1.25 0.000215
1.3125 0.000195
1.375 0.000115
1.4375 0.000115
1.5 0.000125
1.5625 0.000120
1.625 0.000115
1.6875 0.000130
1.75 0.000130
1.8125 0.000120
1.875 0.000125
1.9375 0.000135
2.0 0.000120
2.0625 0.000125
2.125 0.000140
2.1875 0.000155
2.25 0.000155
2.3125 0.000130
2.375 0.000155
2.4375 0.000160
2.5 0.000165
2.5625 0.000160
2.625 0.000180
2.6875 0.000175
2.75 0.000195
2.8125 0.000185
2.875 0.000185
2.9375 0.000190
3.0 0.000195
3.0625 0.000210
3.125 0.000235
3.1875 0.000220
3.25 0.000240
3.3125 0.000255
3.375 0.000245
3.4375 0.000250
3.5 0.000260
3.5625 0.000270
3.625 0.000265
3.6875 0.000315
3.75 0.000415
3.8125 0.000480
3.875 0.000575
3.9375 0.000570
4.0 0.000695
4.0625 0.000885
4.125 0.000895
4.1875 0.000840
4.25 0.000910
4.3125 0.000950
4.375 0.000965
4.4375 0.001005
4.5 0.001005
4.5625 0.001010
4.625 0.001115
4.6875 0.001185
4.75 0.001220
4.8125 0.001285
4.875 0.001320
4.9375 0.001300
5.0 0.001420
5.0625 0.001555
5.125 0.001630
5.1875 0.001710
5.25 0.001780
5.3125 0.001815
5.375 0.001925
5.4375 0.001890
5.5 0.001825
5.5625 0.001785
5.625 0.001755
5.6875 0.001805
5.75 0.001865
5.8125 0.001965
5.875 0.002070
5.9375 0.002260
6.0 0.002160
6.0625 0.002165
6.125 0.002245
6.1875 0.002320
6.25 0.002350
6.3125 0.002310
6.375 0.002335
6.4375 0.002175
6.5 0.002205
6.5625 0.002255
6.625 0.002215
6.6875 0.002270
6.75 0.002250
6.8125 0.002365
6.875 0.002415
6.9375 0.002640
7.0 0.002725
7.0625 0.003065
7.125 0.003410
7.1875 0.003810
7.25 0.004315
7.3125 0.004820
7.375 0.005380
7.4375 0.005545
7.5 0.005730
7.5625 0.005950
7.625 0.006060
7.6875 0.006045
7.75 0.006190
7.8125 0.006800
7.875 0.007175
7.9375 0.007340
8.0 0.007530
8.0625 0.007775
8.125 0.007835
8.1875 0.007700
8.25 0.007815
8.3125 0.007775
8.375 0.007835
8.4375 0.007805
8.5 0.007745
8.5625 0.007915
8.625 0.007880
8.6875 0.007860
8.75 0.008010
8.8125 0.007980
8.875 0.008030
8.9375 0.008150
9.0 0.008215
9.0625 0.008525
9.125 0.008630
9.1875 0.008770
9.25 0.008900
9.3125 0.009055
9.375 0.009190
9.4375 0.009085
9.5 0.009070
9.5625 0.008550
9.625 0.008355
9.6875 0.008115
9.75 0.008010
9.8125 0.007995
9.875 0.007830
9.9375 0.007790
10.0 0.007640
10.0625 0.007560
10.125 0.007380
10.1875 0.007210
10.25 0.007130
10.3125 0.007065
10.375 0.006845
10.4375 0.006680
10.5 0.006625
10.5625 0.006640
10.625 0.006530
10.6875 0.006355
10.75 0.006290
10.8125 0.006240
10.875 0.006030
10.9375 0.005735
11.0 0.005560
11.0625 0.005370
11.125 0.005260
11.1875 0.004965
11.25 0.004780
11.3125 0.004535
11.375 0.004135
11.4375 0.004030
11.5 0.003600
11.5625 0.003155
11.625 0.002685
11.6875 0.002485
11.75 0.002565
11.8125 0.002480
11.875 0.002595
11.9375 0.002645
12.0 0.002700
12.0625 0.002705
12.125 0.002725
12.1875 0.002865
12.25 0.002840
12.3125 0.002840
12.375 0.002910
12.4375 0.002940
12.5 0.002940
12.5625 0.002950
12.625 0.003055
12.6875 0.003045
12.75 0.003200
12.8125 0.003245
12.875 0.003350
12.9375 0.003470
13.0 0.003580
13.0625 0.003600
13.125 0.003815
13.1875 0.003845
13.25 0.003970
13.3125 0.004010
13.375 0.004095
13.4375 0.004265
13.5 0.004455
13.5625 0.004505
13.625 0.004625
13.6875 0.004745
13.75 0.004840
13.8125 0.005090
13.875 0.005085
13.9375 0.005260
14.0 0.005330
14.0625 0.005485
14.125 0.005630
14.1875 0.005770
14.25 0.005775
14.3125 0.006015
14.375 0.006045
14.4375 0.006200
14.5 0.006435
14.5625 0.006490
14.625 0.006650
14.6875 0.006850
14.75 0.006940
14.8125 0.007070
14.875 0.007245
14.9375 0.007285
15.0 0.007440
15.0625 0.007590
15.125 0.007690
15.1875 0.007840
15.25 0.007935
15.3125 0.007990
15.375 0.008060
15.4375 0.008150
15.5 0.008310
15.5625 0.008380
15.625 0.008460
15.6875 0.008675
15.75 0.008775
15.8125 0.008720
15.875 0.008880
15.9375 0.008980
16.0 0.008965
16.0625 0.009145
16.125 0.009145
16.1875 0.009205
16.25 0.009290
16.3125 0.009415
16.375 0.009475
16.4375 0.009560
16.5 0.009585
16.5625 0.009690
16.625 0.009840
16.6875 0.010005
16.75 0.009975
16.8125 0.010140
16.875 0.010240
16.9375 0.010275
17.0 0.010410
17.0625 0.010485
17.125 0.010590
17.1875 0.010650
17.25 0.010830
17.3125 0.010785
17.375 0.010925
17.4375 0.011030
17.5 0.011205
17.5625 0.011235
17.625 0.011415
17.6875 0.011460
17.75 0.011475
17.8125 0.011475
17.875 0.011525
17.9375 0.011700
18.0 0.011820
18.0625 0.011880
18.125 0.011915
18.1875 0.012150
18.25 0.012270
18.3125 0.012365
18.375 0.012490
18.4375 0.012495
18.5 0.012600
18.5625 0.012595
18.625 0.012620
18.6875 0.012685
18.75 0.012930
18.8125 0.012795
18.875 0.012965
18.9375 0.012825
19.0 0.012930
19.0625 0.013060
19.125 0.013060
19.1875 0.013160
19.25 0.013170
19.3125 0.013125
19.375 0.013275
19.4375 0.013220
19.5 0.013325
19.5625 0.013115
19.625 0.013360
19.6875 0.013235
19.75 0.013195
19.8125 0.013195
19.875 0.013020
19.9375 0.013190
20.0 0.013015
20.0625 0.013140
20.125 0.013050
20.1875 0.013155
20.25 0.013145
20.3125 0.013100
20.375 0.013070
20.4375 0.012985
20.5 0.013040
20.5625 0.013060
20.625 0.012820
20.6875 0.012875
20.75 0.012770
20.8125 0.012720
20.875 0.012630
20.9375 0.012520
21.0 0.012515
21.0625 0.012505
21.125 0.012415
21.1875 0.012400
21.25 0.012280
21.3125 0.012135
21.375 0.012255
21.4375 0.012115
21.5 0.012190
21.5625 0.012230
21.625 0.012100
21.6875 0.012105
21.75 0.012045
21.8125 0.012035
21.875 0.011945
21.9375 0.011940
22.0 0.011875
22.0625 0.011730
22.125 0.011865
22.1875 0.012020
22.25 0.011745
22.3125 0.011815
22.375 0.011760
22.4375 0.011760
22.5 0.011660
22.5625 0.011585
22.625 0.011395
22.6875 0.011545
22.75 0.011485
22.8125 0.011455
22.875 0.011295
22.9375 0.011280
23.0 0.011340
23.0625 0.011240
23.125 0.011275
23.1875 0.011020
23.25 0.010925
23.3125 0.010830
23.375 0.010725
23.4375 0.010690
23.5 0.010495
23.5625 0.010400
23.625 0.010155
23.6875 0.010005
23.75 0.009715
23.8125 0.009510
23.875 0.009240
23.9375 0.009295
24.0 0.008945
24.0625 0.008705
24.125 0.008550
24.1875 0.008265
24.25 0.008115
24.3125 0.007780
24.375 0.007500
24.4375 0.007230
24.5 0.006950
24.5625 0.006655
24.625 0.006365
24.6875 0.006130
24.75 0.005695
24.8125 0.005375
24.875 0.005030
24.9375 0.004680
