%m vratio
0.01 0.0
0.0101742 0.0
0.01035143 0.0
0.01053174 0.0
0.0107152 0.0
0.01090185 0.0
0.01109176 0.0
0.01128497 0.0
0.01148154 0.0
0.01168155 0.0
0.01188504 0.0
0.01209207 0.0
0.01230271 0.0
0.01251701 0.0
0.01273505 0.0
0.01295689 6.25e-06
0.01318259 0.0
0.01341222 0.0
0.01364586 6.25e-06
0.01388356 0.0
0.01412541 0.0
0.01437147 0.0
0.01462181 0.0
0.01487651 0.0
0.01513566 0.0
0.01539931 0.0
0.01566756 0.0
0.01594048 0.0
0.01621816 0.0
0.01650067 0.0
0.0167881 0.0
0.01708054 0.0
0.01737807 6.25e-06
0.01768079 0.0
0.01798878 0.0
0.01830214 0.0
0.01862095 0.0
0.01894532 0.0
0.01927534 0.0
0.01961111 6.25e-06
0.01995272 0.0
0.02030029 0.0
0.02065391 0.0
0.02101369 0.0
0.02137973 0.0
0.02175216 0.0
0.02213107 0.0
0.02251658 0.0
0.02290881 0.0
0.02330787 0.0
0.02371388 0.0
0.02412696 6.25e-06
0.02454724 0.0
0.02497485 0.0
0.02540989 0.0
0.02585252 0.0
0.02630286 0.0
0.02676104 0.0
0.0272272 0.0
0.02770149 0.0
0.02818404 0.0
0.02867498 0.0
0.02917449 0.0
0.02968269 0.0
0.03019975 0.0
0.03072581 0.0
0.03126104 0.0
0.03180559 0.0
0.03235963 0.0
0.03292332 0.0
0.03349683 0.0
0.03408033 0.0
0.03467399 0.0
0.03527799 0.0
0.03589251 0.0
0.03651774 0.0
0.03715387 0.0
0.03780106 0.0
0.03845954 0.0
0.03912948 0.0
0.0398111 0.0
0.04050459 0.0
0.04121016 0.0
0.04192802 0.0
0.04265838 0.0
0.04340148 0.0
0.0441575 0.0
0.04492671 0.0
0.0457093 0.0
0.04650554 0.0
0.04731565 0.0
0.04813985 0.0
0.04897843 0.0
0.0498316 0.0
0.05069965 0.0
0.0515828 0.0
0.05248135 0.0
0.05339556 0.0
0.05432567 0.0
0.05527201 0.0
0.05623481 0.0
0.05721439 0.0
0.05821103 0.0
0.05922505 0.0
0.06025672 0.0
0.06130635 0.0
0.06237429 0.0
0.0634608 0.0
0.06456627 0.0
0.06569097 0.0
0.06683528 0.0
0.06799952 0.0
0.06918403 0.0
0.07038919 0.0
0.07161532 0.0
0.07286283 0.0
0.07413206 0.0
0.0754234 0.0
0.07673725 0.0
0.07807396 0.0
0.07943398 0.0
0.08081767 0.0
0.08222548 0.0
0.08365779 0.0
0.08511508 0.0
0.08659775 0.0
0.08810622 0.0
0.089641 0.0
0.09120249 0.0
0.0927912 0.0
0.09440756 0.0
0.0960521 0.0
0.09772529 0.0
0.0994276 0.0
0.1011596 0.0
0.1029217 0.0
0.1047145 0.00125625
0.1065386 0.0
0.1083944 0.0
0.1102826 0.0
0.1122036 0.0
0.1141581 0.0
0.1161467 0.0
0.1181699 0.0
0.1202284 0.0
0.1223226 0.0
0.1244534 0.0
0.1266213 0.0
0.128827 0.0
0.1310711 0.0
0.1333542 0.0
0.1356772 0.0
0.1380406 0.0
0.1404452 0.0
0.1428916 0.00013125
0.1453807 0.000325
0.1479132 0.00050625
0.1504897 0.00061875
0.1531111 0.00076875
0.1557782 0.000825
0.1584918 0.0008875
0.1612526 0.0009
0.1640615 0.0009125
0.1669194 0.00090625
0.169827 0.00085
0.1727853 0.00081875
0.1757951 0.0008
0.1788573 0.000775
0.1819729 0.00075
0.1851428 0.00071875
0.1883678 0.0007
0.1916491 0.00066875
0.1949875 0.000625
0.198384 0.000625
0.2018397 0.00061875
0.2053557 0.00058125
0.2089328 0.00054375
0.2125723 0.0005375
0.2162752 0.0005
0.2200425 0.00048125
0.2238755 0.00044375
0.2277753 0.0004125
0.231743 0.00039375
0.2357798 0.00035
0.239887 0.000325
0.2440656 0.000275
0.2483171 0.0002375
0.2526426 0.00019375
0.2570435 0.00014375
0.261521 9.375e-05
0.2660765 4.375e-05
0.2707114 0.0
0.275427 0.0
0.2802248 0.0
0.2851061 0.0
0.2900725 0.0
0.2951254 0.0
0.3002663 6.25e-06
0.3054967 0.0
0.3108183 0.0
0.3162325 0.0
0.3217411 2.5e-05
0.3273456 6.25e-05
0.3330477 0.00010625
0.3388492 0.0001625
0.3447517 0.00020625
0.3507571 0.00025
0.3568671 0.00028125
0.3630835 0.0003375
0.3694081 0.00036875
0.375843 0.00038125
0.3823899 0.00045
0.3890509 0.00046875
0.3958279 0.00048125
0.402723 0.00053125
0.4097382 0.00053125
0.4168755 0.0005625
0.4241372 0.000575
0.4315254 0.0006125
0.4390423 0.0006375
0.4466901 0.0006875
0.4544712 0.00075
0.4623878 0.0008
0.4704423 0.000875
0.4786371 0.00093125
0.4869746 0.00098125
0.4954574 0.0010125
0.5040879 0.00104375
0.5128688 0.00110625
0.5218027 0.00111875
0.5308921 0.0011375
0.5401399 0.00114375
0.5495488 0.001175
0.5591216 0.00115625
0.5688611 0.00118125
0.5787703 0.00115
0.5888521 0.00111875
0.5991095 0.001125
0.6095456 0.0010875
0.6201635 0.00104375
0.6309664 0.00105
0.6419574 0.00105625
0.6531399 0.0012625
0.6645172 0.00191875
0.6760926 0.00284375
0.6878697 0.00375625
0.6998519 0.004525
0.7120429 0.00489375
0.7244462 0.005
0.7370656 0.005025
0.7499048 0.00505625
0.7629677 0.00495
0.7762581 0.00458125
0.78978 0.004325
0.8035375 0.0041375
0.8175346 0.00371875
0.8317755 0.00335
0.8462645 0.0028375
0.861006 0.00245
0.8760041 0.00195
0.8912635 0.0016625
0.9067888 0.00149375
0.9225845 0.00130625
0.9386553 0.00110625
0.9550061 0.0011
0.9716417 0.0009125
0.9885671 0.00084375
1.005787 0.0007625
1.023307 0.00069375
1.041133 0.00055
1.059269 0.00049375
1.077721 0.00030625
1.096494 0.00025
1.115594 0.00015625
1.135027 0.0001125
1.154798 8.75e-05
1.174914 5.625e-05
1.19538 3.75e-05
1.216203 3.125e-05
1.237389 3.125e-05
1.258943 3.125e-05
1.280873 1.875e-05
1.303185 1.25e-05
1.325886 0.0
1.348982 0.0
1.37248 0.0
1.396388 0.0
1.420712 0.0
1.44546 0.0
1.470639 0.0
1.496257 0.0
1.522321 0.0
1.548838 0.0
1.575818 0.0
1.603268 0.0
1.631196 6.25e-06
1.65961 0.0
1.688519 6.25e-06
1.717932 6.25e-06
1.747858 0.0
1.778304 0.0
1.809281 0.0
1.840798 0.0
1.872863 0.0
1.905487 0.0
1.938679 0.0
1.97245 0.0
2.006809 0.0
2.041766 0.0
2.077332 0.0
2.113518 0.0
2.150334 0.0
2.187792 0.0
2.225902 0.0
2.264675 0.0
2.304124 0.0
2.344261 0.0
2.385096 0.0
2.426643 0.0
2.468914 0.0
2.51192 0.0
2.555677 0.0
2.600195 0.0
2.645489 0.0
2.691571 0.0
2.738457 0.0
2.786159 0.0
2.834692 0.0
2.884071 0.0
2.934309 0.0
2.985423 0.0
3.037427 0.0
3.090337 0.0
3.144168 0.0
3.198938 0.0
3.254662 0.0
3.311356 0.0
3.369037 0.0
3.427724 0.0
3.487432 0.0
3.548181 0.0
3.609988 0.0
3.672872 0.0
3.736851 0.0
3.801944 0.0
3.868172 0.0
3.935553 6.25e-06
4.004107 0.0
4.073857 0.0
4.144821 0.0
4.217021 6.25e-06
4.290478 0.0
4.365216 0.0
4.441255 0.0
4.518619 0.0
4.59733 0.0
4.677413 0.0
4.75889 0.0
4.841787 0.0
4.926128 0.0
5.011938 0.0
5.099242 0.0
5.188068 0.0
5.27844 0.0
5.370388 0.0
5.463936 0.0
5.559114 0.0
5.655951 0.0
5.754474 0.0
5.854713 0.0
5.956698 0.0
6.06046 0.0
6.166029 0.0
6.273438 0.0
6.382717 0.0
6.493899 6.25e-06
6.607019 0.0
6.722109 0.0
6.839204 6.25e-06
6.958338 0.0
7.079548 0.0
7.202869 0.0
7.328339 0.0
7.455993 0.0
7.585872 0.0
7.718013 0.0
7.852456 0.0
7.98924 0.0
8.128407 0.0
8.27 0.0
8.414058 0.0
8.560625 0.0
8.709745 0.0
8.861464 0.0
9.015824 0.0
9.172874 0.0
9.33266 0.0
9.495229 0.0
9.660629 0.0
9.828911 0.0
