%a vratio
0.0 0.000780
0.0625 0.000775
0.125 0.000775
0.1875 0.000735
0.25 0.000645
0.3125 0.000605
0.375 0.000570
0.4375 0.000545
0.5 0.000545
0.5625 0.000495
0.625 0.000500
0.6875 0.000475
0.75 0.000455
0.8125 0.000455
0.875 0.000435
0.9375 0.000420
1.0 0.000415
1.0625 0.000260
1.125 0.000210
1.1875 0.000195
1.25 0.000155
1.3125 0.000145
1.375 0.000125
1.4375 0.000150
1.5 0.000140
1.5625 0.000140
1.625 0.000130
1.6875 0.000125
1.75 0.000130
1.8125 0.000130
1.875 0.000115
1.9375 0.000115
2.0 0.000125
2.0625 0.000140
2.125 0.000140
2.1875 0.000125
2.25 0.000145
2.3125 0.000145
2.375 0.000145
2.4375 0.000140
2.5 0.000145
2.5625 0.000160
2.625 0.000150
2.6875 0.000170
2.75 0.000190
2.8125 0.000200
2.875 0.000215
2.9375 0.000215
3.0 0.000225
3.0625 0.000255
3.125 0.000270
3.1875 0.000240
3.25 0.000260
3.3125 0.000385
3.375 0.000515
3.4375 0.000575
3.5 0.000625
3.5625 0.000760
3.625 0.000675
3.6875 0.000690
3.75 0.000690
3.8125 0.000715
3.875 0.000595
3.9375 0.000640
4.0 0.000750
4.0625 0.000905
4.125 0.001080
4.1875 0.001530
4.25 0.001940
4.3125 0.002265
4.375 0.002415
4.4375 0.002420
4.5 0.002170
4.5625 0.001875
4.625 0.001780
4.6875 0.001710
4.75 0.001750
4.8125 0.001825
4.875 0.001985
4.9375 0.002080
5.0 0.002245
5.0625 0.002365
5.125 0.002510
5.1875 0.002565
5.25 0.002730
5.3125 0.002880
5.375 0.003100
5.4375 0.003310
5.5 0.003455
5.5625 0.003875
5.625 0.004145
5.6875 0.004425
5.75 0.004875
5.8125 0.005265
5.875 0.005695
5.9375 0.006290
6.0 0.006560
6.0625 0.006985
6.125 0.007345
6.1875 0.007655
6.25 0.008200
6.3125 0.008670
6.375 0.009120
6.4375 0.009575
6.5 0.010090
6.5625 0.010540
6.625 0.010880
6.6875 0.010790
6.75 0.010740
6.8125 0.010335
6.875 0.010640
6.9375 0.011165
7.0 0.011780
7.0625 0.012865
7.125 0.014090
7.1875 0.015140
7.25 0.015715
7.3125 0.016150
7.375 0.016320
7.4375 0.016000
7.5 0.016265
7.5625 0.016335
7.625 0.016305
7.6875 0.016500
7.75 0.016175
7.8125 0.016165
7.875 0.015830
7.9375 0.015950
8.0 0.015880
8.0625 0.016195
8.125 0.016435
8.1875 0.016810
8.25 0.017045
8.3125 0.016770
8.375 0.016350
8.4375 0.016140
8.5 0.016085
8.5625 0.015905
8.625 0.015885
8.6875 0.015945
8.75 0.015890
8.8125 0.016205
8.875 0.016420
8.9375 0.016190
9.0 0.016095
9.0625 0.016010
9.125 0.015935
9.1875 0.015850
9.25 0.015910
9.3125 0.015810
9.375 0.016025
9.4375 0.015980
9.5 0.016125
9.5625 0.016200
9.625 0.016215
9.6875 0.016405
9.75 0.016610
9.8125 0.016685
9.875 0.016955
9.9375 0.017010
10.0 0.017215
10.0625 0.017175
10.125 0.017070
10.1875 0.016995
10.25 0.017325
10.3125 0.017215
10.375 0.017465
10.4375 0.017680
10.5 0.017955
10.5625 0.017685
10.625 0.018215
10.6875 0.018440
10.75 0.018590
10.8125 0.018800
10.875 0.018750
10.9375 0.018975
11.0 0.019260
11.0625 0.019415
11.125 0.019545
11.1875 0.019555
11.25 0.019845
11.3125 0.019760
11.375 0.019645
11.4375 0.019860
