%m vratio
0.7762457 0.02324375
0.7852342 0.02275625
0.7943267 0.02184375
0.8035246 0.0209625
0.812829 0.02049375
0.8222411 0.01961875
0.8317622 0.01911875
0.8413936 0.01829375
0.8511364 0.017675
0.8609921 0.0171875
0.870962 0.016375
0.8810472 0.0162875
0.8912493 0.015375
0.9015695 0.01469375
0.9120091 0.0143
0.9225697 0.0138625
0.9332526 0.01341875
0.9440591 0.01305
0.9549908 0.0126625
0.9660491 0.0122875
0.9772354 0.0119
0.9885513 0.011675
0.9999982 0.01126875
1.011578 0.0109625
1.023291 0.01080625
1.03514 0.01058125
1.047127 0.010275
1.059252 0.01013125
1.071517 0.0102375
1.083925 0.00996875
1.096476 0.0098375
1.109173 0.009725
1.122016 0.00976875
1.135009 0.0095375
1.148151 0.0095
1.161446 0.0092375
1.174895 0.0091875
1.1885 0.0090125
1.202262 0.0088375
1.216184 0.00884375
1.230266 0.00868125
1.244512 0.00871875
1.258923 0.00861875
1.273501 0.0084625
1.288247 0.00828125
1.303164 0.00828125
1.318254 0.00821875
1.333519 0.00799375
1.34896 0.00809375
1.364581 0.0080875
1.380382 0.00800625
1.396366 0.0079375
1.412535 0.00789375
1.428891 0.00781875
1.445437 0.0077375
1.462174 0.00761875
1.479106 0.00756875
1.496233 0.0075375
1.513558 0.0072875
1.531085 0.00739375
1.548814 0.0071625
1.566748 0.00721875
1.58489 0.0073125
1.603242 0.00703125
1.621807 0.00694375
1.640586 0.00708125
1.659584 0.00683125
1.678801 0.0067875
1.69824 0.00665625
1.717905 0.00676875
1.737797 0.00655
1.75792 0.0064875
1.778276 0.00661875
1.798867 0.00635625
1.819697 0.006275
1.840768 0.0061375
1.862083 0.00605
1.883645 0.00601875
1.905457 0.005825
1.927521 0.0057875
1.94984 0.0057375
1.972418 0.00560625
1.995258 0.0055375
2.018362 0.005475
2.041734 0.00535625
2.065376 0.0053375
2.089291 0.005275
2.113484 0.0051375
2.137957 0.00495625
2.162714 0.0050875
2.187757 0.00501875
2.21309 0.00499375
2.238716 0.004925
2.264639 0.0047
2.290862 0.00468125
2.317389 0.0045875
2.344223 0.00450625
2.371368 0.0044875
2.398827 0.00430625
2.426604 0.00414375
2.454703 0.00399375
2.483127 0.00379375
2.51188 0.0036
2.540967 0.00361875
2.57039 0.0034
2.600153 0.0033125
2.630262 0.00311875
2.660718 0.00315625
2.691528 0.0028125
2.722695 0.00275625
2.754222 0.0026375
2.786114 0.00261875
2.818376 0.0024
2.851011 0.00231875
2.884024 0.00204375
2.91742 0.0019625
2.951202 0.0018875
2.985375 0.00174375
3.019944 0.00165625
3.054913 0.00140625
3.090287 0.0013625
3.126071 0.001225
3.162269 0.0011625
3.198887 0.001
3.235928 0.00104375
3.273398 0.00090625
3.311302 0.00089375
3.349646 0.000925
3.388433 0.0009375
3.427669 0.00089375
3.467359 0.00093125
3.507509 0.0009
3.548124 0.00090625
3.58921 0.000825
3.630771 0.00088125
3.672813 0.00081875
3.715342 0.00083125
3.758364 0.0008125
3.801883 0.0008
3.845907 0.00076875
3.890441 0.0008
3.93549 0.00070625
3.981061 0.000725
4.027159 0.000725
4.073791 0.0007125
4.120964 0.0007375
4.168682 0.0006625
4.216953 0.000625
4.265783 0.00061875
4.315178 0.0006375
4.365146 0.00060625
4.415691 0.0006
4.466823 0.000575
4.518546 0.0006
4.570868 0.00054375
4.623796 0.0005375
4.677338 0.00055
4.731498 0.00050625
4.786287 0.0005125
4.841709 0.0004625
4.897773 0.00043125
4.954487 0.00043125
5.011857 0.0004625
5.069891 0.00045
5.128598 0.00039375
5.187984 0.000375
5.248058 0.00040625
5.308828 0.00035
5.370301 0.00035
5.432486 0.00030625
5.495392 0.0003625
5.559025 0.00034375
5.623395 0.0003375
5.688511 0.0003125
5.754381 0.0002875
5.821013 0.00029375
5.888418 0.0003
5.956603 0.0002875
6.025576 0.0002625
6.095349 0.00025625
6.16593 0.00025
6.237328 0.0002375
6.309553 0.0002625
6.382614 0.00023125
6.456521 0.000225
6.531284 0.0002
6.606913 0.00020625
6.683417 0.00019375
6.760808 0.00016875
6.839094 0.00014375
6.918286 0.00014375
6.998397 0.00015
7.079434 0.00013125
7.16141 0.0001125
7.244335 0.0001
7.32822 0.00010625
7.413077 8.75e-05
7.498917 9.375e-05
7.585749 8.75e-05
7.673588 6.875e-05
7.762445 6.25e-05
7.852328 6.25e-05
7.943254 6.25e-05
8.035233 6.875e-05
8.128276 5.625e-05
8.222398 3.125e-05
8.317609 3.75e-05
8.41392 5e-05
8.51135 4.375e-05
8.609907 3.125e-05
8.709604 1.875e-05
8.810457 1.875e-05
8.912478 2.5e-05
9.015678 2.5e-05
9.120075 1.25e-05
9.225681 1.25e-05
9.332508 1.25e-05
9.440575 1.25e-05
9.549891 1.875e-05
9.660473 6.25e-06
9.772336 1.25e-05
9.885495 6.25e-06
