%g vratio
0.1 0.00236875
0.1011579 0.00230625
0.1023293 0.0026375
0.1035142 0.0024375
0.1047129 0.0025375
0.1059254 0.0024625
0.1071519 0.002375
0.1083927 0.00244375
0.1096478 0.002475
0.1109175 0.0025125
0.1122018 0.00263125
0.1135011 0.002825
0.1148153 0.002675
0.1161448 0.002625
0.1174897 0.00265625
0.1188502 0.002575
0.1202264 0.00249375
0.1216186 0.00253125
0.1230269 0.00248125
0.1244514 0.0025
0.1258925 0.00258125
0.1273503 0.00255625
0.1288249 0.00251875
0.1303166 0.0027125
0.1318256 0.00275
0.1333521 0.00265625
0.1348962 0.0025375
0.1364583 0.0025
0.1380384 0.0024
0.1396368 0.00246875
0.1412537 0.0026875
0.1428894 0.0025625
0.1445439 0.00256875
0.1462177 0.0026125
0.1479108 0.00264375
0.1496235 0.0026875
0.1513561 0.00275625
0.1531087 0.002625
0.1548816 0.00285625
0.156675 0.0027875
0.1584892 0.002775
0.1603245 0.00294375
0.1621809 0.0029875
0.1640589 0.00286875
0.1659586 0.00286875
0.1678803 0.00310625
0.1698243 0.0027625
0.1717907 0.0031
0.17378 0.00295625
0.1757923 0.00311875
0.1778278 0.0032875
0.179887 0.003175
0.18197 0.0030375
0.1840771 0.0032875
0.1862086 0.00319375
0.1883648 0.00334375
0.190546 0.0033625
0.1927524 0.00338125
0.1949843 0.0036125
0.1972421 0.00341875
0.1995261 0.00334375
0.2018365 0.00381875
0.2041737 0.00355625
0.2065379 0.0036875
0.2089295 0.0036875
0.2113488 0.0038125
0.213796 0.00378125
0.2162717 0.00388125
0.218776 0.00386875
0.2213093 0.0038125
0.2238719 0.0038375
0.2264643 0.00415625
0.2290866 0.00388125
0.2317393 0.004125
0.2344227 0.00405625
0.2371372 0.0038375
0.2398831 0.004025
0.2426608 0.00405625
0.2454707 0.0042625
0.2483131 0.00445
0.2511884 0.00436875
0.254097 0.00433125
0.2570393 0.00433125
0.2600157 0.00433125
0.2630266 0.0042625
0.2660722 0.00445625
0.2691532 0.00445
0.2722699 0.0044125
0.2754226 0.0046125
0.2786118 0.0045125
0.281838 0.00434375
0.2851015 0.00438125
0.2884029 0.004475
0.2917424 0.00474375
0.2951206 0.00449375
0.2985379 0.00456875
0.3019949 0.00480625
0.3054918 0.0046
0.3090292 0.00473125
0.3126076 0.0047625
0.3162274 0.00475625
0.3198892 0.0047375
0.3235933 0.00490625
0.3273403 0.00489375
0.3311307 0.00505
0.3349651 0.00495
0.3388438 0.0049625
0.3427674 0.0048375
0.3467364 0.00475625
0.3507515 0.00485625
0.3548129 0.0049
0.3589215 0.00481875
0.3630776 0.0047125
0.3672819 0.00455625
0.3715348 0.00483125
0.3758369 0.0047375
0.3801889 0.00448125
0.3845913 0.00466875
0.3890446 0.004625
0.3935496 0.00480625
0.3981066 0.00461875
0.4027165 0.004675
0.4073797 0.00474375
0.412097 0.00455625
0.4168688 0.00453125
0.4216959 0.004325
0.4265789 0.004275
0.4315185 0.0042
0.4365152 0.00450625
0.4415698 0.00431875
0.446683 0.0044125
0.4518553 0.0046625
0.4570875 0.00456875
0.4623803 0.00446875
0.4677345 0.0046125
0.4731506 0.004675
0.4786294 0.00475
0.4841716 0.00445
0.4897781 0.0047125
0.4954494 0.004625
0.5011865 0.0048125
0.5069899 0.00470625
0.5128606 0.00498125
0.5187992 0.00500625
0.5248066 0.004875
0.5308836 0.00493125
0.5370309 0.00485
0.5432494 0.00456875
0.54954 0.00464375
0.5559034 0.00488125
0.5623404 0.00473125
0.568852 0.0047375
0.575439 0.0046875
0.5821022 0.0043375
0.5888426 0.00435625
0.5956611 0.0044125
0.6025586 0.00438125
0.6095359 0.00444375
0.616594 0.0043875
0.6237338 0.00425
0.6309562 0.0042
0.6382623 0.0042375
0.6456531 0.00454375
0.6531294 0.00453125
0.6606923 0.00459375
0.6683427 0.0049
0.6760817 0.00461875
0.6839104 0.005075
0.6918297 0.00495
0.6998407 0.00501875
0.7079445 0.00508125
0.7161421 0.00538125
0.7244346 0.00561875
0.7328231 0.0055125
0.7413088 0.00505
0.7498928 0.0050375
0.7585761 0.00495625
0.76736 0.0053375
0.7762457 0.00494375
0.7852342 0.0048625
0.7943267 0.00481875
0.8035246 0.00486875
0.812829 0.00524375
0.8222411 0.00494375
0.8317622 0.00506875
0.8413936 0.0051375
0.8511364 0.0048375
0.8609921 0.00523125
0.870962 0.00521875
0.8810472 0.00535625
0.8912493 0.00520625
0.9015695 0.005075
0.9120091 0.005
0.9225697 0.005375
0.9332526 0.00509375
0.9440591 0.00499375
0.9549908 0.00499375
0.9660491 0.0056375
0.9772354 0.0051125
0.9885513 0.00545
0.9999982 0.00555
1.011578 0.00520625
1.023291 0.0057875
1.03514 0.0057
1.047127 0.0063
1.059252 0.005875
1.071517 0.0064
1.083925 0.0063625
1.096476 0.00659375
1.109173 0.0066875
1.122016 0.007075
1.135009 0.007425
1.148151 0.0076625
1.161446 0.0082125
1.174895 0.0082375
1.1885 0.008975
1.202262 0.00945
1.216184 0.0098
1.230266 0.010275
1.244512 0.01045625
1.258923 0.00980625
1.273501 0.00941875
1.288247 0.00789375
1.303164 0.0075375
1.318254 0.00719375
1.333519 0.00728125
1.34896 0.00705
1.364581 0.00696875
1.380382 0.00719375
1.396366 0.00715
1.412535 0.00688125
1.428891 0.00730625
1.445437 0.0066875
1.462174 0.006325
1.479106 0.0062875
1.496233 0.00654375
1.513558 0.006175
1.531084 0.00600625
1.548814 0.00634375
1.566748 0.00616875
1.58489 0.0061375
1.603242 0.00568125
1.621807 0.00578125
1.640586 0.005875
1.659584 0.0057875
1.678801 0.006175
1.69824 0.006175
1.717905 0.00563125
1.737797 0.005975
1.75792 0.00558125
1.778276 0.005275
1.798867 0.00508125
1.819697 0.0049
1.840768 0.0048875
1.862083 0.00456875
1.883645 0.0047375
1.905457 0.00475
1.927521 0.004425
1.94984 0.0044375
1.972418 0.0048
1.995258 0.00463125
2.018362 0.00415625
2.041734 0.00454375
2.065376 0.00445
2.089292 0.004575
2.113484 0.00444375
2.137957 0.0044625
2.162714 0.00418125
2.187757 0.00454375
2.21309 0.00464375
2.238716 0.0044625
2.264639 0.00446875
2.290862 0.00478125
2.317389 0.00468125
2.344223 0.0046375
2.371368 0.004675
2.398827 0.00458125
2.426604 0.0046875
2.454703 0.0044125
2.483127 0.004375
2.51188 0.00455
2.540967 0.00441875
2.57039 0.00469375
2.600153 0.004575
2.630262 0.004425
2.660718 0.0042
2.691528 0.004025
2.722695 0.00431875
2.754222 0.00421875
2.786114 0.00406875
2.818376 0.00408125
2.851011 0.00410625
2.884024 0.0040625
2.91742 0.00393125
2.951202 0.00405
2.985375 0.003725
3.019944 0.00381875
3.054913 0.00369375
3.090287 0.00368125
3.126071 0.00333125
3.162269 0.003775
3.198887 0.00338125
3.235928 0.00311875
3.273398 0.00315
3.311302 0.0031125
3.349645 0.00295
3.388433 0.00295625
3.427669 0.0029375
3.467359 0.00284375
3.507509 0.00274375
3.548124 0.00254375
3.58921 0.0025
3.630771 0.00255
3.672813 0.0023625
3.715342 0.0024
3.758364 0.00220625
3.801883 0.00233125
3.845907 0.002175
3.89044 0.00206875
3.93549 0.0021875
3.981061 0.0019125
4.027159 0.00210625
4.073791 0.0019125
4.120964 0.00183125
4.168682 0.00170625
4.216953 0.00174375
4.265783 0.001625
4.315178 0.00159375
4.365146 0.0016375
4.415691 0.0014875
4.466823 0.001275
4.518546 0.0012375
4.570868 0.0013875
4.623796 0.0012625
4.677338 0.00121875
4.731498 0.00113125
4.786286 0.00105625
4.841709 0.00100625
4.897773 0.000975
4.954487 0.00093125
5.011857 0.0009375
5.069891 0.0008875
5.128598 0.00101875
5.187984 0.00088125
5.248058 0.00073125
5.308828 0.00080625
5.370301 0.0007125
5.432487 0.00075625
5.495391 0.00075625
5.559025 0.000725
5.623395 0.00075625
5.688511 0.00065625
5.754381 0.00070625
5.821013 0.000575
5.888418 0.0005875
5.956602 0.00061875
6.025577 0.0006
6.095349 0.000425
6.16593 0.0004875
6.237328 0.000475
6.309553 0.000325
6.382614 0.0003875
6.456521 0.0003875
6.531284 0.0003125
6.606913 0.00033125
6.683417 0.00026875
6.760807 0.0003
6.839094 0.0002375
6.918286 0.00023125
6.998396 0.0002
7.079434 0.00019375
7.16141 0.00019375
7.244335 0.00013125
7.32822 0.000125
7.413077 0.00016875
7.498916 8.125e-05
7.58575 7.5e-05
7.673588 8.125e-05
