#m p_L p_-L p_2L
1.461187e-02 1.062707e-01 1.430128e-02 9.136628e-03
1.501311e-02 1.052394e-01 1.208171e-02 9.020235e-03
1.542536e-02 1.041996e-01 1.012023e-02 8.903324e-03
1.584893e-02 1.031512e-01 8.324045e-03 8.785921e-03
1.628414e-02 1.020945e-01 6.756119e-03 8.668055e-03
1.673129e-02 1.010297e-01 5.399431e-03 8.549753e-03
1.719072e-02 9.995677e-02 4.211633e-03 8.431042e-03
1.766277e-02 9.887599e-02 3.204562e-03 8.311953e-03
1.814778e-02 9.778750e-02 2.378387e-03 8.192515e-03
1.864611e-02 9.669149e-02 1.776531e-03 8.072758e-03
1.915812e-02 9.558813e-02 1.279636e-03 7.952713e-03
1.968419e-02 9.447762e-02 8.831260e-04 7.832412e-03
2.022471e-02 9.336015e-02 6.012472e-04 7.711887e-03
2.078007e-02 9.223593e-02 4.018684e-04 7.591170e-03
2.135068e-02 9.110518e-02 2.623472e-04 7.470295e-03
2.193696e-02 8.996810e-02 1.597566e-04 7.349297e-03
2.253934e-02 8.882493e-02 9.853330e-05 7.228208e-03
2.315826e-02 8.767591e-02 5.647766e-05 7.107064e-03
2.379417e-02 8.652128e-02 3.123532e-05 6.985902e-03
2.444755e-02 8.536128e-02 1.712314e-05 6.864755e-03
2.511886e-02 8.419618e-02 8.657599e-06 6.743662e-03
2.580862e-02 8.302624e-02 4.449353e-06 6.622659e-03
2.651731e-02 8.185174e-02 2.199268e-06 6.501783e-03
2.724546e-02 8.067296e-02 1.004654e-06 6.381073e-03
2.799360e-02 7.949017e-02 4.428235e-07 6.260566e-03
2.876229e-02 7.830370e-02 1.733940e-07 6.140300e-03
2.955209e-02 7.711382e-02 6.892863e-08 6.020316e-03
3.036358e-02 7.592087e-02 3.040552e-08 5.900652e-03
3.119735e-02 7.472515e-02 9.155559e-09 5.781348e-03
3.205401e-02 7.352700e-02 3.008319e-09 5.662443e-03
3.293420e-02 7.232674e-02 9.171840e-10 5.543978e-03
3.383855e-02 7.112473e-02 2.827093e-10 5.425993e-03
3.476774e-02 6.992130e-02 9.306389e-11 5.308528e-03
3.572245e-02 6.871682e-02 1.668021e-11 5.191624e-03
3.670336e-02 6.751164e-02 4.814089e-12 5.075321e-03
3.771122e-02 6.630614e-02 1.058905e-12 4.959661e-03
3.874675e-02 6.510069e-02 2.308644e-13 4.844684e-03
3.981072e-02 6.389568e-02 4.065576e-14 4.730430e-03
4.090390e-02 6.269149e-02 8.099019e-15 4.616941e-03
4.202710e-02 6.148853e-02 1.206395e-15 4.504257e-03
4.318114e-02 6.028718e-02 1.724045e-16 4.392419e-03
4.436687e-02 5.908786e-02 2.685457e-17 4.281466e-03
4.558516e-02 5.789099e-02 4.077787e-18 4.171439e-03
4.683691e-02 5.669697e-02 3.482132e-19 4.062377e-03
4.812303e-02 5.550623e-02 3.981019e-20 3.954320e-03
4.944446e-02 5.431920e-02 2.997759e-21 3.847307e-03
5.080218e-02 5.313630e-02 3.958536e-22 3.741376e-03
5.219718e-02 5.195798e-02 1.705810e-23 3.636565e-03
5.363049e-02 5.078466e-02 1.262222e-24 3.532913e-03
5.510316e-02 4.961680e-02 7.352785e-26 3.430454e-03
5.661626e-02 4.845483e-02 3.740995e-27 3.329227e-03
5.817091e-02 4.729919e-02 2.664282e-28 3.229267e-03
5.976826e-02 4.615035e-02 7.931104e-30 3.130607e-03
6.140946e-02 4.500874e-02 2.530114e-31 3.033283e-03
6.309573e-02 4.387481e-02 1.074005e-32 2.937327e-03
6.482831e-02 4.274902e-02 1.951913e-34 2.842771e-03
6.660846e-02 4.163181e-02 4.956185e-36 2.749646e-03
6.843750e-02 4.052363e-02 8.864033e-38 2.657984e-03
7.031676e-02 3.942493e-02 1.117970e-39 2.567811e-03
7.224762e-02 3.833615e-02 2.068326e-41 2.479157e-03
7.423150e-02 3.725773e-02 2.323784e-43 2.392047e-03
7.626986e-02 3.619011e-02 2.752749e-45 2.306508e-03
7.836419e-02 3.513373e-02 1.824016e-47 2.222562e-03
8.051603e-02 3.408901e-02 2.239273e-49 2.140234e-03
8.272696e-02 3.305637e-02 9.764260e-52 2.059542e-03
8.499860e-02 3.203624e-02 3.652929e-54 1.980509e-03
8.733262e-02 3.102903e-02 1.152510e-56 1.903150e-03
8.973072e-02 3.003513e-02 4.068206e-59 1.827484e-03
9.219468e-02 2.905494e-02 9.653173e-62 1.753524e-03
9.472630e-02 2.808885e-02 1.201924e-64 1.681285e-03
9.732744e-02 2.713723e-02 3.553249e-67 1.610777e-03
1.000000e-01 2.620045e-02 2.801439e-70 1.542011e-03
1.027459e-01 2.527886e-02 3.045288e-73 1.474994e-03
1.055673e-01 2.437279e-02 2.579363e-76 1.409733e-03
1.084661e-01 2.348259e-02 1.369272e-79 1.346232e-03
1.114445e-01 2.260855e-02 6.826157e-83 1.284493e-03
1.145048e-01 2.175098e-02 2.044919e-86 1.224518e-03
1.176490e-01 2.091017e-02 7.927761e-90 1.166306e-03
1.208796e-01 2.008638e-02 8.671886e-94 1.109852e-03
1.241989e-01 1.927987e-02 1.179311e-97 1.055152e-03
1.276093e-01 1.849086e-02 1.684587e-101 1.002200e-03
1.311134e-01 1.771957e-02 2.226934e-106 9.509864e-04
1.347137e-01 1.696620e-02 4.812573e-110 9.015004e-04
1.384129e-01 1.623093e-02 1.071171e-114 8.537298e-04
1.422136e-01 1.551392e-02 3.419145e-119 8.076603e-04
1.461187e-01 1.481529e-02 5.020699e-124 7.632754e-04
1.501311e-01 1.413517e-02 8.947820e-129 7.205574e-04
1.542536e-01 1.347365e-02 4.787151e-134 6.794865e-04
1.584893e-01 1.283080e-02 3.150906e-139 6.400413e-04
1.628414e-01 1.220668e-02 1.054017e-144 6.021986e-04
1.673129e-01 1.160131e-02 1.503110e-150 5.659337e-04
1.719072e-01 1.101469e-02 1.150034e-156 5.312204e-04
1.766277e-01 1.044681e-02 2.055295e-162 4.980308e-04
1.814778e-01 9.897615e-03 2.313816e-169 4.663357e-04
1.864611e-01 9.367052e-03 5.652584e-175 4.361044e-04
1.915812e-01 8.855028e-03 9.770114e-182 4.073051e-04
1.968419e-01 8.361431e-03 5.781846e-189 3.799047e-04
2.022471e-01 7.886127e-03 5.016175e-196 3.538691e-04
2.078007e-01 7.428955e-03 3.883467e-203 3.291630e-04
2.135068e-01 6.989736e-03 8.425106e-211 3.057502e-04
2.193696e-01 6.568266e-03 2.960704e-219 2.835937e-04
2.253934e-01 6.164322e-03 2.063199e-227 2.626556e-04
2.315826e-01 5.777657e-03 2.654395e-235 2.428977e-04
2.379417e-01 5.408002e-03 5.069229e-244 2.242808e-04
2.444755e-01 5.055072e-03 1.981815e-253 2.067657e-04
2.511886e-01 4.718561e-03 1.978100e-262 1.903126e-04
2.580862e-01 4.398143e-03 1.087181e-271 1.748814e-04
2.651731e-01 4.093477e-03 1.156582e-281 1.604320e-04
2.724546e-01 3.804205e-03 1.062865e-291 1.469244e-04
2.799360e-01 3.529950e-03 1.185567e-302 1.343184e-04
2.876229e-01 3.270325e-03 1.955409e-313 1.225742e-04
2.955209e-01 3.024929e-03 0.000000e+00 1.116522e-04
3.036358e-01 2.793347e-03 0.000000e+00 1.015132e-04
3.119735e-01 2.575155e-03 0.000000e+00 9.211843e-05
3.205401e-01 2.369918e-03 0.000000e+00 8.342968e-05
3.293420e-01 2.177194e-03 0.000000e+00 7.540942e-05
3.383855e-01 1.996535e-03 0.000000e+00 6.802085e-05
3.476774e-01 1.827486e-03 0.000000e+00 6.122803e-05
3.572245e-01 1.669589e-03 0.000000e+00 5.499577e-05
3.670336e-01 1.522383e-03 0.000000e+00 4.928995e-05
3.771122e-01 1.385406e-03 0.000000e+00 4.407738e-05
3.874675e-01 1.258196e-03 0.000000e+00 3.932599e-05
3.981072e-01 1.140295e-03 0.000000e+00 3.500479e-05
4.090390e-01 1.031246e-03 0.000000e+00 3.108393e-05
4.202710e-01 9.305945e-04 0.000000e+00 2.753475e-05
4.318114e-01 8.378952e-04 0.000000e+00 2.432982e-05
4.436687e-01 7.527087e-04 0.000000e+00 2.144294e-05
4.558516e-01 6.746023e-04 0.000000e+00 1.884916e-05
4.683691e-01 6.031542e-04 0.000000e+00 1.652477e-05
4.812303e-01 5.379514e-04 0.000000e+00 1.444734e-05
4.944446e-01 4.785928e-04 0.000000e+00 1.259570e-05
5.080218e-01 4.246892e-04 0.000000e+00 1.094989e-05
5.219718e-01 3.758648e-04 0.000000e+00 9.491205e-06
5.363049e-01 3.317562e-04 0.000000e+00 8.202161e-06
5.510316e-01 2.920150e-04 0.000000e+00 7.066416e-06
5.661626e-01 2.563070e-04 0.000000e+00 6.068815e-06
5.817091e-01 2.243133e-04 0.000000e+00 5.195288e-06
5.976826e-01 1.957303e-04 0.000000e+00 4.432863e-06
6.140946e-01 1.702700e-04 0.000000e+00 3.769587e-06
6.309573e-01 1.476600e-04 0.000000e+00 3.194510e-06
6.482831e-01 1.276435e-04 0.000000e+00 2.697614e-06
6.660846e-01 1.099794e-04 0.000000e+00 2.269787e-06
6.843750e-01 9.444213e-05 0.000000e+00 1.902753e-06
