#m eps p_+ p_-
0.02984519 55.74824 0.119003 0.005488427
0.02849534 57.38442 0.1198499 0.00633767
0.02784349 59.06861 0.1195756 0.006077678
0.02720654 60.80224 0.119301 0.005795883
0.02597604 62.58675 0.1201473 0.006697823
0.02538181 64.42364 0.1198739 0.006393856
0.02480118 66.31443 0.1196003 0.006073671
0.02423383 68.26072 0.1193264 0.005802904
0.02367946 70.26413 0.1190523 0.00550237
0.02313778 72.32634 0.1187779 0.005251617
0.02109214 74.44907 0.1218577 0.008194345
0.02158593 76.63411 0.1193549 0.005820028
0.02109214 78.88327 0.1190815 0.00560583
0.02060964 81.19845 0.118808 0.00531296
0.02013817 83.58158 0.1185342 0.005003877
0.01922736 86.03464 0.1193869 0.005855566
0.01878752 88.55971 0.1191144 0.005593264
0.01835773 91.15888 0.1188418 0.005349451
0.01752744 93.83434 0.1196942 0.006116505
0.01712649 96.58832 0.1194229 0.005902233
0.01673471 99.42313 0.1191514 0.00560082
0.01635189 102.3411 0.1188797 0.005366337
0.01597782 105.3448 0.1186079 0.005103688
0.01525517 108.4366 0.1194633 0.005957467
0.0149062 111.6191 0.1191929 0.005689373
0.0145652 114.8951 0.1189224 0.005383545
0.01423201 118.2672 0.1186518 0.005142996
0.01358832 121.7383 0.1195088 0.006019027
0.01327748 125.3112 0.1192396 0.005676576
0.01297374 128.989 0.1189704 0.005468855
0.01238696 132.7748 0.1198275 0.006306325
0.01238696 136.6716 0.1184317 0.004928034
0.01155617 140.6829 0.1204156 0.00686082
0.01155617 144.8118 0.1190243 0.005505752
0.01129182 149.062 0.1187565 0.005239829
0.01103351 153.4368 0.1184886 0.004953757
0.01053448 157.9401 0.1193512 0.005859866
0.01029349 162.5756 0.119085 0.005585327
0.01005802 167.3471 0.1188188 0.005291416
0.009827936 172.2586 0.1185527 0.005041005
0.009383434 177.3143 0.1194176 0.00590229
0.00916878 182.5183 0.1191532 0.005690013
0.008959037 187.8752 0.1188889 0.005364905
0.008553834 193.3892 0.1197546 0.006052087
0.008553834 199.065 0.1183605 0.00482843
0.008166958 204.9075 0.11923 0.005693136
0.007980132 210.9214 0.1189678 0.005458738
0.007619203 217.1118 0.1198364 0.006265323
0.007444907 223.4839 0.1195763 0.006073984
0.007274599 230.043 0.1193163 0.005821619
0.007108186 236.7946 0.1190566 0.005481274
0.00694558 243.7444 0.118797 0.005296978
0.006786694 250.8982 0.1185376 0.005032153
0.006479743 258.2619 0.1194136 0.005918495
0.006331514 265.8417 0.1191565 0.00563232
0.006186675 273.644 0.1188996 0.005360379
0.006045149 281.6753 0.1186431 0.005109229
0.005771737 289.9423 0.119523 0.005984571
0.005639704 298.4519 0.119269 0.005764446
0.005510691 307.2113 0.1190153 0.00546834
0.005261451 316.2278 0.1198973 0.006388554
