#./double_integration --dev=0 --block=256 --domainz=-10:20:1024 --domaint=-5:2:1024 --domaineps=-1:3:256:1 --lambda=6.66666666667 --zeta=0.15 --second=3.14 --skew=0.99>> integrate_6.66666666667_0.15_-1:3:256:1.dat
#eps <v_r> <v>/v_0 
8.058422e+00 1.460869e-01 1.973913e+00 
8.353625e+00 1.488003e-01 1.992002e+00 
8.659643e+00 1.515063e-01 2.010042e+00 
8.976871e+00 1.542030e-01 2.028020e+00 
9.305720e+00 1.568885e-01 2.045924e+00 
9.646616e+00 1.595612e-01 2.063741e+00 
1.000000e+01 1.622191e-01 2.081461e+00 
1.036633e+01 1.648606e-01 2.099070e+00 
1.074608e+01 1.674840e-01 2.116560e+00 
1.113974e+01 1.700876e-01 2.133918e+00 
1.154782e+01 1.726700e-01 2.151134e+00 
1.197085e+01 1.752297e-01 2.168198e+00 
1.240938e+01 1.777652e-01 2.185101e+00 
1.286397e+01 1.802752e-01 2.201835e+00 
1.333521e+01 1.827583e-01 2.218389e+00 
1.382372e+01 1.852135e-01 2.234756e+00 
1.433013e+01 1.876394e-01 2.250929e+00 
1.485508e+01 1.900351e-01 2.266900e+00 
1.539927e+01 1.923995e-01 2.282663e+00 
1.596339e+01 1.947317e-01 2.298211e+00 
1.654817e+01 1.970308e-01 2.313539e+00 
1.715438e+01 1.992960e-01 2.328640e+00 
1.778279e+01 2.015267e-01 2.343511e+00 
1.843423e+01 2.037221e-01 2.358148e+00 
1.910953e+01 2.058818e-01 2.372545e+00 
1.980957e+01 2.080051e-01 2.386700e+00 
2.053525e+01 2.100916e-01 2.400610e+00 
2.128752e+01 2.121409e-01 2.414273e+00 
2.206734e+01 2.141528e-01 2.427685e+00 
2.287573e+01 2.161269e-01 2.440846e+00 
2.371374e+01 2.180631e-01 2.453754e+00 
2.458244e+01 2.199612e-01 2.466408e+00 
2.548297e+01 2.218211e-01 2.478807e+00 
2.641648e+01 2.236428e-01 2.490952e+00 
2.738420e+01 2.254263e-01 2.502842e+00 
2.838736e+01 2.271717e-01 2.514478e+00 
2.942727e+01 2.288791e-01 2.525861e+00 
3.050528e+01 2.305487e-01 2.536991e+00 
3.162278e+01 2.321806e-01 2.547870e+00 
3.278121e+01 2.337750e-01 2.558500e+00 
3.398208e+01 2.353324e-01 2.568883e+00 
3.522695e+01 2.368529e-01 2.579019e+00 
3.651741e+01 2.383369e-01 2.588913e+00 
3.785515e+01 2.397848e-01 2.598565e+00 
3.924190e+01 2.411970e-01 2.607980e+00 
4.067944e+01 2.425739e-01 2.617159e+00 
4.216965e+01 2.439159e-01 2.626106e+00 
4.371445e+01 2.452236e-01 2.634824e+00 
4.531584e+01 2.464973e-01 2.643316e+00 
4.697589e+01 2.477377e-01 2.651585e+00 
4.869675e+01 2.489453e-01 2.659635e+00 
5.048066e+01 2.501205e-01 2.667470e+00 
5.232991e+01 2.512640e-01 2.675094e+00 
5.424691e+01 2.523763e-01 2.682509e+00 
5.623413e+01 2.534580e-01 2.689720e+00 
5.829415e+01 2.545095e-01 2.696730e+00 
6.042964e+01 2.555317e-01 2.703544e+00 
6.264335e+01 2.565249e-01 2.710166e+00 
6.493816e+01 2.574898e-01 2.716599e+00 
6.731704e+01 2.584271e-01 2.722847e+00 
6.978306e+01 2.593372e-01 2.728915e+00 
7.233942e+01 2.602209e-01 2.734806e+00 
7.498942e+01 2.610786e-01 2.740524e+00 
7.773650e+01 2.619110e-01 2.746074e+00 
8.058422e+01 2.627187e-01 2.751458e+00 
8.353625e+01 2.635023e-01 2.756682e+00 
8.659643e+01 2.642622e-01 2.761748e+00 
8.976871e+01 2.649992e-01 2.766662e+00 
9.305720e+01 2.657138e-01 2.771426e+00 
9.646616e+01 2.664066e-01 2.776044e+00 
1.000000e+02 2.670780e-01 2.780520e+00 
1.036633e+02 2.677288e-01 2.784858e+00 
1.074608e+02 2.683593e-01 2.789062e+00 
1.113974e+02 2.689702e-01 2.793135e+00 
1.154782e+02 2.695619e-01 2.797080e+00 
1.197085e+02 2.701351e-01 2.800901e+00 
1.240938e+02 2.706901e-01 2.804601e+00 
1.286397e+02 2.712276e-01 2.808184e+00 
1.333521e+02 2.717479e-01 2.811653e+00 
1.382372e+02 2.722517e-01 2.815011e+00 
1.433013e+02 2.727392e-01 2.818262e+00 
1.485508e+02 2.732111e-01 2.821408e+00 
1.539927e+02 2.736678e-01 2.824452e+00 
1.596339e+02 2.741097e-01 2.827398e+00 
1.654817e+02 2.745372e-01 2.830248e+00 
1.715438e+02 2.749508e-01 2.833006e+00 
1.778279e+02 2.753509e-01 2.835673e+00 
1.843423e+02 2.757379e-01 2.838253e+00 
1.910953e+02 2.761122e-01 2.840748e+00 
1.980957e+02 2.764742e-01 2.843161e+00 
2.053525e+02 2.768242e-01 2.845495e+00 
2.128752e+02 2.771626e-01 2.847751e+00 
2.206734e+02 2.774898e-01 2.849932e+00 
2.287573e+02 2.778061e-01 2.852041e+00 
2.371374e+02 2.781119e-01 2.854079e+00 
2.458244e+02 2.784075e-01 2.856050e+00 
2.548297e+02 2.786932e-01 2.857954e+00 
2.641648e+02 2.789693e-01 2.859795e+00 
2.738420e+02 2.792361e-01 2.861574e+00 
2.838736e+02 2.794940e-01 2.863293e+00 
2.942727e+02 2.797431e-01 2.864954e+00 
3.050528e+02 2.799839e-01 2.866559e+00 
3.162278e+02 2.802165e-01 2.868110e+00 
3.278121e+02 2.804413e-01 2.869609e+00 
3.398208e+02 2.806584e-01 2.871056e+00 
3.522695e+02 2.808682e-01 2.872454e+00 
3.651741e+02 2.810708e-01 2.873805e+00 
3.785515e+02 2.812665e-01 2.875110e+00 
3.924190e+02 2.814555e-01 2.876370e+00 
4.067944e+02 2.816381e-01 2.877587e+00 
4.216965e+02 2.818145e-01 2.878763e+00 
4.371445e+02 2.819848e-01 2.879898e+00 
4.531584e+02 2.821492e-01 2.880995e+00 
4.697589e+02 2.823081e-01 2.882054e+00 
4.869675e+02 2.824614e-01 2.883076e+00 
5.048066e+02 2.826095e-01 2.884064e+00 
5.232991e+02 2.827526e-01 2.885017e+00 
5.424691e+02 2.828906e-01 2.885938e+00 
5.623413e+02 2.830240e-01 2.886826e+00 
5.829415e+02 2.831527e-01 2.887685e+00 
6.042964e+02 2.832770e-01 2.888513e+00 
6.264335e+02 2.833970e-01 2.889313e+00 
6.493816e+02 2.835128e-01 2.890085e+00 
6.731704e+02 2.836246e-01 2.890831e+00 
6.978306e+02 2.837326e-01 2.891551e+00 
7.233942e+02 2.838368e-01 2.892245e+00 
7.498942e+02 2.839374e-01 2.892916e+00 
7.773650e+02 2.840345e-01 2.893563e+00 
8.058422e+02 2.841282e-01 2.894188e+00 
8.353625e+02 2.842187e-01 2.894791e+00 
8.659643e+02 2.843060e-01 2.895374e+00 
8.976871e+02 2.843903e-01 2.895936e+00 
9.305720e+02 2.844717e-01 2.896478e+00 
9.646616e+02 2.845502e-01 2.897001e+00 
