#./double_integration --dev=0 --block=256 --domainz=-10:20:1024 --domaint=-5:2:1024 --domaineps=-1:3:256:1 --lambda=10.0 --zeta=0.1 --second=3.14 --skew=0.99>> integrate_10.0_0.1_-1:3:256:1.dat
#eps <v_r> <v>/v_0 
1.000000e-01 2.090826e-03 1.020908e+00 
1.036633e-01 2.167350e-03 1.021673e+00 
1.074608e-01 2.246672e-03 1.022467e+00 
1.113974e-01 2.328894e-03 1.023289e+00 
1.154782e-01 2.414121e-03 1.024141e+00 
1.197085e-01 2.502464e-03 1.025025e+00 
1.240938e-01 2.594035e-03 1.025940e+00 
1.286397e-01 2.688952e-03 1.026890e+00 
1.333521e-01 2.787337e-03 1.027873e+00 
1.382372e-01 2.889317e-03 1.028893e+00 
1.433013e-01 2.995022e-03 1.029950e+00 
1.485508e-01 3.104587e-03 1.031046e+00 
1.539927e-01 3.218154e-03 1.032182e+00 
1.596339e-01 3.335867e-03 1.033359e+00 
1.654817e-01 3.457878e-03 1.034579e+00 
1.715438e-01 3.584342e-03 1.035843e+00 
1.778279e-01 3.715422e-03 1.037154e+00 
1.843423e-01 3.851284e-03 1.038513e+00 
1.910953e-01 3.992103e-03 1.039921e+00 
1.980957e-01 4.138057e-03 1.041381e+00 
2.053525e-01 4.289334e-03 1.042893e+00 
2.128752e-01 4.446126e-03 1.044461e+00 
2.206734e-01 4.608633e-03 1.046086e+00 
2.287573e-01 4.777061e-03 1.047771e+00 
2.371374e-01 4.951625e-03 1.049516e+00 
2.458244e-01 5.132545e-03 1.051325e+00 
2.548297e-01 5.320053e-03 1.053201e+00 
2.641648e-01 5.514385e-03 1.055144e+00 
2.738420e-01 5.715786e-03 1.057158e+00 
2.838736e-01 5.924513e-03 1.059245e+00 
2.942727e-01 6.140827e-03 1.061408e+00 
3.050528e-01 6.365003e-03 1.063650e+00 
3.162278e-01 6.597321e-03 1.065973e+00 
3.278121e-01 6.838074e-03 1.068381e+00 
3.398208e-01 7.087564e-03 1.070876e+00 
3.522695e-01 7.346102e-03 1.073461e+00 
3.651741e-01 7.614013e-03 1.076140e+00 
3.785515e-01 7.891630e-03 1.078916e+00 
3.924190e-01 8.179298e-03 1.081793e+00 
4.067944e-01 8.477375e-03 1.084774e+00 
4.216965e-01 8.786229e-03 1.087862e+00 
4.371445e-01 9.106242e-03 1.091062e+00 
4.531584e-01 9.437807e-03 1.094378e+00 
4.697589e-01 9.781333e-03 1.097813e+00 
4.869675e-01 1.013724e-02 1.101372e+00 
5.048066e-01 1.050596e-02 1.105060e+00 
5.232991e-01 1.088794e-02 1.108879e+00 
5.424691e-01 1.128364e-02 1.112836e+00 
5.623413e-01 1.169354e-02 1.116935e+00 
5.829415e-01 1.211814e-02 1.121181e+00 
6.042964e-01 1.255793e-02 1.125579e+00 
6.264335e-01 1.301345e-02 1.130134e+00 
6.493816e-01 1.348522e-02 1.134852e+00 
6.731704e-01 1.397381e-02 1.139738e+00 
6.978306e-01 1.447977e-02 1.144798e+00 
7.233942e-01 1.500370e-02 1.150037e+00 
7.498942e-01 1.554621e-02 1.155462e+00 
7.773650e-01 1.610790e-02 1.161079e+00 
8.058422e-01 1.668941e-02 1.166894e+00 
8.353625e-01 1.729141e-02 1.172914e+00 
8.659643e-01 1.791454e-02 1.179145e+00 
8.976871e-01 1.855951e-02 1.185595e+00 
9.305720e-01 1.922701e-02 1.192270e+00 
9.646616e-01 1.991777e-02 1.199178e+00 
1.000000e+00 2.063250e-02 1.206325e+00 
1.036633e+00 2.137197e-02 1.213720e+00 
1.074608e+00 2.213693e-02 1.221369e+00 
1.113974e+00 2.292817e-02 1.229282e+00 
1.154782e+00 2.374648e-02 1.237465e+00 
1.197085e+00 2.459265e-02 1.245927e+00 
1.240938e+00 2.546752e-02 1.254675e+00 
1.286397e+00 2.637190e-02 1.263719e+00 
1.333521e+00 2.730663e-02 1.273066e+00 
1.382372e+00 2.827257e-02 1.282726e+00 
1.433013e+00 2.927055e-02 1.292705e+00 
1.485508e+00 3.030144e-02 1.303014e+00 
1.539927e+00 3.136609e-02 1.313661e+00 
