#./double_integration --dev=0 --block=256 --domainz=-10:20:1024 --domaint=-5:2:1024 --domaineps=-1:3:256:1 --lambda=5.0 --zeta=0.2 --second=3.14 --skew=0.99>> integrate_5.0_0.2_-1:3:256:1.dat
#eps <v_r> <v>/v_0 
1.000000e-01 3.669480e-03 1.018347e+00 
1.036633e-01 3.803394e-03 1.019017e+00 
1.074608e-01 3.942174e-03 1.019711e+00 
1.113974e-01 4.085993e-03 1.020430e+00 
1.154782e-01 4.235031e-03 1.021175e+00 
1.197085e-01 4.389478e-03 1.021947e+00 
1.240938e-01 4.549525e-03 1.022748e+00 
1.286397e-01 4.715373e-03 1.023577e+00 
1.333521e-01 4.887230e-03 1.024436e+00 
1.382372e-01 5.065311e-03 1.025327e+00 
1.433013e-01 5.249836e-03 1.026249e+00 
1.485508e-01 5.441036e-03 1.027205e+00 
1.539927e-01 5.639147e-03 1.028196e+00 
1.596339e-01 5.844415e-03 1.029222e+00 
1.654817e-01 6.057093e-03 1.030285e+00 
1.715438e-01 6.277443e-03 1.031387e+00 
1.778279e-01 6.505736e-03 1.032529e+00 
1.843423e-01 6.742252e-03 1.033711e+00 
1.910953e-01 6.987280e-03 1.034936e+00 
1.980957e-01 7.241118e-03 1.036206e+00 
2.053525e-01 7.504074e-03 1.037520e+00 
2.128752e-01 7.776467e-03 1.038882e+00 
2.206734e-01 8.058625e-03 1.040293e+00 
2.287573e-01 8.350887e-03 1.041754e+00 
2.371374e-01 8.653602e-03 1.043268e+00 
2.458244e-01 8.967131e-03 1.044836e+00 
2.548297e-01 9.291845e-03 1.046459e+00 
2.641648e-01 9.628128e-03 1.048141e+00 
2.738420e-01 9.976373e-03 1.049882e+00 
2.838736e-01 1.033699e-02 1.051685e+00 
2.942727e-01 1.071039e-02 1.053552e+00 
3.050528e-01 1.109701e-02 1.055485e+00 
3.162278e-01 1.149729e-02 1.057486e+00 
3.278121e-01 1.191168e-02 1.059558e+00 
3.398208e-01 1.234066e-02 1.061703e+00 
3.522695e-01 1.278470e-02 1.063923e+00 
3.651741e-01 1.324429e-02 1.066221e+00 
3.785515e-01 1.371995e-02 1.068600e+00 
3.924190e-01 1.421218e-02 1.071061e+00 
4.067944e-01 1.472151e-02 1.073608e+00 
4.216965e-01 1.524850e-02 1.076243e+00 
4.371445e-01 1.579369e-02 1.078968e+00 
4.531584e-01 1.635766e-02 1.081788e+00 
4.697589e-01 1.694097e-02 1.084705e+00 
4.869675e-01 1.754421e-02 1.087721e+00 
5.048066e-01 1.816800e-02 1.090840e+00 
5.232991e-01 1.881294e-02 1.094065e+00 
5.424691e-01 1.947964e-02 1.097398e+00 
5.623413e-01 2.016874e-02 1.100844e+00 
5.829415e-01 2.088087e-02 1.104404e+00 
6.042964e-01 2.161668e-02 1.108083e+00 
6.264335e-01 2.237682e-02 1.111884e+00 
6.493816e-01 2.316194e-02 1.115810e+00 
6.731704e-01 2.397271e-02 1.119864e+00 
6.978306e-01 2.480978e-02 1.124049e+00 
7.233942e-01 2.567382e-02 1.128369e+00 
7.498942e-01 2.656549e-02 1.132827e+00 
7.773650e-01 2.748545e-02 1.137427e+00 
8.058422e-01 2.843435e-02 1.142172e+00 
8.353625e-01 2.941285e-02 1.147064e+00 
8.659643e-01 3.042158e-02 1.152108e+00 
8.976871e-01 3.146118e-02 1.157306e+00 
9.305720e-01 3.253225e-02 1.162661e+00 
9.646616e-01 3.363540e-02 1.168177e+00 
1.000000e+00 3.477121e-02 1.173856e+00 
1.036633e+00 3.594023e-02 1.179701e+00 
1.074608e+00 3.714301e-02 1.185715e+00 
1.113974e+00 3.838006e-02 1.191900e+00 
1.154782e+00 3.965183e-02 1.198259e+00 
1.197085e+00 4.095879e-02 1.204794e+00 
1.240938e+00 4.230133e-02 1.211507e+00 
1.286397e+00 4.367982e-02 1.218399e+00 
1.333521e+00 4.509458e-02 1.225473e+00 
1.382372e+00 4.654589e-02 1.232729e+00 
1.433013e+00 4.803397e-02 1.240170e+00 
1.485508e+00 4.955899e-02 1.247795e+00 
1.539927e+00 5.112107e-02 1.255605e+00 
1.596339e+00 5.272026e-02 1.263601e+00 
1.654817e+00 5.435656e-02 1.271783e+00 
1.715438e+00 5.602989e-02 1.280149e+00 
1.778279e+00 5.774011e-02 1.288701e+00 
1.843423e+00 5.948703e-02 1.297435e+00 
1.910953e+00 6.127035e-02 1.306352e+00 
1.980957e+00 6.308973e-02 1.315449e+00 
2.053525e+00 6.494473e-02 1.324724e+00 
2.128752e+00 6.683486e-02 1.334174e+00 
2.206734e+00 6.875953e-02 1.343798e+00 
2.287573e+00 7.071808e-02 1.353590e+00 
2.371374e+00 7.270979e-02 1.363549e+00 
2.458244e+00 7.473383e-02 1.373669e+00 
2.548297e+00 7.678932e-02 1.383947e+00 
2.641648e+00 7.887530e-02 1.394377e+00 
2.738420e+00 8.099073e-02 1.404954e+00 
2.838736e+00 8.313450e-02 1.415673e+00 
