#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=10 --skew=0.99 --distribution=s>> journal_5_s_10_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-6.580186e-01 4.193874e-01 1.002740e+00 2.061395e+06 1.640358e+02 -3.670394e-03 4.969835e-04
-6.513720e-01 4.268341e-01 1.005443e+00 2.060629e+06 1.639901e+02 1.489878e-03 4.857779e-04
-6.447253e-01 4.336189e-01 1.001886e+00 2.052000e+06 1.632972e+02 6.491661e-03 4.647970e-04
-6.380786e-01 4.416670e-01 1.000813e+00 2.052245e+06 1.633027e+02 6.820083e-03 4.714727e-04
-6.314319e-01 4.480308e-01 1.006210e+00 2.061695e+06 1.640852e+02 5.036950e-03 4.674196e-04
-6.247852e-01 4.567905e-01 1.002616e+00 2.059440e+06 1.638627e+02 9.093404e-03 4.900694e-04
-6.181385e-01 4.634158e-01 1.004635e+00 2.054654e+06 1.634809e+02 9.599805e-03 4.742146e-04
-6.114918e-01 4.711976e-01 1.005481e+00 2.070842e+06 1.648068e+02 1.247680e-02 4.432201e-04
-6.048451e-01 4.785121e-01 1.008723e+00 2.066771e+06 1.644614e+02 1.245296e-02 4.836321e-04
-5.981984e-01 4.870487e-01 1.007442e+00 2.061231e+06 1.640322e+02 7.775187e-03 5.069971e-04
-5.915517e-01 4.938480e-01 1.006983e+00 2.068963e+06 1.646491e+02 1.095998e-02 4.644394e-04
-5.849050e-01 5.012239e-01 1.005563e+00 2.065745e+06 1.643700e+02 1.132846e-02 4.712343e-04
-5.782583e-01 5.085703e-01 1.004352e+00 2.059148e+06 1.638426e+02 7.875443e-03 4.804134e-04
-5.716116e-01 5.162765e-01 1.006131e+00 2.063408e+06 1.642044e+02 1.034534e-02 4.690886e-04
-5.649650e-01 5.238746e-01 1.005006e+00 2.056630e+06 1.636489e+02 1.258540e-02 4.717112e-04
-5.583183e-01 5.311102e-01 1.006525e+00 2.062427e+06 1.641252e+02 1.122451e-02 4.539490e-04
-5.516716e-01 5.393856e-01 1.003536e+00 2.066074e+06 1.643991e+02 1.590562e-02 4.736185e-04
-5.450249e-01 5.473697e-01 1.005684e+00 2.065918e+06 1.643568e+02 1.590526e-02 4.580021e-04
-5.383782e-01 5.535913e-01 1.009657e+00 2.086726e+06 1.660672e+02 1.513028e-02 4.831553e-04
-5.317315e-01 5.612136e-01 1.001530e+00 2.060153e+06 1.639211e+02 1.364803e-02 4.667044e-04
-5.250848e-01 5.699563e-01 1.005492e+00 2.069329e+06 1.646828e+02 2.293849e-02 4.750490e-04
-5.184381e-01 5.766466e-01 1.002545e+00 2.064170e+06 1.642442e+02 2.051234e-02 4.620552e-04
-5.117914e-01 5.837530e-01 1.002323e+00 2.056040e+06 1.636017e+02 2.212894e-02 4.525185e-04
-5.051447e-01 5.916040e-01 1.003194e+00 2.071651e+06 1.648291e+02 2.056992e-02 4.810095e-04
-4.984981e-01 5.992368e-01 1.003370e+00 2.069670e+06 1.646899e+02 2.098811e-02 4.591942e-04
-4.918514e-01 6.062373e-01 1.003449e+00 2.058807e+06 1.638378e+02 1.507080e-02 4.590750e-04
-4.852047e-01 6.138972e-01 9.990274e-01 2.061065e+06 1.639893e+02 1.730168e-02 4.090071e-04
-4.785581e-01 6.201526e-01 1.001942e+00 2.064171e+06 1.642813e+02 1.708913e-02 4.650354e-04
-4.719114e-01 6.298288e-01 1.002092e+00 2.061962e+06 1.640712e+02 1.032364e-02 4.762411e-04
-4.652647e-01 6.362107e-01 1.001579e+00 2.053096e+06 1.633736e+02 1.873529e-02 4.709959e-04
-4.586181e-01 6.441569e-01 1.002901e+00 2.063445e+06 1.642184e+02 1.882446e-02 4.737377e-04
-4.519714e-01 6.505299e-01 9.976048e-01 2.052377e+06 1.633206e+02 1.764250e-02 4.483461e-04
-4.453247e-01 6.572512e-01 1.003987e+00 2.057920e+06 1.637900e+02 1.007497e-02 4.669428e-04
-4.386781e-01 6.636934e-01 1.006409e+00 2.060338e+06 1.639517e+02 1.403344e-02 4.693270e-04
-4.320314e-01 6.709543e-01 1.004334e+00 2.052244e+06 1.633245e+02 1.814961e-03 4.674196e-04
-4.253848e-01 6.758815e-01 1.002454e+00 2.054312e+06 1.634563e+02 1.159656e-02 4.656315e-04
-4.187381e-01 6.828168e-01 9.992457e-01 2.048163e+06 1.630057e+02 1.444006e-02 4.489422e-04
-4.120914e-01 6.901647e-01 1.001983e+00 2.047931e+06 1.630179e+02 7.524133e-03 4.743338e-04
-4.054448e-01 6.971805e-01 9.969731e-01 2.045583e+06 1.628090e+02 1.256001e-02 4.676580e-04
-3.987981e-01 7.032719e-01 1.001945e+00 2.054284e+06 1.634238e+02 1.478815e-02 4.792213e-04
-3.921514e-01 7.095010e-01 9.987734e-01 2.039502e+06 1.622785e+02 1.294601e-02 4.719496e-04
-3.855048e-01 7.144387e-01 9.949176e-01 2.033856e+06 1.618407e+02 1.116788e-02 4.580021e-04
-3.788581e-01 7.219128e-01 1.001368e+00 2.042897e+06 1.625868e+02 8.611321e-03 4.403591e-04
-3.722115e-01 7.276492e-01 1.003158e+00 2.043633e+06 1.626161e+02 1.608324e-02 4.663467e-04
-3.655648e-01 7.342554e-01 1.001899e+00 2.045694e+06 1.627533e+02 1.976240e-02 5.125999e-04
-3.589181e-01 7.400864e-01 9.996709e-01 2.043462e+06 1.626320e+02 1.855719e-02 4.439354e-04
-3.522715e-01 7.463855e-01 1.001634e+00 2.046242e+06 1.628169e+02 2.224505e-02 4.841089e-04
-3.456248e-01 7.530190e-01 1.001315e+00 2.048715e+06 1.630635e+02 9.486079e-03 4.634857e-04
-3.389781e-01 7.595893e-01 1.003174e+00 2.049428e+06 1.631068e+02 1.635635e-02 4.544258e-04
-3.323315e-01 7.660924e-01 1.004129e+00 2.046752e+06 1.628566e+02 1.851487e-02 4.744530e-04
-3.256848e-01 7.721758e-01 1.003476e+00 2.048132e+06 1.629640e+02 1.401186e-02 4.494190e-04
-3.190382e-01 7.786070e-01 1.004235e+00 2.052149e+06 1.633014e+02 1.225591e-02 5.073547e-04
-3.123915e-01 7.840189e-01 1.000996e+00 2.039265e+06 1.622384e+02 1.631522e-02 4.843473e-04
-3.057448e-01 7.899653e-01 1.007066e+00 2.048119e+06 1.630420e+02 1.445830e-02 4.634857e-04
-2.990982e-01 7.955316e-01 1.004341e+00 2.044346e+06 1.626532e+02 1.587927e-02 4.789829e-04
-2.924515e-01 8.012340e-01 1.001389e+00 2.049498e+06 1.630997e+02 1.417196e-02 4.802942e-04
-2.858048e-01 8.083640e-01 1.005253e+00 2.043329e+06 1.626929e+02 1.366508e-02 4.733801e-04
-2.791582e-01 8.124560e-01 1.005046e+00 2.050402e+06 1.631562e+02 4.306674e-03 4.283190e-04
-2.725115e-01 8.186626e-01 1.002672e+00 2.040220e+06 1.623544e+02 1.622212e-02 4.566908e-04
-2.658648e-01 8.234486e-01 1.000505e+00 2.035171e+06 1.619249e+02 1.633108e-02 4.454851e-04
-2.592182e-01 8.300345e-01 1.001611e+00 2.036975e+06 1.620797e+02 1.587844e-02 4.925728e-04
-2.525715e-01 8.348449e-01 1.001543e+00 2.042318e+06 1.624854e+02 2.027977e-02 4.659891e-04
-2.459249e-01 8.404547e-01 1.000046e+00 2.039014e+06 1.622327e+02 5.183697e-03 4.538298e-04
-2.392782e-01 8.452930e-01 1.005734e+00 2.050175e+06 1.632016e+02 1.252687e-02 4.667044e-04
-2.326315e-01 8.507386e-01 1.006433e+00 2.058285e+06 1.637496e+02 1.176095e-02 5.246401e-04
-2.259849e-01 8.548184e-01 1.001669e+00 2.044657e+06 1.626713e+02 1.107109e-02 4.668236e-04
-2.193382e-01 8.598370e-01 1.000380e+00 2.036692e+06 1.621284e+02 1.156497e-02 4.767179e-04
-2.126915e-01 8.651540e-01 1.001468e+00 2.045904e+06 1.628200e+02 1.549160e-02 4.570484e-04
-2.060449e-01 8.691946e-01 9.982502e-01 2.034921e+06 1.619257e+02 2.378821e-03 4.463196e-04
-1.993982e-01 8.752570e-01 9.994872e-01 2.046144e+06 1.627961e+02 9.266257e-03 4.713535e-04
-1.927516e-01 8.802900e-01 9.998242e-01 2.043359e+06 1.625973e+02 6.558061e-03 4.866123e-04
-1.861049e-01 8.844018e-01 9.957677e-01 2.033695e+06 1.617603e+02 1.321411e-02 4.279613e-04
-1.794582e-01 8.896627e-01 1.005268e+00 2.052998e+06 1.634012e+02 6.625772e-03 4.916191e-04
-1.728116e-01 8.937402e-01 1.002195e+00 2.040805e+06 1.623729e+02 1.330411e-02 4.502535e-04
-1.661649e-01 8.975139e-01 1.001528e+00 2.049739e+06 1.631559e+02 9.067297e-03 4.756451e-04
