#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> journal_5_s_3.14_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-9.970000e-01 nan nan nan nan nan nan
-9.903533e-01 -3.134752e+00 1.002231e+00 5.794500e+05 4.626443e+01 1.973057e-02 5.149841e-04
-9.837066e-01 -3.103599e+00 9.969333e-01 5.761853e+05 4.502939e+01 2.942419e-02 5.317926e-04
-9.770599e-01 -3.071890e+00 9.987549e-01 5.809125e+05 4.640703e+01 2.894819e-02 5.064011e-04
-9.704132e-01 -3.039673e+00 9.996889e-01 5.828569e+05 4.723209e+01 2.751362e-02 4.994869e-04
-9.637665e-01 -3.007680e+00 9.976922e-01 5.792138e+05 4.610400e+01 2.634323e-02 5.033016e-04
-9.571198e-01 -2.975453e+00 9.998603e-01 5.819607e+05 4.591556e+01 1.282203e-02 5.228519e-04
-9.504731e-01 -2.942483e+00 1.000974e+00 5.822419e+05 4.682975e+01 2.640605e-03 4.900694e-04
-9.438264e-01 -2.910477e+00 1.001772e+00 5.827869e+05 4.582134e+01 4.050970e-03 5.122423e-04
-9.371797e-01 -2.877470e+00 9.983665e-01 5.828056e+05 4.693925e+01 -4.378736e-03 4.932880e-04
-9.305331e-01 -2.845295e+00 1.000641e+00 5.851704e+05 4.625425e+01 -6.038189e-03 4.916191e-04
-9.238864e-01 -2.812811e+00 9.986368e-01 5.881830e+05 4.664640e+01 -1.157641e-03 4.928112e-04
-9.172397e-01 -2.779763e+00 9.946453e-01 5.828256e+05 4.664895e+01 8.213520e-05 4.863739e-04
-9.105930e-01 -2.747367e+00 9.928577e-01 5.818153e+05 4.615493e+01 6.352782e-03 4.805326e-04
-9.039463e-01 -2.713866e+00 9.990753e-01 5.897481e+05 4.737979e+01 4.129887e-03 5.130768e-04
-8.972996e-01 -2.681165e+00 1.001219e+00 5.906532e+05 4.650380e+01 1.310110e-03 5.058050e-04
-8.906529e-01 -2.648428e+00 9.999759e-01 5.910055e+05 4.647070e+01 3.934979e-03 4.798174e-04
-8.840062e-01 -2.615773e+00 1.002769e+00 5.973809e+05 4.696217e+01 -6.448746e-03 4.929304e-04
-8.773595e-01 -2.583597e+00 1.000640e+00 5.945494e+05 4.681956e+01 5.756021e-03 5.072355e-04
-8.707128e-01 -2.551325e+00 9.991760e-01 5.943104e+05 4.673553e+01 1.247752e-02 5.381107e-04
-8.640661e-01 -2.519032e+00 1.002314e+00 5.956486e+05 4.783179e+01 1.720691e-02 5.265474e-04
-8.574194e-01 -2.487559e+00 9.950138e-01 5.909534e+05 4.671516e+01 1.097441e-02 5.067587e-04
-8.507727e-01 -2.455237e+00 9.987218e-01 5.936295e+05 4.753385e+01 1.938355e-02 4.994869e-04
-8.441260e-01 -2.423504e+00 9.986006e-01 5.937287e+05 4.707294e+01 3.206611e-02 5.365610e-04
-8.374794e-01 -2.391608e+00 1.003584e+00 5.978312e+05 4.721045e+01 2.686477e-02 4.684925e-04
-8.308327e-01 -2.360133e+00 9.985386e-01 5.957458e+05 4.734541e+01 1.946318e-02 5.099773e-04
-8.241860e-01 -2.327587e+00 9.996480e-01 5.943126e+05 4.788144e+01 2.525818e-02 5.038977e-04
-8.175393e-01 -2.296589e+00 9.971569e-01 5.957578e+05 4.778086e+01 3.151286e-02 5.199909e-04
-8.108926e-01 -2.265325e+00 9.976571e-01 5.937182e+05 4.722573e+01 3.075421e-02 4.901886e-04
-8.042459e-01 -2.234417e+00 9.966393e-01 5.961008e+05 4.774139e+01 2.824116e-02 5.086660e-04
-7.975992e-01 -2.203149e+00 1.000866e+00 6.001611e+05 4.805588e+01 2.013791e-02 5.341768e-04
-7.909525e-01 -2.172608e+00 9.984490e-01 5.985788e+05 4.787253e+01 2.110255e-02 4.938841e-04
-7.843058e-01 -2.141748e+00 9.971146e-01 5.997519e+05 4.762425e+01 1.814187e-02 5.018711e-04
-7.776591e-01 -2.111054e+00 1.001827e+00 6.007682e+05 4.813864e+01 1.368427e-02 5.351305e-04
-7.710124e-01 -2.080133e+00 9.958330e-01 6.002616e+05 4.791710e+01 8.917928e-03 5.105734e-04
-7.643657e-01 -2.049997e+00 9.968210e-01 5.984545e+05 4.778341e+01 2.747917e-02 4.909039e-04
-7.577190e-01 -2.019533e+00 9.968855e-01 5.980628e+05 4.760643e+01 1.679015e-02 5.272627e-04
-7.510723e-01 -1.988946e+00 9.990293e-01 6.010816e+05 4.809026e+01 2.335298e-02 4.954338e-04
-7.444257e-01 -1.959424e+00 1.001197e+00 6.037652e+05 4.814500e+01 1.570451e-02 5.084276e-04
-7.377790e-01 -1.929856e+00 9.993019e-01 6.060547e+05 4.848241e+01 1.962972e-02 4.924536e-04
-7.311323e-01 -1.899524e+00 1.004187e+00 6.068308e+05 4.806479e+01 1.520169e-02 5.139112e-04
-7.244856e-01 -1.869871e+00 9.986765e-01 6.073086e+05 4.857027e+01 1.776707e-02 4.916191e-04
-7.178389e-01 -1.839700e+00 9.971632e-01 6.062382e+05 4.824559e+01 1.769745e-02 5.151033e-04
-7.111922e-01 -1.810788e+00 9.974204e-01 6.066078e+05 4.836591e+01 1.776338e-03 4.975796e-04
-7.045455e-01 -1.781336e+00 9.992700e-01 6.070271e+05 4.829398e+01 1.410651e-02 5.182028e-04
-6.978988e-01 -1.752267e+00 1.001938e+00 6.084754e+05 4.826723e+01 2.202785e-02 4.795790e-04
-6.912521e-01 -1.722438e+00 1.006948e+00 6.114312e+05 4.855690e+01 1.705015e-02 4.522800e-04
-6.846054e-01 -1.693560e+00 1.004287e+00 6.151806e+05 4.853716e+01 2.248037e-02 5.023479e-04
-6.779587e-01 -1.664837e+00 1.003911e+00 6.146384e+05 4.876189e+01 6.552815e-03 4.680157e-04
-6.713120e-01 -1.636269e+00 1.006276e+00 6.151165e+05 4.877526e+01 1.586449e-02 4.986525e-04
-6.646653e-01 -1.607730e+00 9.965538e-01 6.111331e+05 4.882937e+01 1.256430e-02 5.068779e-04
-6.580186e-01 -1.578452e+00 1.003162e+00 6.132539e+05 4.897834e+01 1.318073e-02 5.028248e-04
-6.513720e-01 -1.550531e+00 1.003323e+00 6.172670e+05 4.891850e+01 1.312709e-02 4.601479e-04
-6.447253e-01 -1.521576e+00 1.002363e+00 6.130054e+05 4.862374e+01 1.622832e-02 5.003214e-04
-6.380786e-01 -1.493088e+00 9.995621e-01 6.123488e+05 4.856263e+01 2.272844e-02 5.135536e-04
-6.314319e-01 -1.464915e+00 1.006107e+00 6.151854e+05 4.893633e+01 2.402103e-02 4.818439e-04
-6.247852e-01 -1.437403e+00 1.007846e+00 6.164379e+05 4.908274e+01 2.752209e-02 4.757643e-04
-6.181385e-01 -1.409082e+00 1.000440e+00 6.113574e+05 4.872306e+01 3.152740e-02 4.909039e-04
-6.114918e-01 -1.381326e+00 1.002677e+00 6.184189e+05 4.897580e+01 3.037286e-02 5.229712e-04
-6.048451e-01 -1.353550e+00 1.001304e+00 6.181341e+05 4.920943e+01 3.196990e-02 4.893541e-04
-5.981984e-01 -1.326519e+00 1.001554e+00 6.170131e+05 4.906174e+01 3.498411e-02 4.860163e-04
-5.915517e-01 -1.298493e+00 1.005058e+00 6.205877e+05 4.932243e+01 2.737856e-02 5.115271e-04
-5.849050e-01 -1.270401e+00 1.001528e+00 6.179299e+05 4.902195e+01 1.790857e-02 4.929304e-04
-5.782583e-01 -1.243056e+00 1.004369e+00 6.212459e+05 4.935108e+01 2.084672e-02 4.862547e-04
-5.716116e-01 -1.214871e+00 1.005372e+00 6.244032e+05 4.953284e+01 1.235962e-02 4.993677e-04
-5.649650e-01 -1.187510e+00 1.004020e+00 6.208132e+05 4.945103e+01 2.721238e-02 4.662275e-04
-5.583183e-01 -1.160853e+00 1.007330e+00 6.243930e+05 4.975438e+01 2.595437e-02 5.103350e-04
-5.516716e-01 -1.133242e+00 1.009457e+00 6.261642e+05 4.979099e+01 2.727497e-02 4.988909e-04
-5.450249e-01 -1.106193e+00 1.004102e+00 6.199116e+05 4.932689e+01 1.526642e-02 4.876852e-04
-5.383782e-01 -1.078954e+00 1.009691e+00 6.228864e+05 4.956212e+01 2.333462e-02 4.760027e-04
-5.317315e-01 -1.052871e+00 1.005968e+00 6.222922e+05 4.959077e+01 3.074956e-02 4.861355e-04
-5.250848e-01 -1.026162e+00 1.001696e+00 6.211700e+05 4.941156e+01 2.684104e-02 4.837513e-04
-5.184381e-01 -9.984125e-01 1.004764e+00 6.209836e+05 4.935585e+01 2.627087e-02 5.059242e-04
-5.117914e-01 -9.719639e-01 1.004149e+00 6.197036e+05 4.935012e+01 2.293289e-02 4.839897e-04
-5.051447e-01 -9.457717e-01 1.006081e+00 6.225664e+05 4.953252e+01 2.572429e-02 4.891157e-04
-4.984981e-01 -9.193171e-01 1.006359e+00 6.197569e+05 4.922471e+01 2.830505e-02 5.168915e-04
-4.918514e-01 -8.927217e-01 1.010137e+00 6.219929e+05 4.948207e+01 1.905966e-02 4.689693e-04
-4.852047e-01 -8.661587e-01 1.005595e+00 6.198173e+05 4.932721e+01 1.952231e-02 4.812479e-04
-4.785581e-01 -8.404925e-01 1.006463e+00 6.209528e+05 4.936572e+01 2.102566e-02 4.843473e-04
-4.719114e-01 -8.139743e-01 1.002529e+00 6.179951e+05 4.915166e+01 1.904404e-02 4.904270e-04
-4.652647e-01 -7.876320e-01 1.005854e+00 6.199159e+05 4.920323e+01 1.385403e-02 4.810095e-04
-4.586181e-01 -7.620936e-01 1.003034e+00 6.160408e+05 4.901351e+01 2.027190e-02 4.709959e-04
-4.519714e-01 -7.355230e-01 1.008509e+00 6.180372e+05 4.916996e+01 1.855099e-02 4.788637e-04
-4.453247e-01 -7.107449e-01 1.002446e+00 6.182272e+05 4.918365e+01 1.599884e-02 4.645586e-04
-4.386781e-01 -6.843677e-01 1.010624e+00 6.246063e+05 4.973640e+01 1.291132e-02 4.891157e-04
-4.320314e-01 -6.585829e-01 1.002894e+00 6.163718e+05 4.904423e+01 1.748502e-02 4.763603e-04
-4.253848e-01 -6.330100e-01 1.004979e+00 6.186064e+05 4.927397e+01 1.472819e-02 4.729033e-04
-4.187381e-01 -6.077675e-01 1.005891e+00 6.204454e+05 4.941999e+01 1.544309e-02 4.620552e-04
-4.120914e-01 -5.818701e-01 1.007657e+00 6.236534e+05 4.966979e+01 2.334225e-02 4.781485e-04
-4.054448e-01 -5.565586e-01 1.005566e+00 6.207336e+05 4.942851e+01 2.518594e-02 5.216599e-04
-3.987981e-01 -5.320607e-01 1.008139e+00 6.206096e+05 4.940655e+01 1.592553e-02 4.986525e-04
-3.921514e-01 -5.061205e-01 1.008627e+00 6.216689e+05 4.948557e+01 1.605797e-02 4.928112e-04
-3.855048e-01 -4.799512e-01 1.001006e+00 6.164761e+05 4.908505e+01 1.693666e-02 4.903078e-04
-3.788581e-01 -4.553478e-01 1.002524e+00 6.153816e+05 4.895868e+01 4.115820e-03 4.427433e-04
-3.722115e-01 -4.303096e-01 1.005716e+00 6.168931e+05 4.911426e+01 9.293318e-03 4.551411e-04
-3.655648e-01 -4.051463e-01 1.006188e+00 6.187832e+05 4.923255e+01 5.200386e-03 5.053282e-04
-3.589181e-01 -3.804422e-01 1.003256e+00 6.154838e+05 4.899863e+01 5.375743e-03 4.723072e-04
-3.522715e-01 -3.558448e-01 9.988636e-01 6.136813e+05 4.884692e+01 3.204823e-03 4.793406e-04
-3.456248e-01 -3.307165e-01 9.990621e-01 6.110141e+05 4.862159e+01 6.758332e-03 4.863739e-04
-3.389781e-01 -3.054564e-01 1.005367e+00 6.172712e+05 4.913421e+01 1.517928e-02 4.553795e-04
-3.323315e-01 -2.806070e-01 1.001683e+00 6.154922e+05 4.898801e+01 1.476872e-02 4.615784e-04
-3.256848e-01 -2.563320e-01 9.992766e-01 6.163505e+05 4.905589e+01 1.730597e-02 4.624128e-04
-3.190382e-01 -2.315673e-01 1.002581e+00 6.146624e+05 4.891341e+01 1.414454e-02 4.682541e-04
-3.123915e-01 -2.068478e-01 1.005636e+00 6.171002e+05 4.910733e+01 1.509440e-02 4.990101e-04
-3.057448e-01 -1.828989e-01 1.001786e+00 6.125496e+05 4.874625e+01 2.039289e-02 4.806519e-04
-2.990982e-01 -1.581678e-01 1.006058e+00 6.153446e+05 4.896600e+01 1.650190e-02 4.782677e-04
-2.924515e-01 -1.336339e-01 1.001753e+00 6.119742e+05 4.869479e+01 2.066219e-02 4.675388e-04
-2.858048e-01 -1.094743e-01 1.005272e+00 6.182462e+05 4.919416e+01 1.093197e-02 4.991293e-04
-2.791582e-01 -8.438537e-02 1.003026e+00 6.175469e+05 4.913883e+01 1.350760e-02 4.677773e-04
-2.725115e-01 -6.024301e-02 1.005355e+00 6.196206e+05 4.930427e+01 1.292944e-02 4.879236e-04
-2.658648e-01 -3.666684e-02 1.004211e+00 6.210451e+05 4.941982e+01 1.648295e-02 4.611015e-04
-2.592182e-01 -1.269108e-02 1.001076e+00 6.174472e+05 4.913230e+01 7.426858e-03 4.990101e-04
-2.525715e-01 1.128578e-02 1.005640e+00 6.224361e+05 4.953086e+01 1.673913e-02 4.918575e-04
-2.459249e-01 3.555377e-02 1.004416e+00 6.230904e+05 4.958374e+01 1.743674e-02 4.752874e-04
