#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=1 --skew=0.99 --distribution=s>> journal_5_s_1_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-9.970000e-01 nan nan nan nan nan nan
-9.903533e-01 -1.613936e+00 9.769179e-01 8.736086e+04 6.584558e+00 -5.435169e-03 9.076595e-04
-9.837066e-01 -1.601576e+00 9.883822e-01 8.816145e+04 6.697240e+00 -1.641214e-03 9.055138e-04
-9.770599e-01 -1.589747e+00 9.823080e-01 8.818973e+04 6.627848e+00 2.129197e-03 9.021759e-04
-9.704132e-01 -1.577054e+00 9.832412e-01 8.887197e+04 7.076665e+00 -4.758298e-03 8.822680e-04
-9.637665e-01 -1.564607e+00 9.904574e-01 8.898678e+04 7.372694e+00 -3.991723e-03 8.281469e-04
-9.571198e-01 -1.552094e+00 9.885449e-01 8.908951e+04 7.216085e+00 -2.242386e-03 8.627176e-04
-9.504731e-01 -1.539752e+00 9.872670e-01 8.945002e+04 7.254282e+00 -3.297746e-03 8.813143e-04
-9.438264e-01 -1.527540e+00 9.941574e-01 8.968955e+04 7.312851e+00 -2.932668e-03 8.724928e-04
-9.371797e-01 -1.514921e+00 9.933657e-01 8.994310e+04 7.207172e+00 7.178903e-03 8.636713e-04
-9.305331e-01 -1.502625e+00 9.933559e-01 8.971288e+04 7.093217e+00 1.215589e-02 8.672476e-04
-9.238864e-01 -1.490363e+00 9.962147e-01 9.033235e+04 6.939792e+00 1.697373e-02 8.422136e-04
-9.172397e-01 -1.478148e+00 1.001622e+00 9.024446e+04 6.993905e+00 8.801937e-03 8.370876e-04
-9.105930e-01 -1.465720e+00 1.000497e+00 9.051643e+04 7.318581e+00 -9.889603e-04 8.732080e-04
-9.039463e-01 -1.453003e+00 9.994929e-01 9.055620e+04 7.095764e+00 -3.511548e-03 8.665323e-04
-8.972996e-01 -1.440352e+00 9.936790e-01 8.986453e+04 7.104676e+00 -1.017010e-02 8.866787e-04
