#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_5_s_0.1_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-6.646653e-01 -1.880056e-05 4.944899e-02 8.233564e+00 6.552904e-04 -6.507921e-02 1.857162e-03
-6.580186e-01 -1.836507e-05 4.863810e-02 8.208644e+00 6.533255e-04 -6.661904e-02 1.891375e-03
-6.513720e-01 -1.862437e-05 4.860107e-02 8.230022e+00 6.550053e-04 -7.095951e-02 1.839161e-03
-6.447253e-01 -1.787747e-05 4.801134e-02 8.226696e+00 6.547422e-04 -8.276087e-02 1.870513e-03
-6.380786e-01 -1.589672e-05 4.208791e-02 8.162813e+00 6.497038e-04 -9.601098e-02 1.860499e-03
-6.314319e-01 -1.540271e-05 4.056470e-02 8.132800e+00 6.472798e-04 -9.658116e-02 1.832128e-03
-6.247852e-01 -1.581965e-05 4.290234e-02 8.190291e+00 6.518858e-04 -9.867531e-02 1.863480e-03
-6.181385e-01 -1.489799e-05 3.837361e-02 8.124952e+00 6.466591e-04 -1.068324e-01 1.869440e-03
-6.114918e-01 -1.433395e-05 3.811362e-02 8.132592e+00 6.472821e-04 -1.083382e-01 1.845002e-03
-6.048451e-01 -1.404232e-05 3.839514e-02 8.084141e+00 6.434243e-04 -1.032961e-01 1.846313e-03
-5.981984e-01 -1.360818e-05 3.749064e-02 8.107118e+00 6.452446e-04 -1.139773e-01 1.837492e-03
-5.915517e-01 -1.349654e-05 3.769175e-02 8.100178e+00 6.446479e-04 -1.096462e-01 1.864672e-03
-5.849050e-01 -1.280142e-05 3.666349e-02 8.061034e+00 6.415544e-04 -1.076502e-01 1.834989e-03
-5.782583e-01 -1.224994e-05 3.347453e-02 8.000508e+00 6.367600e-04 -1.107521e-01 1.823902e-03
-5.716116e-01 -1.185451e-05 3.358719e-02 8.010760e+00 6.375638e-04 -1.178916e-01 1.851439e-03
-5.649650e-01 -1.221744e-05 3.348276e-02 7.985887e+00 6.355830e-04 -1.084869e-01 1.872063e-03
-5.583183e-01 -1.151620e-05 3.454664e-02 8.011056e+00 6.375588e-04 -1.148628e-01 1.818538e-03
-5.516716e-01 -1.199883e-05 3.400140e-02 8.066438e+00 6.419686e-04 -1.225319e-01 1.812577e-03
-5.450249e-01 -1.004607e-05 2.910222e-02 7.946986e+00 6.324610e-04 -1.304387e-01 1.837611e-03
-5.383782e-01 -1.018385e-05 2.950351e-02 7.928703e+00 6.310248e-04 -1.246552e-01 1.808167e-03
-5.317315e-01 -1.004742e-05 2.922046e-02 7.940358e+00 6.319911e-04 -1.332774e-01 1.799345e-03
-5.250848e-01 -1.015932e-05 2.920694e-02 7.949734e+00 6.326840e-04 -1.300810e-01 1.774311e-03
