#m p_+ p_- v_I v_II
1.000000e-03 1.970456e-01 1.881077e-01 3.302972e+03 9.569544e+03 3.831996e-01 2.504651e-01
1.055898e-03 1.965006e-01 1.870040e-01 3.136515e+03 9.070521e+03 3.843517e-01 2.509460e-01
1.114921e-03 1.959309e-01 1.857544e-01 2.978806e+03 8.597853e+03 3.855592e-01 2.514489e-01
1.177243e-03 1.953355e-01 1.845014e-01 2.829379e+03 8.150142e+03 3.868245e-01 2.519745e-01
1.243049e-03 1.947136e-01 1.831606e-01 2.687794e+03 7.726067e+03 3.881500e-01 2.525237e-01
1.312533e-03 1.940642e-01 1.817994e-01 2.553634e+03 7.324374e+03 3.895381e-01 2.530973e-01
1.385901e-03 1.933865e-01 1.803520e-01 2.426505e+03 6.943877e+03 3.909915e-01 2.536960e-01
1.463371e-03 1.926794e-01 1.788238e-01 2.306032e+03 6.583454e+03 3.925127e-01 2.543209e-01
1.545170e-03 1.919421e-01 1.772078e-01 2.191862e+03 6.242040e+03 3.941045e-01 2.549727e-01
1.631543e-03 1.911735e-01 1.755510e-01 2.083658e+03 5.918627e+03 3.957697e-01 2.556523e-01
1.722743e-03 1.903727e-01 1.738063e-01 1.981104e+03 5.612261e+03 3.975111e-01 2.563605e-01
1.819041e-03 1.895387e-01 1.719877e-01 1.883898e+03 5.322038e+03 3.993316e-01 2.570982e-01
1.920722e-03 1.886707e-01 1.700851e-01 1.791756e+03 5.047103e+03 4.012342e-01 2.578663e-01
2.028087e-03 1.877676e-01 1.680894e-01 1.704408e+03 4.786644e+03 4.032221e-01 2.586657e-01
2.141454e-03 1.868286e-01 1.660303e-01 1.621598e+03 4.539894e+03 4.052982e-01 2.594972e-01
2.261157e-03 1.858526e-01 1.638755e-01 1.543085e+03 4.306126e+03 4.074660e-01 2.603616e-01
2.387552e-03 1.848388e-01 1.615644e-01 1.468640e+03 4.084651e+03 4.097285e-01 2.612598e-01
2.521011e-03 1.837863e-01 1.592484e-01 1.398047e+03 3.874817e+03 4.120893e-01 2.621927e-01
2.661931e-03 1.826941e-01 1.567484e-01 1.331099e+03 3.676008e+03 4.145517e-01 2.631609e-01
2.810729e-03 1.815615e-01 1.541842e-01 1.267602e+03 3.487638e+03 4.171193e-01 2.641655e-01
2.967843e-03 1.803875e-01 1.515184e-01 1.207373e+03 3.309154e+03 4.197957e-01 2.652070e-01
3.133740e-03 1.791714e-01 1.497350e-01 1.150238e+03 3.140031e+03 4.225844e-01 2.662864e-01
3.308911e-03 1.779124e-01 1.458379e-01 1.096031e+03 2.979773e+03 4.254893e-01 2.674042e-01
3.493873e-03 1.766096e-01 1.427872e-01 1.044597e+03 2.827910e+03 4.285141e-01 2.685613e-01
3.689174e-03 1.752625e-01 1.396726e-01 9.957876e+02 2.683997e+03 4.316628e-01 2.697584e-01
3.895392e-03 1.738703e-01 1.363803e-01 9.494637e+02 2.547612e+03 4.349393e-01 2.709960e-01
4.113138e-03 1.724323e-01 1.329868e-01 9.054929e+02 2.418357e+03 4.383476e-01 2.722748e-01
4.343054e-03 1.709480e-01 1.294103e-01 8.637498e+02 2.295853e+03 4.418919e-01 2.735954e-01
4.585823e-03 1.694168e-01 1.257548e-01 8.241163e+02 2.179743e+03 4.455763e-01 2.749583e-01
4.842163e-03 1.678383e-01 1.219048e-01 7.864801e+02 2.069688e+03 4.494052e-01 2.763641e-01
5.112831e-03 1.662119e-01 1.179314e-01 7.507352e+02 1.965368e+03 4.533828e-01 2.778131e-01
5.398629e-03 1.645373e-01 1.138143e-01 7.167813e+02 1.866478e+03 4.575137e-01 2.793058e-01
5.700402e-03 1.628142e-01 1.095083e-01 6.845236e+02 1.772731e+03 4.618022e-01 2.808425e-01
6.019045e-03 1.610423e-01 1.050722e-01 6.538721e+02 1.683856e+03 4.662529e-01 2.824235e-01
