#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=10 --skew=0.99 --distribution=r>> comp_r_a:-1:2:300:1_0.0_10_0.0333333333333_30.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
3.162274e-01 9.486498e-01 9.604926e-01 4.086644e+02 1.639296e-01 -1.393008e-02 3.850460e-05
3.235933e-01 9.461738e-01 9.626513e-01 4.100374e+02 1.333718e-01 1.703501e-04 4.637241e-05
3.311307e-01 9.435073e-01 9.535365e-01 4.132455e+02 2.053099e-01 3.629088e-03 4.732609e-05
3.388438e-01 9.407859e-01 9.594545e-01 4.166640e+02 5.156620e-02 -7.473171e-03 3.314018e-05
3.467364e-01 9.379334e-01 9.581280e-01 4.211177e+02 9.294648e-02 -6.555438e-03 3.528595e-05
3.548129e-01 9.349400e-01 9.668155e-01 4.310282e+02 1.279606e-01 -1.514149e-02 4.434586e-05
3.630776e-01 9.317384e-01 9.637728e-01 4.337251e+02 4.933803e-02 1.694787e-02 4.589558e-05
3.715348e-01 9.284016e-01 9.641478e-01 4.352537e+02 2.673803e-02 -1.563507e-02 2.646446e-05
3.801889e-01 9.249390e-01 9.587635e-01 4.372079e+02 7.639437e-03 -8.413732e-03 4.124641e-05
3.890446e-01 9.212698e-01 9.575376e-01 4.454901e+02 -7.337043e-02 -3.111112e-02 2.944469e-05
3.981066e-01 9.173521e-01 9.734141e-01 4.565363e+02 -7.782676e-02 -3.238261e-03 4.172325e-05
4.073797e-01 9.132772e-01 9.701690e-01 4.625704e+02 -3.835634e-02 -2.094334e-02 3.623962e-05
4.168688e-01 9.090490e-01 9.725013e-01 4.703337e+02 -2.514648e-02 7.400870e-03 3.957748e-05
4.265789e-01 9.044959e-01 9.595238e-01 4.667162e+02 1.607465e-02 -3.007293e-03 4.684925e-05
