#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=50 --skew=0.99 --distribution=s>> journal_4_s_30_s:-2:3:300:1_1.0_0.99_40.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
6.812909e-02 1.014355e-05 2.691113e-02 7.912580e+00 6.298239e-04 -1.424718e-01 2.285480e-03
7.079445e-02 1.248702e-05 3.406204e-02 8.025766e+00 6.388203e-04 -1.152444e-01 2.312422e-03
7.356408e-02 1.896857e-05 5.283085e-02 8.284054e+00 6.593937e-04 -5.548728e-02 2.346277e-03
7.644208e-02 2.674310e-05 6.925416e-02 8.569777e+00 6.821193e-04 -1.480937e-02 2.390265e-03
7.943267e-02 3.705040e-05 9.258778e-02 8.988292e+00 7.154347e-04 4.552019e-02 2.470374e-03
8.254025e-02 5.404497e-05 1.286944e-01 9.612499e+00 7.651367e-04 1.160866e-01 2.589822e-03
8.576941e-02 7.238264e-05 1.645645e-01 1.033782e+01 8.228517e-04 1.835343e-01 2.697706e-03
8.912491e-02 9.767280e-05 2.071929e-01 1.127192e+01 8.971989e-04 2.109462e-01 2.810478e-03
9.261168e-02 1.440665e-04 2.692290e-01 1.301563e+01 1.035983e-03 2.491884e-01 3.031611e-03
9.623486e-02 1.937987e-04 3.426793e-01 1.523939e+01 1.212619e-03 4.142647e-01 3.242254e-03
9.999978e-02 2.547062e-04 3.931601e-01 1.744573e+01 1.387831e-03 3.289970e-01 3.440499e-03
1.039120e-01 3.445829e-04 4.602089e-01 2.088320e+01 1.661014e-03 2.798111e-01 3.730893e-03
1.079773e-01 4.518979e-04 5.343094e-01 2.554903e+01 2.031576e-03 2.819366e-01 4.068494e-03
1.122016e-01 5.806935e-04 5.900502e-01 3.060715e+01 2.433450e-03 3.179934e-01 4.359484e-03
1.165912e-01 7.680065e-04 6.520054e-01 3.812679e+01 3.032355e-03 2.755028e-01 4.800320e-03
1.211525e-01 9.956565e-04 6.867338e-01 4.597110e+01 3.657716e-03 1.680877e-01 5.148530e-03
1.258922e-01 1.260731e-03 7.266958e-01 5.555944e+01 4.423556e-03 1.383778e-01 5.509019e-03
1.308174e-01 1.595348e-03 7.562674e-01 6.739072e+01 5.363884e-03 1.047274e-01 5.864143e-03
1.359353e-01 2.005289e-03 7.874573e-01 8.210477e+01 6.530174e-03 8.135939e-02 6.302834e-03
1.412534e-01 2.534741e-03 8.286907e-01 1.045816e+02 8.315928e-03 5.590093e-02 6.878853e-03
1.467796e-01 3.175139e-03 8.561760e-01 1.300499e+02 1.034664e-02 1.069587e-01 7.445693e-03
1.525219e-01 3.940690e-03 8.740744e-01 1.584179e+02 1.261394e-02 4.286003e-02 7.820606e-03
1.584889e-01 4.914993e-03 9.029807e-01 1.979319e+02 1.573628e-02 6.101453e-02 8.278370e-03
1.646893e-01 6.094598e-03 9.108846e-01 2.416868e+02 1.920917e-02 6.514847e-02 8.655310e-03
1.711324e-01 7.527234e-03 9.246144e-01 2.987598e+02 2.375049e-02 3.405547e-02 9.010792e-03
1.778274e-01 9.183092e-03 9.491825e-01 3.714814e+02 2.954568e-02 5.459571e-02 9.430885e-03
1.847845e-01 1.125848e-02 9.578676e-01 4.522019e+02 3.585653e-02 5.287576e-02 9.608388e-03
1.920137e-01 1.371299e-02 9.638186e-01 5.427811e+02 4.312908e-02 2.903032e-02 9.589314e-03
1.995257e-01 1.660916e-02 9.835944e-01 6.795448e+02 5.399549e-02 4.022861e-02 9.832740e-03
2.073316e-01 1.992533e-02 9.902648e-01 8.083777e+02 6.439231e-02 3.777742e-03 9.652376e-03
2.154428e-01 2.398192e-02 9.928770e-01 9.710696e+02 7.723817e-02 1.734209e-02 9.470940e-03
2.238715e-01 2.864170e-02 1.005245e+00 1.194823e+03 9.462538e-02 2.112150e-02 9.373784e-03
2.326298e-01 3.410165e-02 1.005528e+00 1.415307e+03 1.123914e-01 -7.247925e-04 9.009242e-03
2.417308e-01 4.047276e-02 1.000733e+00 1.679720e+03 1.321981e-01 -3.992301e-02 8.664727e-03
2.511879e-01 4.782583e-02 9.928446e-01 1.937120e+03 1.556187e-01 -3.529692e-02 8.053064e-03
2.610149e-01 5.628953e-02 1.007887e+00 2.304128e+03 1.878320e-01 -2.817070e-02 7.715344e-03
2.712264e-01 6.602620e-02 1.011298e+00 2.704109e+03 2.172054e-01 -1.778221e-02 7.246256e-03
2.818374e-01 7.710193e-02 9.983683e-01 3.149682e+03 2.550781e-01 -2.425671e-02 6.811976e-03
2.928635e-01 8.979461e-02 1.009353e+00 3.689118e+03 2.964310e-01 -1.856416e-02 6.364107e-03
3.043210e-01 1.041939e-01 1.017374e+00 4.313619e+03 3.335564e-01 -1.727939e-02 5.980730e-03
3.162267e-01 1.203839e-01 1.012174e+00 4.925869e+03 3.911680e-01 1.066697e-02 5.532384e-03
3.285983e-01 1.387046e-01 1.009280e+00 5.673900e+03 4.411427e-01 1.518464e-02 5.136728e-03
3.414538e-01 1.591117e-01 1.010040e+00 6.478605e+03 5.103701e-01 2.486062e-02 4.718542e-03
3.548123e-01 1.821022e-01 1.001252e+00 7.187172e+03 5.820197e-01 3.701222e-02 4.299760e-03
3.686934e-01 2.076132e-01 9.998491e-01 8.168875e+03 6.802580e-01 2.496612e-02 3.904462e-03
3.831175e-01 2.359714e-01 9.965791e-01 9.294532e+03 7.251099e-01 2.011466e-02 3.665805e-03
3.981059e-01 2.675148e-01 9.950982e-01 1.051770e+04 8.458687e-01 2.050686e-02 3.356695e-03
4.136808e-01 3.023843e-01 9.848445e-01 1.173784e+04 8.751731e-01 3.806365e-02 3.140688e-03
4.298649e-01 3.405616e-01 9.830492e-01 1.308718e+04 1.032438e+00 2.818084e-02 2.863526e-03
4.466822e-01 3.824606e-01 9.797380e-01 1.467911e+04 1.134058e+00 4.671192e-02 2.647281e-03
4.641575e-01 4.282103e-01 9.717076e-01 1.603028e+04 1.192389e+00 2.983022e-02 2.421260e-03
4.823164e-01 4.781108e-01 9.804862e-01 1.823587e+04 1.414171e+00 3.708589e-02 2.276421e-03
5.011858e-01 5.319913e-01 9.710222e-01 2.010159e+04 1.653381e+00 2.206862e-02 2.120495e-03
5.207933e-01 5.902593e-01 9.778519e-01 2.269131e+04 1.830441e+00 1.083529e-02 2.011895e-03
5.411680e-01 6.533092e-01 9.770972e-01 2.527261e+04 1.818027e+00 -2.039635e-02 1.904845e-03
5.623397e-01 7.207235e-01 9.829182e-01 2.802723e+04 2.252361e+00 -9.460151e-03 1.796722e-03
5.843398e-01 7.930597e-01 9.993402e-01 3.159613e+04 2.622078e+00 -5.314708e-03 1.706719e-03
6.072005e-01 8.701259e-01 9.969212e-01 3.461200e+04 2.874816e+00 -1.079780e-02 1.589775e-03
6.309556e-01 9.517320e-01 9.933825e-01 3.814423e+04 3.090152e+00 3.150702e-04 1.486301e-03
6.556400e-01 1.038085e+00 9.996775e-01 4.205917e+04 3.345437e+00 -1.795435e-02 1.423717e-03
6.812901e-01 1.129904e+00 9.998257e-01 4.575051e+04 3.653242e+00 3.246069e-03 1.336336e-03
7.079438e-01 1.226007e+00 9.961879e-01 4.946902e+04 4.126569e+00 8.418560e-04 1.262665e-03
7.356402e-01 1.326731e+00 9.924490e-01 5.338337e+04 4.527640e+00 -1.851380e-03 1.191020e-03
7.644201e-01 1.431952e+00 9.861216e-01 5.777282e+04 4.534006e+00 -1.884580e-02 1.136422e-03
7.943260e-01 1.541359e+00 9.923538e-01 6.306477e+04 4.661966e+00 -2.268040e-02 1.105547e-03
8.254018e-01 1.655140e+00 9.750486e-01 6.614995e+04 5.821887e+00 -8.823633e-03 1.007795e-03
8.576935e-01 1.771989e+00 9.845135e-01 7.226857e+04 5.861358e+00 -9.136677e-03 9.608269e-04
