#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=1 --zeta=1.0 --comp=0 --mean=1.0 --second=50 --skew=0.99 --distribution=s>> journal_4_s_1_s:-2:3:300:1_1.0_0.99_40.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 6.258460e-05 1.510619e-01 9.989834e+00 7.957312e-04 2.186309e-01 1.259923e-02
1.039122e-02 6.329296e-05 1.553097e-01 1.006221e+01 8.015329e-04 2.144339e-01 1.266336e-02
1.079775e-02 6.378701e-05 1.542263e-01 1.005164e+01 8.006340e-04 2.208897e-01 1.268637e-02
1.122018e-02 6.619524e-05 1.595093e-01 1.013690e+01 8.075360e-04 2.424748e-01 1.281714e-02
1.165914e-02 6.716412e-05 1.581998e-01 1.016075e+01 8.093654e-04 2.073183e-01 1.279211e-02
1.211527e-02 7.010127e-05 1.638704e-01 1.028404e+01 8.191809e-04 2.302502e-01 1.289678e-02
1.258925e-02 7.157642e-05 1.660870e-01 1.039646e+01 8.281198e-04 2.265075e-01 1.294589e-02
1.308177e-02 7.446597e-05 1.673457e-01 1.040118e+01 8.285745e-04 2.213260e-01 1.314402e-02
1.359356e-02 7.753151e-05 1.769550e-01 1.057823e+01 8.426777e-04 2.307041e-01 1.318634e-02
1.412537e-02 7.714910e-05 1.773384e-01 1.054138e+01 8.397842e-04 2.535468e-01 1.324105e-02
1.467799e-02 7.877514e-05 1.795425e-01 1.059485e+01 8.440615e-04 2.354611e-01 1.332116e-02
1.525222e-02 8.043792e-05 1.820387e-01 1.066068e+01 8.491569e-04 2.474600e-01 1.334608e-02
1.584893e-02 8.157577e-05 1.828703e-01 1.069415e+01 8.517897e-04 2.374457e-01 1.343250e-02
1.646897e-02 8.557721e-05 1.951321e-01 1.087264e+01 8.661570e-04 2.386804e-01 1.356387e-02
1.711327e-02 8.579317e-05 1.939487e-01 1.091215e+01 8.692869e-04 2.852086e-01 1.364470e-02
1.778278e-02 9.084847e-05 2.020098e-01 1.114514e+01 8.876343e-04 2.918531e-01 1.384413e-02
1.847849e-02 9.211712e-05 2.061806e-01 1.113055e+01 8.864744e-04 2.857858e-01 1.388764e-02
1.920141e-02 9.554120e-05 2.047482e-01 1.119581e+01 8.918517e-04 2.360405e-01 1.401973e-02
1.995261e-02 9.722736e-05 2.111314e-01 1.133122e+01 9.024667e-04 2.939156e-01 1.410425e-02
2.073320e-02 9.860070e-05 2.127554e-01 1.131086e+01 9.010556e-04 2.918915e-01 1.410937e-02
2.154433e-02 1.034822e-04 2.217204e-01 1.160750e+01 9.246694e-04 3.298230e-01 1.439500e-02
2.238719e-02 1.066442e-04 2.278498e-01 1.166298e+01 9.289958e-04 3.050182e-01 1.442945e-02
2.326303e-02 1.106886e-04 2.346498e-01 1.190650e+01 9.484069e-04 3.690156e-01 1.465523e-02
2.417313e-02 1.163242e-04 2.484536e-01 1.216606e+01 9.687930e-04 3.853525e-01 1.496935e-02
2.511884e-02 1.187329e-04 2.457562e-01 1.224835e+01 9.756357e-04 3.636758e-01 1.507998e-02
2.610155e-02 1.264644e-04 2.588770e-01 1.253627e+01 9.983204e-04 3.774655e-01 1.522923e-02
2.712270e-02 1.322431e-04 2.703936e-01 1.277783e+01 1.017519e-03 3.857924e-01 1.559436e-02
2.818380e-02 1.384899e-04 2.756858e-01 1.298488e+01 1.034354e-03 3.794272e-01 1.578712e-02
2.928642e-02 1.451848e-04 2.839501e-01 1.329746e+01 1.059191e-03 3.814688e-01 1.602018e-02
3.043217e-02 1.513625e-04 2.909707e-01 1.350126e+01 1.075258e-03 3.764380e-01 1.621926e-02
3.162274e-02 1.581575e-04 2.987957e-01 1.371911e+01 1.092076e-03 3.602905e-01 1.645088e-02
3.285990e-02 1.666365e-04 3.094547e-01 1.405892e+01 1.119272e-03 3.758643e-01 1.669157e-02
3.414545e-02 1.742202e-04 3.210647e-01 1.438858e+01 1.145423e-03 3.807495e-01 1.706409e-02
3.548130e-02 1.796618e-04 3.274266e-01 1.463608e+01 1.164705e-03 3.822160e-01 1.731396e-02
3.686940e-02 1.903237e-04 3.355281e-01 1.502252e+01 1.195546e-03 3.766378e-01 1.752257e-02
3.831182e-02 2.016712e-04 3.476686e-01 1.545427e+01 1.229164e-03 3.831400e-01 1.798272e-02
3.981066e-02 2.110727e-04 3.622540e-01 1.587555e+01 1.263082e-03 4.026669e-01 1.827145e-02
4.136815e-02 2.249489e-04 3.722933e-01 1.630322e+01 1.296510e-03 3.643837e-01 1.867712e-02
4.298656e-02 2.348978e-04 3.801412e-01 1.668673e+01 1.326612e-03 3.437760e-01 1.888347e-02
4.466829e-02 2.533646e-04 3.977429e-01 1.749498e+01 1.390322e-03 3.227708e-01 1.947832e-02
4.641582e-02 2.727210e-04 4.189710e-01 1.842712e+01 1.464848e-03 3.900071e-01 2.028060e-02
4.823171e-02 2.914658e-04 4.407849e-01 1.926271e+01 1.530313e-03 3.866085e-01 2.073216e-02
5.011865e-02 3.130386e-04 4.571212e-01 2.006390e+01 1.593567e-03 3.687595e-01 2.142227e-02
5.207940e-02 3.347819e-04 4.653809e-01 2.080329e+01 1.652392e-03 3.716915e-01 2.187765e-02
5.411686e-02 3.573628e-04 4.794923e-01 2.170938e+01 1.723542e-03 3.412791e-01 2.250957e-02
5.623404e-02 3.833587e-04 4.998550e-01 2.295668e+01 1.823440e-03 3.730829e-01 2.324975e-02
5.843404e-02 4.109227e-04 5.154535e-01 2.415395e+01 1.917494e-03 3.709631e-01 2.407253e-02
6.072012e-02 4.424423e-04 5.386064e-01 2.559131e+01 2.032565e-03 3.672897e-01 2.494144e-02
6.309562e-02 4.773994e-04 5.646883e-01 2.728896e+01 2.166835e-03 3.815777e-01 2.591407e-02
6.556407e-02 5.167690e-04 5.752950e-01 2.854645e+01 2.265896e-03 3.568515e-01 2.675152e-02
6.812909e-02 5.563629e-04 5.963168e-01 3.014454e+01 2.390875e-03 3.334250e-01 2.732074e-02
7.079445e-02 6.036229e-04 6.100726e-01 3.217304e+01 2.554940e-03 3.601291e-01 2.842855e-02
7.356408e-02 6.511546e-04 6.305502e-01 3.424455e+01 2.717281e-03 3.620701e-01 2.935767e-02
