#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=10 --zeta=0.1 --comp=0 --mean=1.0 --second=50 --skew=0.99 --distribution=s>> journal_4_s_10_s:-2:3:300:1_1.0_0.99_40.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 -4.237247e-08 3.832161e-05 7.509133e+00 5.978057e-04 -2.464080e-01 3.929138e-03
1.039122e-02 7.546937e-09 -3.260582e-06 7.497367e+00 5.969153e-04 -2.438172e-01 3.948569e-03
1.079775e-02 1.812951e-09 -2.310875e-05 7.482886e+00 5.958079e-04 -2.405465e-01 4.016280e-03
1.122018e-02 5.915281e-08 8.064460e-06 7.439696e+00 5.924901e-04 -2.305720e-01 4.051328e-03
1.165914e-02 9.444213e-09 2.426828e-04 7.498324e+00 5.969810e-04 -2.435727e-01 4.118323e-03
1.211527e-02 8.474494e-08 -5.702414e-05 7.499769e+00 5.971252e-04 -2.443426e-01 4.177213e-03
1.258925e-02 -2.618239e-08 6.242585e-05 7.490435e+00 5.964037e-04 -2.419813e-01 4.224420e-03
1.308177e-02 -1.028745e-08 -1.511444e-04 7.440418e+00 5.925678e-04 -2.308977e-01 4.243612e-03
1.359356e-02 1.981598e-08 6.475545e-05 7.463244e+00 5.943381e-04 -2.357566e-01 4.297495e-03
1.412537e-02 -2.491754e-08 7.440178e-05 7.500714e+00 5.971788e-04 -2.442414e-01 4.354596e-03
1.467799e-02 1.024528e-08 -5.227848e-05 7.518990e+00 5.985959e-04 -2.484922e-01 4.382372e-03
1.525222e-02 1.353389e-08 -5.164438e-05 7.498460e+00 5.970207e-04 -2.438362e-01 4.478097e-03
1.584893e-02 -3.077801e-09 -5.328096e-05 7.525035e+00 5.990900e-04 -2.498127e-01 4.498243e-03
1.646897e-02 5.088913e-08 -2.597083e-05 7.488885e+00 5.962895e-04 -2.415978e-01 4.552841e-03
1.711327e-02 -1.243769e-08 9.051711e-06 7.492605e+00 5.965967e-04 -2.423150e-01 4.597902e-03
1.778278e-02 -1.226904e-08 8.208973e-05 7.498773e+00 5.970401e-04 -2.435995e-01 4.637122e-03
1.847849e-02 2.167110e-08 -9.590585e-06 7.489703e+00 5.963724e-04 -2.416145e-01 4.675269e-03
1.920141e-02 1.458794e-08 2.188602e-04 7.476115e+00 5.953664e-04 -2.381792e-01 4.732013e-03
1.995261e-02 2.681482e-08 -6.311263e-06 7.503789e+00 5.974371e-04 -2.447383e-01 4.760623e-03
2.073320e-02 2.436944e-08 -8.043514e-05 7.508400e+00 5.978043e-04 -2.457720e-01 4.734516e-03
2.154433e-02 -2.938668e-08 -6.457157e-05 7.459422e+00 5.940658e-04 -2.347133e-01 4.821897e-03
2.238719e-02 -1.210040e-08 3.179704e-05 7.505379e+00 5.975463e-04 -2.448909e-01 4.865289e-03
2.326303e-02 1.180527e-09 -1.333942e-04 7.474708e+00 5.952782e-04 -2.381384e-01 4.890919e-03
2.417313e-02 1.197391e-08 -3.390316e-05 7.488182e+00 5.962449e-04 -2.410297e-01 4.949927e-03
2.511884e-02 -1.277498e-08 1.691764e-05 7.477467e+00 5.954943e-04 -2.384685e-01 4.940271e-03
2.610155e-02 1.353389e-08 -7.830426e-05 7.473236e+00 5.951410e-04 -2.376206e-01 4.953384e-03
2.712270e-02 8.432333e-11 -6.295245e-05 7.489573e+00 5.963527e-04 -2.412387e-01 5.041361e-03
2.818380e-02 6.691056e-08 -7.516044e-05 7.487500e+00 5.961955e-04 -2.407171e-01 5.062938e-03
2.928642e-02 -6.640462e-08 2.132822e-04 7.474975e+00 5.952970e-04 -2.373573e-01 5.074739e-03
3.043217e-02 -1.977382e-08 -1.716692e-04 7.465261e+00 5.945314e-04 -2.357115e-01 5.077124e-03
3.162274e-02 -2.639320e-08 -2.810356e-04 7.493585e+00 5.966590e-04 -2.422371e-01 5.102992e-03
3.285990e-02 -7.968554e-09 3.738762e-04 7.492255e+00 5.965580e-04 -2.408261e-01 5.173087e-03
3.414545e-02 1.602143e-08 -1.491555e-05 7.473532e+00 5.951611e-04 -2.371510e-01 5.169272e-03
3.548130e-02 -1.111803e-07 -1.331354e-04 7.506595e+00 5.976857e-04 -2.446925e-01 5.139351e-03
3.686940e-02 3.520499e-08 -9.413252e-05 7.502479e+00 5.973267e-04 -2.436218e-01 5.203605e-03
3.831182e-02 3.769253e-08 1.734627e-04 7.481475e+00 5.957698e-04 -2.384450e-01 5.221248e-03
3.981066e-02 7.369859e-08 1.479120e-07 7.493614e+00 5.966711e-04 -2.413793e-01 5.233169e-03
4.136815e-02 8.765409e-08 -1.936830e-04 7.514596e+00 5.983103e-04 -2.463089e-01 5.232096e-03
4.298656e-02 -6.471815e-08 -1.280571e-05 7.513119e+00 5.981923e-04 -2.455794e-01 5.284905e-03
4.466829e-02 -3.162125e-08 1.551104e-04 7.481470e+00 5.957879e-04 -2.380781e-01 5.290389e-03
4.641582e-02 -7.842069e-09 -3.303958e-04 7.479188e+00 5.955939e-04 -2.383160e-01 5.294085e-03
