#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=100 --zeta=0.01 --comp=0 --mean=1.0 --second=50 --skew=0.99 --distribution=s>> journal_4_s_100_s:-2:3:300:1_1.0_0.99_40.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 -4.553459e-09 7.568870e-05 7.509872e+00 5.976465e-04 -2.423386e-01 1.133800e-03
1.039122e-02 -2.571861e-09 1.754759e-04 7.484144e+00 5.955680e-04 -2.359892e-01 1.117587e-03
1.079775e-02 3.238016e-08 -9.263110e-05 7.469699e+00 5.944501e-04 -2.328423e-01 1.073718e-03
1.122018e-02 -7.348778e-08 -1.439829e-04 7.507150e+00 5.974251e-04 -2.414956e-01 1.094460e-03
1.165914e-02 1.134149e-08 -3.695297e-05 7.510755e+00 5.977165e-04 -2.419196e-01 1.124501e-03
1.211527e-02 -9.140648e-08 -1.852282e-04 7.495832e+00 5.965111e-04 -2.384176e-01 1.113415e-03
1.258925e-02 -4.060168e-08 2.051854e-05 7.518594e+00 5.983230e-04 -2.431957e-01 1.097798e-03
1.308177e-02 1.096203e-09 3.977787e-04 7.527603e+00 5.990379e-04 -2.444327e-01 1.123190e-03
1.359356e-02 -6.239926e-08 1.662006e-04 7.489785e+00 5.960513e-04 -2.357831e-01 1.106024e-03
1.412537e-02 1.021155e-07 -2.615100e-05 7.508548e+00 5.975270e-04 -2.401083e-01 1.112819e-03
1.467799e-02 1.319238e-07 -3.191057e-05 7.481387e+00 5.953664e-04 -2.335508e-01 1.107097e-03
1.525222e-02 1.113068e-08 -2.856879e-05 7.516326e+00 5.981713e-04 -2.413401e-01 1.106381e-03
1.584893e-02 2.356837e-08 -3.704776e-04 7.478815e+00 5.951799e-04 -2.328667e-01 1.099586e-03
1.646897e-02 -6.901864e-08 4.924037e-05 7.510072e+00 5.976663e-04 -2.391806e-01 1.099110e-03
1.711327e-02 1.268644e-07 -4.398849e-05 7.513764e+00 5.979376e-04 -2.398679e-01 1.099110e-03
1.778278e-02 4.207734e-08 -1.989935e-04 7.520550e+00 5.984635e-04 -2.412968e-01 1.102924e-03
1.847849e-02 3.490986e-08 7.648732e-05 7.498574e+00 5.967302e-04 -2.354399e-01 1.120806e-03
1.920141e-02 -2.082786e-07 3.929027e-04 7.508858e+00 5.975500e-04 -2.368672e-01 1.114607e-03
1.995261e-02 4.258328e-08 -2.580183e-06 7.523670e+00 5.987431e-04 -2.406361e-01 1.092911e-03
2.073320e-02 6.657326e-08 3.145141e-05 7.512663e+00 5.978677e-04 -2.376338e-01 1.113892e-03
2.154433e-02 5.594853e-08 1.577654e-05 7.506655e+00 5.973779e-04 -2.359037e-01 1.110554e-03
2.238719e-02 1.731579e-07 7.953926e-05 7.517134e+00 5.982313e-04 -2.376611e-01 1.141071e-03
2.326303e-02 -1.109695e-07 -4.077455e-04 7.521133e+00 5.985261e-04 -2.389627e-01 1.111984e-03
2.417313e-02 -6.332682e-08 6.275398e-04 7.489471e+00 5.960203e-04 -2.294155e-01 1.104951e-03
2.511884e-02 7.842069e-09 -1.902601e-04 7.533767e+00 5.995101e-04 -2.405896e-01 1.078129e-03
2.610155e-02 2.173012e-07 -8.476830e-06 7.533123e+00 5.995021e-04 -2.397525e-01 1.093626e-03
2.712270e-02 8.769626e-09 -4.009362e-04 7.536217e+00 5.997344e-04 -2.404687e-01 1.119852e-03
2.818380e-02 -4.127627e-08 4.756017e-04 7.525711e+00 5.989069e-04 -2.359817e-01 1.097798e-03
2.928642e-02 1.468912e-07 4.365839e-04 7.519257e+00 5.983729e-04 -2.340382e-01 1.117349e-03
3.043217e-02 2.710995e-08 1.385358e-04 7.529388e+00 5.991650e-04 -2.361981e-01 1.129627e-03
3.162274e-02 2.797005e-06 7.340326e-03 7.629961e+00 6.071928e-04 -2.051885e-01 1.127362e-03
3.285990e-02 4.817139e-06 1.311633e-02 7.736040e+00 6.156290e-04 -1.908418e-01 1.133561e-03
3.414545e-02 4.837587e-06 1.374935e-02 7.743533e+00 6.162097e-04 -1.948300e-01 1.112819e-03
3.548130e-02 4.729948e-06 1.296312e-02 7.738890e+00 6.158511e-04 -1.865906e-01 1.129031e-03
3.686940e-02 6.422992e-06 1.758552e-02 7.796235e+00 6.204080e-04 -1.680648e-01 1.119852e-03
3.831182e-02 8.879457e-06 2.381629e-02 7.881929e+00 6.272186e-04 -1.409773e-01 1.157761e-03
3.981066e-02 1.273784e-05 3.402586e-02 8.048500e+00 6.404850e-04 -1.259608e-01 1.145124e-03
4.136815e-02 2.023819e-05 5.259680e-02 8.334619e+00 6.632206e-04 -6.444633e-02 1.167178e-03
4.298656e-02 3.032250e-05 8.220114e-02 8.777748e+00 6.985149e-04 7.827520e-02 1.211286e-03
4.466829e-02 3.860212e-05 1.019815e-01 9.183825e+00 7.308658e-04 1.865596e-01 1.183510e-03
4.641582e-02 5.992007e-05 1.474248e-01 1.000090e+01 7.958941e-04 2.574340e-01 1.263022e-03
4.823171e-02 8.734834e-05 1.978146e-01 1.115299e+01 8.875359e-04 3.057698e-01 1.284599e-03
5.011865e-02 1.250160e-04 2.571234e-01 1.265483e+01 1.007048e-03 3.576359e-01 1.334667e-03
5.207940e-02 1.765457e-04 3.269600e-01 1.469114e+01 1.169108e-03 5.212184e-01 1.458049e-03
5.411686e-02 2.482770e-04 3.885272e-01 1.740666e+01 1.385157e-03 3.821025e-01 1.508832e-03
5.623404e-02 3.404822e-04 4.588301e-01 2.095359e+01 1.667418e-03 2.892529e-01 1.636624e-03
5.843404e-02 4.505056e-04 5.310010e-01 2.540682e+01 2.021751e-03 2.994386e-01 1.750946e-03
