#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=1048576 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2.5:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.000333333333333 --comp=0 --mean=0.01 --second=3.14 --skew=0.99 --distribution=s>> remake_rys1_s_3.14_a:-1:2.5:200:1_0.01_0.99_30.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
7.498937e-01 1.364022e-02 1.001080e+00 5.901689e+05 4.696231e+01 -1.533639e-02 5.567551e-03
7.807279e-01 1.411816e-02 9.993564e-01 5.888662e+05 4.685869e+01 -1.500005e-02 5.628467e-03
8.128300e-01 1.449246e-02 9.973184e-01 5.869631e+05 4.670844e+01 -1.485294e-02 5.565166e-03
8.462520e-01 1.457984e-02 9.987559e-01 5.881652e+05 4.680186e+01 -1.546323e-02 5.616307e-03
8.810483e-01 1.499716e-02 1.000127e+00 5.895416e+05 4.691433e+01 -1.640189e-02 5.506873e-03
9.172753e-01 1.544751e-02 9.977015e-01 5.877267e+05 4.677028e+01 -1.555735e-02 5.572557e-03
9.549919e-01 1.582294e-02 1.000286e+00 5.883373e+05 4.681917e+01 -1.695514e-02 5.596995e-03
9.942594e-01 1.625822e-02 9.985260e-01 5.890216e+05 4.687067e+01 -1.543850e-02 5.529523e-03
1.035141e+00 1.686746e-02 1.000688e+00 5.885174e+05 4.683331e+01 -1.538920e-02 5.544901e-03
1.077705e+00 1.737905e-02 9.983249e-01 5.879483e+05 4.678713e+01 -1.498622e-02 5.564451e-03
1.122018e+00 1.779130e-02 9.993324e-01 5.888234e+05 4.685602e+01 -1.335227e-02 5.591869e-03
1.168153e+00 1.870183e-02 9.985142e-01 5.887678e+05 4.685215e+01 -1.455265e-02 5.605578e-03
1.216185e+00 1.945446e-02 9.984716e-01 5.885076e+05 4.683071e+01 -1.368421e-02 5.528927e-03
1.266192e+00 1.994955e-02 9.996269e-01 5.889907e+05 4.686858e+01 -1.585728e-02 5.546570e-03
1.318256e+00 2.079012e-02 9.986946e-01 5.880626e+05 4.679576e+01 -1.686120e-02 5.563736e-03
1.372460e+00 2.168779e-02 9.993231e-01 5.884542e+05 4.682631e+01 -1.395100e-02 5.563974e-03
