#./munderdamped_3d_gle_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.04 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a_15.0_20.0-w11.0-t0.04-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.719999e+01 -1.750127e+00 9.175191e+00 3.093686e-04 2.616844e+05 4.668673e+01 2.475809e+00 -5.266666e-04
1.724998e+01 -1.750132e+00 9.256285e+00 -2.531099e-05 1.601141e+05 2.894404e+01 2.288170e+00 -5.295873e-04
1.729998e+01 -1.750132e+00 9.336535e+00 2.779474e-04 1.069578e+05 1.966356e+01 2.689257e+00 -5.334020e-04
1.734998e+01 -1.750132e+00 9.414935e+00 -1.548600e-04 7.144698e+04 1.344401e+01 2.357378e+00 -5.352497e-04
1.739998e+01 -1.750132e+00 9.491122e+00 4.865272e-05 5.072969e+04 9.922641e+00 2.098471e+00 -5.422235e-04
1.744998e+01 -1.750132e+00 9.560343e+00 -1.118580e-04 3.783554e+04 7.592454e+00 2.366599e+00 -5.444288e-04
1.749998e+01 -1.750132e+00 9.632393e+00 3.197699e-04 2.901380e+04 6.100504e+00 2.324009e+00 -5.457997e-04
1.754998e+01 -1.750132e+00 9.708607e+00 1.166736e-04 2.259675e+04 4.983905e+00 2.058571e+00 -5.368590e-04
1.759998e+01 -1.750132e+00 9.787457e+00 7.561326e-05 1.798451e+04 4.088244e+00 2.264705e+00 -5.344152e-04
1.764998e+01 -1.750132e+00 9.860949e+00 3.646847e-05 1.505677e+04 3.643916e+00 2.253942e+00 -5.218983e-04
1.769998e+01 -1.750132e+00 9.922602e+00 1.746131e-04 1.255778e+04 3.121156e+00 2.284021e+00 -5.053878e-04
1.774998e+01 -1.750132e+00 9.995388e+00 1.106212e-05 1.080367e+04 2.903718e+00 2.309313e+00 -4.833937e-04
1.779998e+01 -1.750132e+00 1.007222e+01 2.152079e-04 9.419665e+03 2.611701e+00 2.209830e+00 -4.541278e-04
1.784998e+01 -1.750132e+00 1.013520e+01 1.188224e-04 8.111572e+03 2.433829e+00 2.135282e+00 -4.125237e-04
