#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-2:100:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/maw-D_-6_-2-m0.525-a17.0-w11.0-ratchet.dat
#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-2:-1:25:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/Daw-D_-2_-1-m0.525-a17.0-w11.0-ratchet.dat
#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-1:-0:25:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/Daw-D_-1_0-m0.525-a17.0-w11.0-ratchet.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.445436e-05 1.700000e+01 1.100000e+01 5.375021e-01 6.989108e+00 2.000520e+00 1.602222e+07 2.805691e+03 -3.936264e-01 3.578432e-01
1.584889e-05 1.700000e+01 1.100000e+01 5.364880e-01 6.989363e+00 2.000755e+00 1.603576e+07 2.807254e+03 -3.945073e-01 3.578410e-01
1.737796e-05 1.700000e+01 1.100000e+01 5.438256e-01 6.987063e+00 2.000071e+00 1.599279e+07 2.800611e+03 -3.905120e-01 3.558178e-01
1.905455e-05 1.700000e+01 1.100000e+01 5.396372e-01 6.987058e+00 2.000255e+00 1.604126e+07 2.808708e+03 -3.934193e-01 3.551929e-01
2.089290e-05 1.700000e+01 1.100000e+01 5.396633e-01 6.990003e+00 2.000275e+00 1.600231e+07 2.801901e+03 -3.924481e-01 3.580210e-01
2.290861e-05 1.700000e+01 1.100000e+01 5.448135e-01 6.982520e+00 1.999923e+00 1.606395e+07 2.812540e+03 -3.918294e-01 3.502339e-01
2.511879e-05 1.700000e+01 1.100000e+01 5.507621e-01 6.988802e+00 1.999675e+00 1.591370e+07 2.786728e+03 -3.854179e-01 3.571503e-01
2.754220e-05 1.700000e+01 1.100000e+01 5.403585e-01 6.988042e+00 1.998467e+00 1.603310e+07 2.808282e+03 -3.925505e-01 3.549218e-01
3.019942e-05 1.700000e+01 1.100000e+01 5.402519e-01 6.991357e+00 1.998539e+00 1.599231e+07 2.801114e+03 -3.916095e-01 3.580048e-01
3.311300e-05 1.700000e+01 1.100000e+01 5.429189e-01 6.991274e+00 2.001971e+00 1.598372e+07 2.798034e+03 -3.909316e-01 3.575466e-01
3.630768e-05 1.700000e+01 1.100000e+01 5.384642e-01 6.989235e+00 2.001435e+00 1.606432e+07 2.812869e+03 -3.944481e-01 3.541952e-01
3.981058e-05 1.700000e+01 1.100000e+01 5.370229e-01 6.996247e+00 1.999814e+00 1.598363e+07 2.799193e+03 -3.927521e-01 3.608818e-01
4.365143e-05 1.700000e+01 1.100000e+01 5.433728e-01 6.993434e+00 2.000434e+00 1.597305e+07 2.797133e+03 -3.901257e-01 3.576330e-01
4.786283e-05 1.700000e+01 1.100000e+01 5.418264e-01 6.989921e+00 2.001459e+00 1.605867e+07 2.811186e+03 -3.930399e-01 3.527641e-01
5.248055e-05 1.700000e+01 1.100000e+01 5.411603e-01 6.992589e+00 2.000261e+00 1.603730e+07 2.808280e+03 -3.924526e-01 3.543996e-01
5.754377e-05 1.700000e+01 1.100000e+01 5.409186e-01 6.992716e+00 1.999986e+00 1.605464e+07 2.811398e+03 -3.930094e-01 3.532461e-01
6.309548e-05 1.700000e+01 1.100000e+01 5.427071e-01 6.988235e+00 2.002418e+00 1.612650e+07 2.822859e+03 -3.945935e-01 3.473253e-01
6.918282e-05 1.700000e+01 1.100000e+01 5.529249e-01 6.993306e+00 2.000176e+00 1.596035e+07 2.794747e+03 -3.858687e-01 3.523526e-01
7.585745e-05 1.700000e+01 1.100000e+01 5.480964e-01 6.992280e+00 2.000364e+00 1.604725e+07 2.809890e+03 -3.901114e-01 3.491944e-01
8.317603e-05 1.700000e+01 1.100000e+01 5.378816e-01 6.996079e+00 2.000459e+00 1.611650e+07 2.822094e+03 -3.960279e-01 3.507203e-01
9.120069e-05 1.700000e+01 1.100000e+01 5.423865e-01 6.998803e+00 2.001498e+00 1.605983e+07 2.811579e+03 -3.927959e-01 3.522105e-01
9.999956e-05 1.700000e+01 1.100000e+01 5.391337e-01 6.999525e+00 2.000811e+00 1.610383e+07 2.819803e+03 -3.951318e-01 3.508818e-01
1.096473e-04 1.700000e+01 1.100000e+01 5.486583e-01 7.003722e+00 2.002087e+00 1.597417e+07 2.796676e+03 -3.882069e-01 3.543514e-01
1.202259e-04 1.700000e+01 1.100000e+01 5.558085e-01 7.007085e+00 1.999349e+00 1.587934e+07 2.780476e+03 -3.826172e-01 3.564299e-01
1.318251e-04 1.700000e+01 1.100000e+01 5.349467e-01 7.007977e+00 2.000402e+00 1.610664e+07 2.819781e+03 -3.972232e-01 3.535306e-01
1.445433e-04 1.700000e+01 1.100000e+01 5.392686e-01 7.008214e+00 2.000490e+00 1.608978e+07 2.817270e+03 -3.947628e-01 3.518326e-01
1.584885e-04 1.700000e+01 1.100000e+01 5.532486e-01 7.008399e+00 1.999223e+00 1.597549e+07 2.797969e+03 -3.860336e-01 3.507420e-01
1.737792e-04 1.700000e+01 1.100000e+01 5.463926e-01 7.012063e+00 1.999967e+00 1.602491e+07 2.805885e+03 -3.902085e-01 3.519363e-01
1.905451e-04 1.700000e+01 1.100000e+01 5.404447e-01 7.015535e+00 1.998585e+00 1.606218e+07 2.813347e+03 -3.932329e-01 3.526723e-01
