#./munderdamped_3d_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.481701030928 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.481701030928-a_15.0_20.0-w11.0-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.719999e+01 -1.750132e+00 9.495789e+00 -1.673653e-04 1.380250e+05 2.531343e+01 2.448307e+00 -5.360246e-04
1.724998e+01 -1.750132e+00 9.572127e+00 3.129486e-04 9.295441e+04 1.741460e+01 2.559722e+00 -5.387664e-04
1.729998e+01 -1.750132e+00 9.642670e+00 8.044205e-05 6.176238e+04 1.199232e+01 2.479198e+00 -5.389452e-04
1.734998e+01 -1.750132e+00 9.715027e+00 9.462590e-05 4.480343e+04 8.981812e+00 2.333825e+00 -5.421042e-04
1.739998e+01 -1.750132e+00 9.791186e+00 3.533394e-04 3.331216e+04 7.064792e+00 2.456639e+00 -5.406141e-04
1.744998e+01 -1.750132e+00 9.870172e+00 1.483838e-04 2.574345e+04 5.658976e+00 2.357162e+00 -5.319118e-04
1.749998e+01 -1.750132e+00 9.945570e+00 -4.388310e-06 2.028945e+04 4.720949e+00 2.259201e+00 -5.248785e-04
1.754998e+01 -1.750132e+00 1.001001e+01 3.305301e-04 1.639819e+04 4.064785e+00 2.265229e+00 -5.078912e-04
1.759998e+01 -1.750132e+00 1.007944e+01 2.397470e-04 1.321943e+04 3.443635e+00 2.064651e+00 -4.909635e-04
1.764998e+01 -1.750132e+00 1.015675e+01 1.298399e-04 1.123261e+04 3.128158e+00 2.250007e+00 -4.661679e-04
1.769998e+01 -1.750132e+00 1.022763e+01 1.222650e-04 9.434415e+03 2.869404e+00 2.370397e+00 -4.314184e-04
1.774998e+01 -1.750132e+00 1.028717e+01 -4.492317e-05 7.948092e+03 2.626056e+00 2.123401e+00 -3.762841e-04
1.779998e+01 -1.750132e+00 1.036201e+01 1.210636e-04 7.090155e+03 2.461840e+00 2.373626e+00 -2.939105e-04
1.784998e+01 -1.750133e+00 1.043025e+01 2.448029e-04 6.095348e+03 2.223044e+00 2.385271e+00 -1.752973e-04
1.789997e+01 -1.750132e+00 1.048903e+01 3.592852e-04 5.508726e+03 2.167372e+00 2.244733e+00 -5.543232e-05
1.794997e+01 -1.750132e+00 1.056308e+01 1.446856e-04 4.959298e+03 2.004206e+00 2.301647e+00 6.520748e-05
1.799997e+01 -1.750132e+00 1.061828e+01 2.016176e-04 4.539150e+03 1.980046e+00 2.057307e+00 1.868010e-04
1.804997e+01 -1.750132e+00 1.068802e+01 2.461853e-04 4.161776e+03 1.901615e+00 2.073490e+00 3.045797e-04
1.809997e+01 -1.750133e+00 1.074372e+01 4.065545e-04 3.973347e+03 1.876405e+00 2.089827e+00 3.441572e-04
1.814997e+01 -1.750133e+00 1.081056e+01 2.116599e-04 3.795292e+03 1.880256e+00 2.153928e+00 2.828836e-04
1.819997e+01 -1.750133e+00 1.086338e+01 4.021148e-04 3.635080e+03 1.783967e+00 2.175310e+00 2.015829e-04
1.824997e+01 -1.750133e+00 1.092371e+01 2.698041e-04 3.496310e+03 1.829486e+00 2.198561e+00 -9.292364e-05
1.829997e+01 -1.750134e+00 1.097607e+01 3.102179e-04 3.444791e+03 1.723393e+00 2.049120e+00 -2.875924e-04
1.834997e+01 -1.750134e+00 1.102510e+01 3.055056e-04 3.354649e+03 1.692931e+00 2.259148e+00 -2.042055e-04
1.839997e+01 -1.750135e+00 1.107032e+01 3.646969e-04 3.313370e+03 1.774164e+00 2.038579e+00 -6.192923e-05
1.844997e+01 -1.750137e+00 1.111196e+01 2.851778e-04 3.238219e+03 1.656166e+00 2.361585e+00 7.557869e-05
1.849997e+01 -1.750138e+00 1.114534e+01 1.905773e-04 3.222304e+03 1.628855e+00 2.454813e+00 -8.338690e-05
1.854996e+01 -1.750140e+00 1.117197e+01 3.265400e-05 3.174883e+03 1.524863e+00 1.984452e+00 2.205372e-05
1.859996e+01 -1.750134e+00 1.119122e+01 1.795536e-03 3.279870e+03 1.580886e+00 2.150381e+00 -1.513958e-05
1.864996e+01 -1.750093e+00 1.120332e+01 4.228815e-03 3.264460e+03 1.503855e+00 2.023152e+00 5.388260e-05
1.869996e+01 -1.749857e+00 1.120866e+01 2.811307e-02 3.368482e+03 1.559527e+00 1.778042e+00 4.744530e-05
1.874996e+01 -1.748502e+00 1.120722e+01 1.260604e-01 3.871732e+03 1.542020e+00 1.933388e+00 1.167059e-04
1.879996e+01 -1.741803e+00 1.119558e+01 4.248286e-01 6.009856e+03 1.565480e+00 1.570945e+00 1.804829e-04
1.884996e+01 -1.716470e+00 1.116074e+01 7.535213e-01 1.421880e+04 2.483899e+00 7.266622e-01 4.066229e-04
1.889996e+01 -1.635915e+00 1.107253e+01 9.319901e-01 3.704084e+04 6.298684e+00 2.449595e-01 9.506941e-04
1.894996e+01 -1.455576e+00 1.090055e+01 9.810567e-01 7.583052e+04 1.304100e+01 5.617225e-02 1.976967e-03
1.899996e+01 -1.183892e+00 1.066859e+01 9.916170e-01 1.005501e+05 1.747220e+01 1.743162e-02 2.942920e-03
1.904996e+01 -9.029415e-01 1.045139e+01 9.822178e-01 9.800130e+04 1.707182e+01 2.694964e-03 3.390551e-03
1.909996e+01 -6.817755e-01 1.029956e+01 9.917577e-01 8.398673e+04 1.465493e+01 9.328604e-03 3.381252e-03
