#./munderdamped_3d_gle_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.1 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.1:100:0 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a17.0-w11.0-t_0.0_0.1-ratchet.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
3.500000e-02 1.700000e+01 1.100000e+01 -1.180460e+00 8.446333e+00 1.426761e+00 1.347470e+07 2.358466e+03 -3.256027e-01 7.447004e-04
3.599999e-02 1.700000e+01 1.100000e+01 -1.394160e+00 8.561549e+00 1.178367e+00 1.072541e+07 1.877303e+03 -9.010273e-02 3.055334e-04
3.699999e-02 1.700000e+01 1.100000e+01 -1.549470e+00 8.656356e+00 9.212322e-01 8.041007e+06 1.407397e+03 2.545078e-01 -6.896257e-05
3.799999e-02 1.700000e+01 1.100000e+01 -1.653849e+00 8.733688e+00 6.469976e-01 5.622501e+06 9.842555e+02 7.250869e-01 -3.021955e-04
3.899999e-02 1.700000e+01 1.100000e+01 -1.708695e+00 8.793460e+00 4.119844e-01 3.837233e+06 6.718409e+02 1.241193e+00 -4.454255e-04
3.999999e-02 1.700000e+01 1.100000e+01 -1.736126e+00 8.844592e+00 2.156986e-01 2.485271e+06 4.353487e+02 1.790037e+00 -4.847050e-04
4.099999e-02 1.700000e+01 1.100000e+01 -1.745221e+00 8.890350e+00 1.173031e-01 1.622566e+06 2.844835e+02 2.302684e+00 -5.044937e-04
4.199998e-02 1.700000e+01 1.100000e+01 -1.749202e+00 8.934379e+00 3.426240e-02 1.046217e+06 1.837354e+02 2.461952e+00 -5.202293e-04
4.299998e-02 1.700000e+01 1.100000e+01 -1.749926e+00 8.976804e+00 1.173260e-02 6.903617e+05 1.215363e+02 2.431492e+00 -5.216002e-04
4.399998e-02 1.700000e+01 1.100000e+01 -1.750090e+00 9.018157e+00 3.268238e-03 4.694590e+05 8.304710e+01 2.478442e+00 -5.250573e-04
4.499998e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.058694e+00 1.235977e-04 3.239586e+05 5.757226e+01 2.406159e+00 -5.221963e-04
4.599998e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.098332e+00 1.354817e-04 2.337878e+05 4.184953e+01 2.667755e+00 -5.265474e-04
4.699998e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.137392e+00 2.055460e-04 1.671761e+05 3.018109e+01 2.517023e+00 -5.227923e-04
4.799997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.176415e+00 -8.338037e-04 1.247184e+05 2.282813e+01 2.404398e+00 -5.270839e-04
4.899997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.215888e+00 5.917251e-04 9.225060e+04 1.716776e+01 2.386038e+00 -5.285144e-04
4.999997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.254738e+00 2.186387e-04 7.133705e+04 1.350808e+01 2.570851e+00 -5.287528e-04
5.099997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.290880e+00 6.862052e-05 5.549032e+04 1.078994e+01 2.474514e+00 -5.295873e-04
5.199997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.322644e+00 -1.266380e-04 4.392906e+04 8.727611e+00 2.249603e+00 -5.307198e-04
5.299997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.349122e+00 -1.078396e-04 3.474326e+04 7.177187e+00 2.206050e+00 -5.275607e-04
5.399996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.382200e+00 1.430755e-04 2.898234e+04 6.219902e+00 2.179633e+00 -5.322695e-04
5.499996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.419504e+00 1.008891e-04 2.385188e+04 5.256664e+00 2.199613e+00 -5.334616e-04
5.599996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.451827e+00 7.168886e-05 1.987691e+04 4.450990e+00 2.232784e+00 -5.334616e-04
5.699996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.472336e+00 1.730036e-04 1.701255e+04 4.067936e+00 2.297014e+00 -5.341768e-04
