#./munderdamped_3d_gle_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.01 --tau=0.01 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-4:0:100:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D_-4_0-m0.525-a17.0-w11.0-t0.01-ratchet.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.000000e-04 1.700000e+01 1.100000e+01 5.023758e-01 7.253439e+00 2.001838e+00 1.755575e+07 3.073880e+03 -4.444118e-01 2.729080e-01
1.096478e-04 1.700000e+01 1.100000e+01 4.882629e-01 7.256063e+00 2.000540e+00 1.767867e+07 3.095692e+03 -4.522020e-01 2.722293e-01
1.202264e-04 1.700000e+01 1.100000e+01 4.826339e-01 7.259660e+00 2.000460e+00 1.770241e+07 3.099977e+03 -4.548873e-01 2.734963e-01
1.318256e-04 1.700000e+01 1.100000e+01 4.920533e-01 7.258599e+00 2.000054e+00 1.763945e+07 3.089208e+03 -4.498560e-01 2.726190e-01
1.445439e-04 1.700000e+01 1.100000e+01 4.823144e-01 7.263579e+00 1.999869e+00 1.768609e+07 3.097187e+03 -4.546317e-01 2.746419e-01
1.584892e-04 1.700000e+01 1.100000e+01 5.029634e-01 7.260651e+00 2.001600e+00 1.754205e+07 3.071307e+03 -4.439322e-01 2.734274e-01
1.737800e-04 1.700000e+01 1.100000e+01 4.927188e-01 7.264464e+00 2.000217e+00 1.760987e+07 3.084050e+03 -4.488870e-01 2.740849e-01
1.905460e-04 1.700000e+01 1.100000e+01 4.910389e-01 7.264692e+00 2.000941e+00 1.764954e+07 3.090316e+03 -4.506715e-01 2.725933e-01
2.089295e-04 1.700000e+01 1.100000e+01 4.941887e-01 7.263188e+00 1.999590e+00 1.766347e+07 3.093115e+03 -4.498834e-01 2.698889e-01
2.290866e-04 1.700000e+01 1.100000e+01 4.944552e-01 7.261375e+00 1.997814e+00 1.770494e+07 3.101423e+03 -4.504240e-01 2.666612e-01
2.511884e-04 1.700000e+01 1.100000e+01 4.977097e-01 7.265855e+00 1.999615e+00 1.762931e+07 3.087467e+03 -4.475069e-01 2.700880e-01
2.754226e-04 1.700000e+01 1.100000e+01 4.920559e-01 7.271319e+00 2.000087e+00 1.762509e+07 3.086652e+03 -4.495324e-01 2.732921e-01
3.019948e-04 1.700000e+01 1.100000e+01 4.943757e-01 7.270764e+00 1.997579e+00 1.762987e+07 3.088375e+03 -4.487741e-01 2.714232e-01
3.311308e-04 1.700000e+01 1.100000e+01 5.068088e-01 7.267623e+00 2.001112e+00 1.758129e+07 3.078579e+03 -4.432813e-01 2.684348e-01
3.630776e-04 1.700000e+01 1.100000e+01 4.959773e-01 7.277172e+00 2.000556e+00 1.757011e+07 3.076206e+03 -4.469813e-01 2.750006e-01
3.981066e-04 1.700000e+01 1.100000e+01 4.946958e-01 7.275734e+00 1.998021e+00 1.762532e+07 3.087216e+03 -4.485398e-01 2.716025e-01
4.365152e-04 1.700000e+01 1.100000e+01 4.937088e-01 7.276478e+00 2.000105e+00 1.765399e+07 3.091509e+03 -4.496028e-01 2.704592e-01
4.786294e-04 1.700000e+01 1.100000e+01 4.998465e-01 7.279558e+00 1.999541e+00 1.757080e+07 3.076801e+03 -4.455369e-01 2.726412e-01
5.248066e-04 1.700000e+01 1.100000e+01 4.900031e-01 7.281390e+00 2.001837e+00 1.767608e+07 3.094517e+03 -4.519213e-01 2.712320e-01
5.754390e-04 1.700000e+01 1.100000e+01 4.996065e-01 7.276788e+00 1.999634e+00 1.767621e+07 3.095248e+03 -4.480194e-01 2.659992e-01
6.309563e-04 1.700000e+01 1.100000e+01 4.972584e-01 7.283267e+00 2.001038e+00 1.762688e+07 3.086011e+03 -4.479082e-01 2.705655e-01
6.918297e-04 1.700000e+01 1.100000e+01 4.932061e-01 7.283129e+00 2.000916e+00 1.769509e+07 3.098469e+03 -4.507491e-01 2.681131e-01
7.585761e-04 1.700000e+01 1.100000e+01 4.993372e-01 7.283080e+00 1.999845e+00 1.765752e+07 3.091824e+03 -4.478807e-01 2.671578e-01
8.317621e-04 1.700000e+01 1.100000e+01 5.061518e-01 7.282417e+00 2.001200e+00 1.762235e+07 3.085209e+03 -4.445483e-01 2.656319e-01
9.120089e-04 1.700000e+01 1.100000e+01 5.096622e-01 7.285090e+00 2.000213e+00 1.754640e+07 3.072651e+03 -4.415177e-01 2.669802e-01
9.999978e-04 1.700000e+01 1.100000e+01 5.175143e-01 7.275290e+00 2.002232e+00 1.762395e+07 3.085933e+03 -4.407162e-01 2.559448e-01
1.096476e-03 1.700000e+01 1.100000e+01 5.119365e-01 7.277492e+00 2.002439e+00 1.760161e+07 3.082645e+03 -4.431282e-01 2.549418e-01
1.202262e-03 1.700000e+01 1.100000e+01 5.284255e-01 7.257368e+00 2.005204e+00 1.767292e+07 3.094916e+03 -4.396046e-01 2.341430e-01
1.318253e-03 1.700000e+01 1.100000e+01 5.467821e-01 7.232614e+00 2.009882e+00 1.770008e+07 3.099640e+03 -4.348947e-01 2.093160e-01
