#./munderdamped_3d_ratchet --dev=1 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a_15.0_20.0-w11.0-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.724998e+01 5.697522e-01 7.238870e+00 2.000991e+00 1.657395e+07 2.901812e+03 -3.936169e-01 2.972238e-01
1.729998e+01 5.749990e-01 7.271201e+00 2.000324e+00 1.676313e+07 2.935773e+03 -3.953488e-01 2.804228e-01
1.734998e+01 5.749442e-01 7.309507e+00 2.001048e+00 1.690088e+07 2.959812e+03 -3.987528e-01 2.707729e-01
1.739998e+01 5.731412e-01 7.348501e+00 2.001438e+00 1.703824e+07 2.983420e+03 -4.032102e-01 2.618085e-01
1.744998e+01 5.783907e-01 7.384782e+00 2.002060e+00 1.715811e+07 3.004534e+03 -4.037224e-01 2.499011e-01
1.749998e+01 5.852119e-01 7.421241e+00 2.001631e+00 1.726882e+07 3.024241e+03 -4.032798e-01 2.368001e-01
1.754998e+01 5.894984e-01 7.457617e+00 2.001635e+00 1.736128e+07 3.040837e+03 -4.033834e-01 2.236484e-01
1.759998e+01 6.037657e-01 7.485311e+00 2.002383e+00 1.748080e+07 3.061565e+03 -4.002861e-01 2.035414e-01
1.764998e+01 6.064517e-01 7.520711e+00 2.005975e+00 1.757838e+07 3.077713e+03 -4.013756e-01 1.878947e-01
1.769998e+01 6.203327e-01 7.549379e+00 2.006503e+00 1.762712e+07 3.086731e+03 -3.955112e-01 1.655617e-01
1.774998e+01 6.257473e-01 7.573978e+00 2.007869e+00 1.783372e+07 3.123096e+03 -3.964306e-01 1.372600e-01
1.779998e+01 6.334542e-01 7.601522e+00 2.009840e+00 1.784245e+07 3.124868e+03 -3.890357e-01 1.139349e-01
