#./munderdamped_3d_gle_ratchet --dev=3 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.01 --tau=0.04 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-4:0:100:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D_-4_0-m0.525-a17.0-w11.0-t0.04-ratchet.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
2.511879e-03 1.700000e+01 1.100000e+01 -1.750132e+00 8.833813e+00 1.678734e-04 1.688780e+05 3.055854e+01 2.499138e+00 -3.066063e-04
2.754220e-03 1.700000e+01 1.100000e+01 -1.750132e+00 8.829930e+00 5.282393e-04 1.331829e+05 2.427491e+01 2.366666e+00 -1.509190e-04
3.019942e-03 1.700000e+01 1.100000e+01 -1.750132e+00 8.825469e+00 -3.849969e-04 1.102687e+05 2.033478e+01 2.339487e+00 -2.974272e-05
3.311300e-03 1.700000e+01 1.100000e+01 -1.750132e+00 8.821095e+00 3.277158e-04 9.374693e+04 1.750424e+01 2.344348e+00 8.821487e-05
3.630768e-03 1.700000e+01 1.100000e+01 -1.750125e+00 8.816964e+00 -5.632520e-05 7.667223e+04 1.447377e+01 2.180420e+00 2.442598e-04
3.981058e-03 1.700000e+01 1.100000e+01 -1.750112e+00 8.813194e+00 3.177063e-04 6.733869e+04 1.282776e+01 2.267850e+00 4.186630e-04
4.365142e-03 1.700000e+01 1.100000e+01 -1.750015e+00 8.810066e+00 2.116774e-03 5.641620e+04 1.093630e+01 2.275612e+00 4.386902e-04
4.786283e-03 1.700000e+01 1.100000e+01 -1.749783e+00 8.806850e+00 1.011760e-02 5.010191e+04 9.830554e+00 2.419777e+00 4.440546e-04
5.248055e-03 1.700000e+01 1.100000e+01 -1.749435e+00 8.803288e+00 1.605485e-02 4.316104e+04 8.550089e+00 2.137147e+00 4.643202e-04
5.754377e-03 1.700000e+01 1.100000e+01 -1.748190e+00 8.798467e+00 4.489684e-02 4.048555e+04 8.049038e+00 2.190101e+00 4.107952e-04
