#./munderdamped_3d_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:0.425:0.525:100:0 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/maw-D0.001-m_0.425_0.525-a17.0-w11.0-ratchet.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
4.599996e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.045294e+01 5.926883e-04 4.331578e+03 2.201686e+00 2.481198e+00 -4.615188e-04
4.609995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.040247e+01 4.027848e-04 4.972000e+03 2.360650e+00 2.499750e+00 -4.793406e-04
4.619995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.034090e+01 3.086062e-04 5.586771e+03 2.386210e+00 2.268510e+00 -4.966855e-04
4.629995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.028174e+01 5.958753e-04 6.141252e+03 2.519614e+00 2.459888e+00 -5.065799e-04
4.639995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.022949e+01 1.169349e-04 7.140021e+03 2.691533e+00 2.368612e+00 -5.181432e-04
4.649995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.016198e+01 4.265987e-04 8.242483e+03 2.798326e+00 2.284040e+00 -5.275011e-04
4.659995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.011225e+01 3.940106e-04 9.610739e+03 3.129559e+00 2.281656e+00 -5.308390e-04
4.669995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.004409e+01 1.383355e-04 1.137537e+04 3.358551e+00 2.345723e+00 -5.374551e-04
4.679995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.992714e+00 2.390975e-04 1.380195e+04 3.780471e+00 2.272883e+00 -5.352497e-04
4.689994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.929227e+00 -1.929878e-04 1.637779e+04 4.227601e+00 2.308406e+00 -5.415678e-04
4.699994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.871572e+00 -3.664915e-05 1.977537e+04 4.805333e+00 2.363144e+00 -5.415678e-04
4.709994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.815928e+00 9.270506e-05 2.512568e+04 5.691189e+00 2.484462e+00 -5.416870e-04
4.719994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.750565e+00 3.498558e-04 3.150824e+04 6.868713e+00 2.332415e+00 -5.356669e-04
4.729994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.699042e+00 7.546336e-05 4.139713e+04 8.582652e+00 2.345561e+00 -5.366206e-04
4.739994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.630733e+00 -1.176061e-04 5.467002e+04 1.081340e+01 2.438581e+00 -5.382895e-04
4.749994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.579925e+00 -4.062394e-04 7.437380e+04 1.432041e+01 2.357014e+00 -5.367994e-04
4.759994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.511811e+00 4.141466e-04 1.037439e+05 1.946888e+01 2.570882e+00 -5.308986e-04
4.769993e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.459655e+00 1.266136e-04 1.488714e+05 2.725671e+01 2.612343e+00 -5.295873e-04
4.779993e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.394190e+00 4.369932e-04 2.198489e+05 3.956241e+01 2.623405e+00 -5.324483e-04
4.789993e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.338359e+00 -1.234423e-04 3.287352e+05 5.855650e+01 2.688981e+00 -5.319715e-04
4.799993e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.278061e+00 7.541908e-04 4.989167e+05 8.826140e+01 2.309906e+00 -5.274415e-04
4.809993e-01 1.700000e+01 1.100000e+01 -1.749913e+00 9.216650e+00 1.029151e-02 7.892657e+05 1.389944e+02 2.413992e+00 -5.255938e-04
4.819993e-01 1.700000e+01 1.100000e+01 -1.748008e+00 9.160376e+00 6.463771e-02 1.293588e+06 2.270929e+02 2.417969e+00 -5.225539e-04
4.829993e-01 1.700000e+01 1.100000e+01 -1.740411e+00 9.091986e+00 1.806847e-01 2.117513e+06 3.711190e+02 2.132250e+00 -5.111694e-04
4.839993e-01 1.700000e+01 1.100000e+01 -1.718520e+00 9.031418e+00 3.537717e-01 3.466324e+06 6.069984e+02 1.457089e+00 -4.853010e-04
4.849992e-01 1.700000e+01 1.100000e+01 -1.663635e+00 8.944883e+00 6.127121e-01 5.413070e+06 9.476103e+02 8.296998e-01 -4.250407e-04
4.859992e-01 1.700000e+01 1.100000e+01 -1.560441e+00 8.857382e+00 9.039671e-01 7.889906e+06 1.381020e+03 3.217421e-01 -3.094673e-04
4.869992e-01 1.700000e+01 1.100000e+01 -1.389766e+00 8.733402e+00 1.193051e+00 1.090982e+07 1.909679e+03 -7.276797e-02 -1.114607e-04
4.879992e-01 1.700000e+01 1.100000e+01 -1.165249e+00 8.606380e+00 1.433032e+00 1.394452e+07 2.440967e+03 -3.335488e-01 7.832050e-05
4.889992e-01 1.700000e+01 1.100000e+01 -9.042787e-01 8.459229e+00 1.619765e+00 1.652375e+07 2.892687e+03 -4.917769e-01 3.710985e-04
4.899992e-01 1.700000e+01 1.100000e+01 -6.419689e-01 8.322673e+00 1.767118e+00 1.851507e+07 3.241475e+03 -5.701928e-01 6.695986e-04
4.909992e-01 1.700000e+01 1.100000e+01 -3.874048e-01 8.186828e+00 1.857546e+00 2.003535e+07 3.507589e+03 -6.094264e-01 9.425879e-04
4.919991e-01 1.700000e+01 1.100000e+01 -1.571508e-01 8.063354e+00 1.923151e+00 2.089904e+07 3.658849e+03 -6.152942e-01 9.647608e-04
4.929991e-01 1.700000e+01 1.100000e+01 1.967772e-02 7.960861e+00 1.961675e+00 2.148596e+07 3.761784e+03 -6.092217e-01 1.213074e-03
4.939991e-01 1.700000e+01 1.100000e+01 1.639859e-01 7.868128e+00 1.983903e+00 2.175658e+07 3.809692e+03 -5.938929e-01 1.402617e-03
4.949991e-01 1.700000e+01 1.100000e+01 2.853683e-01 7.788556e+00 2.004168e+00 2.174277e+07 3.807888e+03 -5.717713e-01 1.560688e-03
4.959991e-01 1.700000e+01 1.100000e+01 3.736335e-01 7.716001e+00 2.012330e+00 2.179128e+07 3.816550e+03 -5.557663e-01 1.478553e-03
4.969991e-01 1.700000e+01 1.100000e+01 4.322844e-01 7.658141e+00 2.016901e+00 2.174994e+07 3.809128e+03 -5.424640e-01 1.518130e-03
4.979991e-01 1.700000e+01 1.100000e+01 4.783629e-01 7.601420e+00 2.025224e+00 2.158456e+07 3.779318e+03 -5.297098e-01 1.780391e-03
4.989991e-01 1.700000e+01 1.100000e+01 5.351506e-01 7.547108e+00 2.030387e+00 2.119789e+07 3.712061e+03 -5.056449e-01 2.396703e-03
4.999990e-01 1.700000e+01 1.100000e+01 5.473405e-01 7.505040e+00 2.033942e+00 2.101184e+07 3.679501e+03 -5.020219e-01 4.070520e-03
5.009990e-01 1.700000e+01 1.100000e+01 5.581307e-01 7.469500e+00 2.034283e+00 2.077116e+07 3.637343e+03 -4.973121e-01 8.895159e-03
5.019990e-01 1.700000e+01 1.100000e+01 5.747886e-01 7.439946e+00 2.034641e+00 2.037473e+07 3.568375e+03 -4.854636e-01 1.783538e-02
5.029990e-01 1.700000e+01 1.100000e+01 5.646124e-01 7.424014e+00 2.031616e+00 2.018877e+07 3.535198e+03 -4.872205e-01 3.373849e-02
5.039990e-01 1.700000e+01 1.100000e+01 5.623544e-01 7.416861e+00 2.028504e+00 1.980660e+07 3.468028e+03 -4.809090e-01 5.523789e-02
5.049990e-01 1.700000e+01 1.100000e+01 5.465370e-01 7.413115e+00 2.023102e+00 1.956337e+07 3.425570e+03 -4.819255e-01 7.975662e-02
5.059990e-01 1.700000e+01 1.100000e+01 5.412640e-01 7.407242e+00 2.019513e+00 1.926852e+07 3.373953e+03 -4.762037e-01 1.047761e-01
5.069990e-01 1.700000e+01 1.100000e+01 5.209492e-01 7.406227e+00 2.015782e+00 1.908388e+07 3.342013e+03 -4.785829e-01 1.301161e-01
5.079989e-01 1.700000e+01 1.100000e+01 5.147601e-01 7.396788e+00 2.013087e+00 1.887292e+07 3.304448e+03 -4.747596e-01 1.534206e-01
5.089989e-01 1.700000e+01 1.100000e+01 5.105934e-01 7.387296e+00 2.008214e+00 1.863788e+07 3.263881e+03 -4.696035e-01 1.759548e-01
5.099989e-01 1.700000e+01 1.100000e+01 5.186314e-01 7.372785e+00 2.005479e+00 1.835809e+07 3.215025e+03 -4.593382e-01 1.954621e-01
5.109989e-01 1.700000e+01 1.100000e+01 5.077931e-01 7.352783e+00 2.003772e+00 1.834032e+07 3.211490e+03 -4.620636e-01 2.078638e-01
5.119989e-01 1.700000e+01 1.100000e+01 4.945507e-01 7.344997e+00 2.003715e+00 1.812247e+07 3.173474e+03 -4.615231e-01 2.308311e-01
5.129989e-01 1.700000e+01 1.100000e+01 5.057406e-01 7.316803e+00 2.003790e+00 1.798929e+07 3.149606e+03 -4.540004e-01 2.369632e-01
5.139989e-01 1.700000e+01 1.100000e+01 4.977901e-01 7.301201e+00 2.001424e+00 1.781927e+07 3.120069e+03 -4.528060e-01 2.530044e-01
5.149989e-01 1.700000e+01 1.100000e+01 4.975681e-01 7.280838e+00 2.001215e+00 1.765350e+07 3.090860e+03 -4.488150e-01 2.653244e-01
5.159988e-01 1.700000e+01 1.100000e+01 5.058064e-01 7.258405e+00 2.000847e+00 1.743545e+07 3.053085e+03 -4.404880e-01 2.754298e-01
5.169988e-01 1.700000e+01 1.100000e+01 5.150835e-01 7.226691e+00 1.999423e+00 1.736495e+07 3.041261e+03 -4.350455e-01 2.758142e-01
5.179988e-01 1.700000e+01 1.100000e+01 5.159991e-01 7.208666e+00 2.001462e+00 1.715200e+07 3.003234e+03 -4.300181e-01 2.900866e-01
5.189988e-01 1.700000e+01 1.100000e+01 5.249118e-01 7.187916e+00 1.998633e+00 1.690457e+07 2.960782e+03 -4.203936e-01 3.016379e-01
5.199988e-01 1.700000e+01 1.100000e+01 5.279247e-01 7.160054e+00 2.000893e+00 1.686764e+07 2.953563e+03 -4.183938e-01 3.027543e-01
5.209988e-01 1.700000e+01 1.100000e+01 5.228321e-01 7.143573e+00 2.000444e+00 1.671521e+07 2.926855e+03 -4.166036e-01 3.164845e-01
5.219988e-01 1.700000e+01 1.100000e+01 5.550821e-01 7.112598e+00 2.000049e+00 1.639024e+07 2.869833e+03 -3.953609e-01 3.195734e-01
5.229988e-01 1.700000e+01 1.100000e+01 5.488617e-01 7.093898e+00 2.001551e+00 1.628976e+07 2.852021e+03 -3.957473e-01 3.306043e-01
5.239987e-01 1.700000e+01 1.100000e+01 5.574266e-01 7.073880e+00 1.999678e+00 1.608303e+07 2.816278e+03 -3.869888e-01 3.396382e-01

