3.951689 0.08868408
7.903378 0.09527588
11.85507 0.104248
15.80676 0.1143188
19.75844 0.1244507
23.71013 0.1382446
27.66182 0.147522
31.61351 0.1622314
35.5652 0.1795044
39.51689 0.1925659
43.46858 0.2122803
47.42027 0.2219849
55.32364 0.2538452
59.27533 0.2715454
67.17871 0.3017578
71.1304 0.3214111
79.03378 0.3486328
90.88885 0.3916016
98.79222 0.4188232
110.6473 0.4542847
122.5024 0.4829712
134.3574 0.5083618
150.1642 0.5375366
165.9709 0.5688477
181.7777 0.5874634
201.5361 0.6210327
225.2463 0.645874
248.9564 0.6566772
276.6182 0.6694946
304.28 0.6800537
339.8452 0.6889038
375.4104 0.6969604
414.9273 0.7041016
462.3476 0.7055054
509.7679 0.7103271
565.0915 0.7105103
624.3668 0.701355
695.4973 0.7044678
766.6276 0.7034912
849.6131 0.7098389
944.4536 0.7109985
1043.246 0.7030029
1157.845 0.7125854
1280.347 0.704895
1418.656 0.7025757
1572.772 0.7036133
1742.695 0.710144
1932.376 0.7023315
2137.864 0.7037354
2367.062 0.7096558
2623.921 0.7009277
2908.443 0.7037964
3220.626 0.7111206
3568.375 0.706543
3951.689 0.7081909
4378.471 0.7138062
4848.722 0.7033691
5370.345 0.7059937
5951.244 0.7019653
6591.417 0.7075195
7302.721 0.7071533
8089.107 0.7094116
8962.431 0.7081299
9926.643 0.7042236
10997.55 0.7086182
12179.11 0.7037354
13495.02 0.7079468
14945.29 0.7142334
16557.58 0.7064819
18343.74 0.7056885
20319.58 0.7073975
22508.82 0.7076416
24935.16 0.7034912
27618.35 0.7025757
30597.93 0.7131348
33893.64 0.7110596
37545.0 0.7059326
41591.52 0.7114868
46072.74 0.7102661
51036.06 0.7091675
56536.81 0.7124023
62630.32 0.7037354
69379.8 0.7067261
76852.45 0.7102051
85135.19 0.7053833
94311.01 0.710022
104470.8 0.7050171
115729.2 0.710022
128200.7 0.7067261
142015.8 0.711731
157316.7 0.7106323
174269.5 0.7113037
193047.9 0.7058716
213849.6 0.7120972
236895.8 0.7073975
262423.8 0.7095337
290702.0 0.7047119
322023.1 0.7086792
356726.8 0.7061768
395164.9 0.7079468
