#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
2.716420e+02 8.912509e+00 1.040298e+00 1.014515e+00 5.538831e+06 4.407787e+02 -4.943144e-02 2.117157e-04
2.786101e+02 8.912509e+00 1.041696e+00 9.885257e-01 5.270025e+06 4.193758e+02 -9.854674e-03 2.218485e-04
2.857569e+02 8.912509e+00 1.039561e+00 9.510689e-01 5.073662e+06 4.037554e+02 -4.507971e-02 2.286434e-04
2.930871e+02 8.912509e+00 1.029123e+00 1.027867e+00 5.971930e+06 4.752245e+02 -3.132570e-02 2.397299e-04
3.006053e+02 8.912509e+00 1.029859e+00 1.003122e+00 6.028362e+06 4.797468e+02 -1.062900e-01 2.390146e-04
3.083163e+02 8.912509e+00 1.035379e+00 1.029665e+00 6.455517e+06 5.137191e+02 -3.530520e-02 2.267361e-04
3.162252e+02 8.912509e+00 1.022430e+00 1.024443e+00 6.724190e+06 5.351152e+02 -3.674483e-02 2.105236e-04
3.243369e+02 8.912509e+00 1.030148e+00 1.005442e+00 6.504467e+06 5.176091e+02 -2.418369e-02 2.095699e-04
3.326567e+02 8.912509e+00 1.046162e+00 1.023966e+00 6.788932e+06 5.402518e+02 -2.048576e-02 2.319813e-04
3.411899e+02 8.912509e+00 1.037704e+00 1.042640e+00 7.281854e+06 5.794771e+02 2.543700e-02 2.189875e-04
3.499420e+02 8.912509e+00 1.040860e+00 9.839692e-01 6.549498e+06 5.212054e+02 -1.052541e-02 2.220869e-04
3.589186e+02 8.912509e+00 1.035935e+00 9.946389e-01 6.742786e+06 5.365753e+02 -3.630584e-02 2.491474e-04
3.681255e+02 8.912509e+00 1.030848e+00 1.023790e+00 7.479704e+06 5.952258e+02 -3.658038e-02 2.337694e-04
3.775686e+02 8.912509e+00 1.022539e+00 9.802614e-01 7.176098e+06 5.710508e+02 -4.063815e-02 2.201796e-04
3.872539e+02 8.912509e+00 1.007278e+00 1.003012e+00 7.480987e+06 5.953028e+02 -1.038517e-01 2.318621e-04
3.971876e+02 8.912509e+00 1.033314e+00 9.818423e-01 7.500225e+06 5.968456e+02 -4.349905e-02 2.115965e-04
4.073762e+02 8.912509e+00 1.029343e+00 1.017797e+00 7.700114e+06 6.127560e+02 -8.425546e-02 2.365112e-04
4.178260e+02 8.912509e+00 1.009502e+00 1.001059e+00 8.464058e+06 6.735504e+02 -7.353228e-02 2.175570e-04
4.285440e+02 8.912509e+00 1.001790e+00 9.584111e-01 7.754066e+06 6.170430e+02 -6.060290e-02 2.342463e-04
4.395369e+02 8.912509e+00 1.040812e+00 1.027235e+00 8.860998e+06 7.051086e+02 -7.347286e-03 2.298355e-04
4.508118e+02 8.912509e+00 1.032410e+00 1.015191e+00 8.969067e+06 7.137844e+02 2.132404e-02 2.334118e-04
4.623759e+02 8.912509e+00 1.036610e+00 9.895622e-01 8.527360e+06 6.785685e+02 -6.813824e-02 2.428293e-04
4.742366e+02 8.912509e+00 1.020633e+00 1.022204e+00 9.247330e+06 7.358885e+02 -2.273095e-02 2.166033e-04
4.864016e+02 8.912509e+00 1.008996e+00 9.550304e-01 8.506434e+06 6.768853e+02 -1.970845e-02 2.267361e-04
4.988787e+02 8.912509e+00 1.016076e+00 9.730130e-01 9.543694e+06 7.594619e+02 2.830780e-02 2.343655e-04
