#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
2.716435e-01 8.912509e+00 9.387481e-01 1.000609e+00 3.776189e+04 2.996569e+00 1.212549e-02 1.568437e-03
2.786117e-01 8.912509e+00 9.274304e-01 1.004164e+00 3.715735e+04 2.950096e+00 1.617801e-02 1.554966e-03
2.857586e-01 8.912509e+00 9.153146e-01 1.003213e+00 3.720714e+04 2.966966e+00 9.840369e-03 1.605272e-03
2.930888e-01 8.912509e+00 9.045354e-01 9.897614e-01 3.518129e+04 2.806220e+00 -5.329490e-03 1.553297e-03
3.006071e-01 8.912509e+00 8.942957e-01 1.005965e+00 3.502395e+04 2.787758e+00 -2.314359e-02 1.568794e-03
3.083182e-01 8.912509e+00 8.843550e-01 1.003790e+00 3.485568e+04 2.795875e+00 1.057851e-02 1.581550e-03
3.162272e-01 8.912509e+00 8.749022e-01 9.876671e-01 3.392628e+04 2.728552e+00 1.819849e-02 1.564741e-03
3.243390e-01 8.912509e+00 8.661532e-01 1.011075e+00 3.433436e+04 2.765795e+00 3.233182e-02 1.642227e-03
3.326589e-01 8.912509e+00 8.577294e-01 9.910913e-01 3.332095e+04 2.709931e+00 2.805793e-02 1.586318e-03
3.411923e-01 8.912509e+00 8.493968e-01 1.002918e+00 3.323898e+04 2.703247e+00 5.331993e-03 1.629114e-03
3.499445e-01 8.912509e+00 8.417559e-01 1.017812e+00 3.335943e+04 2.718844e+00 6.893635e-03 1.631498e-03
3.589213e-01 8.912509e+00 8.340022e-01 1.014808e+00 3.320758e+04 2.692902e+00 1.093769e-02 1.652479e-03
3.681283e-01 8.912509e+00 8.275896e-01 9.976525e-01 3.220397e+04 2.626375e+00 1.907790e-02 1.623154e-03
3.775715e-01 8.912509e+00 8.208535e-01 1.015425e+00 3.195966e+04 2.595976e+00 -3.959310e-02 1.670957e-03
3.872570e-01 8.912509e+00 8.145841e-01 1.026248e+00 3.210658e+04 2.613961e+00 1.076448e-02 1.682997e-03
3.971908e-01 8.912509e+00 8.089377e-01 1.003428e+00 3.162404e+04 2.564782e+00 -1.298440e-02 1.644850e-03
4.073796e-01 8.912509e+00 8.032890e-01 1.008579e+00 3.148830e+04 2.540590e+00 3.694797e-02 1.650572e-03
4.178296e-01 8.912509e+00 7.979817e-01 1.001672e+00 3.150031e+04 2.541068e+00 1.679957e-02 1.673102e-03
4.285478e-01 8.912509e+00 7.939552e-01 1.006820e+00 3.192738e+04 2.578947e+00 2.977991e-02 1.691103e-03
4.395409e-01 8.912509e+00 7.898351e-01 1.019318e+00 3.169201e+04 2.572421e+00 3.037500e-02 1.689315e-03
4.508159e-01 8.912509e+00 7.854839e-01 1.028410e+00 3.183988e+04 2.559211e+00 1.839972e-02 1.704454e-03
4.623803e-01 8.912509e+00 7.820429e-01 1.011271e+00 3.126426e+04 2.519582e+00 6.081104e-03 1.688361e-03
4.742412e-01 8.912509e+00 7.793509e-01 1.023954e+00 3.138427e+04 2.537089e+00 -2.775931e-02 1.711965e-03
4.864064e-01 8.912509e+00 7.765804e-01 9.918372e-01 3.015696e+04 2.426795e+00 -1.346111e-02 1.655459e-03
4.988837e-01 8.912509e+00 7.735924e-01 9.990314e-01 3.013353e+04 2.411516e+00 -3.373951e-02 1.647115e-03
5.116810e-01 8.912509e+00 7.713697e-01 1.016635e+00 3.088426e+04 2.492844e+00 -1.380569e-02 1.648188e-03
5.248066e-01 8.912509e+00 7.703411e-01 1.003322e+00 3.023496e+04 2.422338e+00 -2.196115e-02 1.665711e-03
5.382689e-01 8.912509e+00 7.686439e-01 1.004108e+00 2.999905e+04 2.404831e+00 -3.036171e-02 1.628757e-03
5.520766e-01 8.912509e+00 7.681906e-01 1.029778e+00 3.065468e+04 2.470085e+00 -1.305866e-02 1.624703e-03
5.662384e-01 8.912509e+00 7.661700e-01 1.008037e+00 3.018878e+04 2.414380e+00 -3.310889e-02 1.616716e-03
5.807635e-01 8.912509e+00 7.664420e-01 1.003691e+00 3.028541e+04 2.421861e+00 1.110315e-03 1.647711e-03
5.956612e-01 8.912509e+00 7.665961e-01 1.010397e+00 3.068218e+04 2.462127e+00 -1.285076e-03 1.657963e-03
6.109411e-01 8.912509e+00 7.667970e-01 9.997026e-01 3.019080e+04 2.426317e+00 -1.125127e-02 1.653314e-03
6.266128e-01 8.912509e+00 7.675552e-01 1.010206e+00 3.001794e+04 2.413107e+00 2.212405e-03 1.641154e-03
6.426867e-01 8.912509e+00 7.684877e-01 1.019191e+00 3.022547e+04 2.431092e+00 1.012361e-02 1.632690e-03
6.591728e-01 8.912509e+00 7.700230e-01 1.016971e+00 3.065962e+04 2.464992e+00 2.575922e-02 1.649618e-03
6.760818e-01 8.912509e+00 7.712400e-01 1.001005e+00 2.947337e+04 2.371408e+00 1.582861e-02 1.615047e-03
6.934246e-01 8.912509e+00 7.731630e-01 1.003863e+00 3.030343e+04 2.447803e+00 2.441216e-02 1.604915e-03
7.112123e-01 8.912509e+00 7.753932e-01 1.025142e+00 3.056489e+04 2.445097e+00 3.128302e-02 1.614094e-03
7.294562e-01 8.912509e+00 7.785419e-01 1.020914e+00 3.083942e+04 2.480748e+00 3.760791e-02 1.592040e-03
7.481682e-01 8.912509e+00 7.809467e-01 1.018879e+00 3.088866e+04 2.489342e+00 -1.814651e-02 1.564264e-03
7.673602e-01 8.912509e+00 7.843810e-01 1.022731e+00 3.074529e+04 2.472631e+00 2.594364e-02 1.560330e-03
7.870444e-01 8.912509e+00 7.880775e-01 1.001081e+00 2.981283e+04 2.403717e+00 5.120277e-03 1.499057e-03
8.072336e-01 8.912509e+00 7.918468e-01 1.012284e+00 3.040558e+04 2.457352e+00 -6.924868e-03 1.526356e-03
8.279407e-01 8.912509e+00 7.957830e-01 9.930894e-01 3.104055e+04 2.504940e+00 -4.113674e-03 1.513839e-03
8.491790e-01 8.912509e+00 8.003837e-01 9.938965e-01 3.010770e+04 2.439209e+00 3.226519e-03 1.474977e-03
8.709621e-01 8.912509e+00 8.054662e-01 9.945045e-01 3.129674e+04 2.523720e+00 1.146936e-02 1.503468e-03
8.933039e-01 8.912509e+00 8.109240e-01 9.874973e-01 3.100068e+04 2.506213e+00 -8.140385e-03 1.490116e-03
9.162189e-01 8.912509e+00 8.161439e-01 9.863824e-01 3.151730e+04 2.572740e+00 3.198385e-03 1.466155e-03
9.397216e-01 8.912509e+00 8.222113e-01 1.005772e+00 3.193310e+04 2.604411e+00 4.328370e-03 1.448989e-03
9.638273e-01 8.912509e+00 8.285934e-01 1.000867e+00 3.170421e+04 2.581334e+00 -1.485389e-02 1.437426e-03
9.885514e-01 8.912509e+00 8.355991e-01 1.000239e+00 3.218589e+04 2.611096e+00 -7.251859e-03 1.448035e-03
1.013910e+00 8.912509e+00 8.413862e-01 1.005226e+00 3.105904e+04 2.526744e+00 -2.094209e-02 1.366496e-03
1.039918e+00 8.912509e+00 8.483598e-01 1.003453e+00 3.270362e+04 2.654068e+00 -1.625049e-02 1.414895e-03
1.066594e+00 8.912509e+00 8.557438e-01 9.878309e-01 3.152255e+04 2.565737e+00 -2.580094e-02 1.381755e-03
1.093954e+00 8.912509e+00 8.635595e-01 1.014182e+00 3.243441e+04 2.607913e+00 6.564736e-03 1.381874e-03

8.912510e-02 9.141131e+00 1.045493e+00 9.940366e-01 7.920395e+04 6.285347e+00 8.082867e-03 2.542257e-03
9.141134e-02 9.141131e+00 1.028357e+00 1.009311e+00 7.783836e+04 6.196856e+00 2.831769e-02 2.605677e-03
9.375623e-02 9.141131e+00 1.012609e+00 9.994906e-01 7.377860e+04 5.848307e+00 2.377498e-02 2.570987e-03
9.616126e-02 9.141131e+00 9.968736e-01 9.985211e-01 6.964076e+04 5.540820e+00 1.032567e-02 2.556682e-03
9.862799e-02 9.141131e+00 9.844927e-01 1.005375e+00 6.930711e+04 5.527133e+00 -7.861912e-03 2.633214e-03
1.011580e-01 9.141131e+00 9.720507e-01 1.012470e+00 6.696875e+04 5.345696e+00 -1.124370e-02 2.699256e-03
1.037529e-01 9.141131e+00 9.614308e-01 1.015122e+00 6.487375e+04 5.166169e+00 -2.453864e-03 2.726436e-03
1.064143e-01 9.141131e+00 9.526299e-01 9.996452e-01 6.154052e+04 4.894969e+00 -2.716798e-02 2.704620e-03
1.091441e-01 9.141131e+00 9.465120e-01 9.984766e-01 5.802789e+04 4.626952e+00 1.157117e-02 2.638698e-03
1.119438e-01 9.141131e+00 9.416488e-01 9.904357e-01 5.635368e+04 4.468752e+00 2.987146e-02 2.604127e-03
1.148154e-01 9.141131e+00 9.389259e-01 9.833151e-01 5.374998e+04 4.285088e+00 -1.316130e-03 2.547383e-03
1.177606e-01 9.141131e+00 9.383174e-01 9.850788e-01 5.260209e+04 4.206147e+00 3.106439e-02 2.517581e-03
1.207814e-01 9.141131e+00 9.397442e-01 1.003547e+00 5.245416e+04 4.176862e+00 4.787123e-02 2.528667e-03
1.238797e-01 9.141131e+00 9.425029e-01 1.000331e+00 5.108798e+04 4.075640e+00 4.071081e-02 2.482533e-03
1.270574e-01 9.141131e+00 9.479144e-01 9.992498e-01 5.045423e+04 4.021845e+00 6.536639e-02 2.430439e-03
1.303167e-01 9.141131e+00 9.537309e-01 9.885478e-01 4.865705e+04 3.873194e+00 2.889657e-02 2.330422e-03
1.336595e-01 9.141131e+00 9.625054e-01 9.952953e-01 4.798723e+04 3.835316e+00 6.160724e-02 2.288461e-03
1.370881e-01 9.141131e+00 9.726511e-01 1.001332e+00 4.788479e+04 3.809533e+00 4.432762e-02 2.234697e-03
1.406047e-01 9.141131e+00 9.842843e-01 1.016271e+00 4.858137e+04 3.877651e+00 5.171525e-02 2.172112e-03
1.442115e-01 9.141131e+00 9.973426e-01 9.993988e-01 4.614705e+04 3.670113e+00 3.192067e-02 2.058387e-03
1.479108e-01 9.141131e+00 1.011687e+00 1.001780e+00 4.676118e+04 3.722316e+00 2.627671e-02 1.985908e-03
1.517050e-01 9.141131e+00 1.027506e+00 1.018949e+00 4.649741e+04 3.704490e+00 4.216766e-02 1.951694e-03
1.555965e-01 9.141131e+00 1.044150e+00 9.934049e-01 4.627302e+04 3.658972e+00 5.485797e-02 1.835585e-03
1.595878e-01 9.141131e+00 1.062442e+00 9.955096e-01 4.642879e+04 3.663428e+00 3.163803e-02 1.791716e-03
1.636816e-01 9.141131e+00 1.081122e+00 9.961421e-01 4.769721e+04 3.842955e+00 2.415621e-02 1.752019e-03
1.678803e-01 9.141131e+00 1.102233e+00 1.004837e+00 4.819611e+04 3.887200e+00 1.432478e-02 1.703739e-03
1.721867e-01 9.141131e+00 1.122721e+00 1.012488e+00 4.742278e+04 3.810488e+00 3.353250e-02 1.600862e-03
1.766036e-01 9.141131e+00 1.142825e+00 1.002922e+00 4.814740e+04 3.842955e+00 -1.585424e-03 1.604795e-03
1.811339e-01 9.141131e+00 1.156276e+00 1.001032e+00 4.702866e+04 3.729637e+00 -1.537061e-02 1.518011e-03
1.857803e-01 9.141131e+00 1.153957e+00 9.900077e-01 4.679146e+04 3.759558e+00 -2.083123e-03 1.497865e-03
1.905459e-01 9.141131e+00 1.140886e+00 9.894544e-01 4.566927e+04 3.681572e+00 1.062906e-02 1.484394e-03
1.954338e-01 9.141131e+00 1.124409e+00 1.005915e+00 4.570250e+04 3.677116e+00 1.152587e-02 1.480699e-03
