#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=a:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_a:-0.05:1.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
2.716435e-01 8.912509e-01 9.755672e-01 9.999331e-01 3.333433e+04 2.648338e+00 -1.024574e-02 1.577139e-03
2.786117e-01 8.912509e-01 9.709969e-01 9.992658e-01 3.310221e+04 2.640699e+00 -2.974635e-02 1.569986e-03
2.857586e-01 8.912509e-01 9.659160e-01 1.015164e+00 3.340033e+04 2.658842e+00 -1.952887e-02 1.613975e-03
2.930888e-01 8.912509e-01 9.607458e-01 9.985851e-01 3.229501e+04 2.569079e+00 -3.542948e-02 1.538873e-03
3.006071e-01 8.912509e-01 9.565670e-01 1.031047e+00 3.299689e+04 2.618735e+00 -7.654667e-03 1.594424e-03
3.083182e-01 8.912509e-01 9.530354e-01 1.027280e+00 3.236306e+04 2.568761e+00 -3.220618e-03 1.564026e-03
3.162272e-01 8.912509e-01 9.486991e-01 1.008369e+00 3.184744e+04 2.553800e+00 7.122040e-03 1.581907e-03
3.243390e-01 8.912509e-01 9.453061e-01 1.001585e+00 3.122408e+04 2.481862e+00 -4.382432e-03 1.549959e-03
3.326589e-01 8.912509e-01 9.417409e-01 9.892558e-01 3.008255e+04 2.390826e+00 -1.131439e-02 1.526475e-03
3.411923e-01 8.912509e-01 9.384153e-01 1.015530e+00 3.110122e+04 2.471358e+00 5.217600e-02 1.554012e-03
3.499445e-01 8.912509e-01 9.352471e-01 1.017980e+00 3.077462e+04 2.450668e+00 3.217590e-02 1.571536e-03
3.589213e-01 8.912509e-01 9.327450e-01 9.937180e-01 2.995646e+04 2.378411e+00 4.878080e-02 1.548648e-03
3.681283e-01 8.912509e-01 9.301274e-01 1.035059e+00 3.037567e+04 2.425203e+00 1.947367e-02 1.599073e-03
3.775715e-01 8.912509e-01 9.284033e-01 9.903278e-01 2.868670e+04 2.263501e+00 2.595520e-02 1.521587e-03
3.872570e-01 8.912509e-01 9.255394e-01 9.868022e-01 2.843913e+04 2.251406e+00 3.639627e-02 1.561165e-03
3.971908e-01 8.912509e-01 9.237314e-01 1.006298e+00 2.934147e+04 2.360904e+00 -1.742184e-03 1.566768e-03
4.073796e-01 8.912509e-01 9.210511e-01 9.971667e-01 2.814780e+04 2.232785e+00 3.306985e-03 1.491785e-03
4.178296e-01 8.912509e-01 9.197311e-01 1.001705e+00 2.885125e+04 2.315863e+00 2.148628e-03 1.548171e-03
4.285478e-01 8.912509e-01 9.180587e-01 1.016337e+00 2.911249e+04 2.316500e+00 1.755118e-02 1.582384e-03
4.395409e-01 8.912509e-01 9.168602e-01 1.013724e+00 2.913712e+04 2.300107e+00 1.329243e-02 1.565695e-03
4.508159e-01 8.912509e-01 9.157148e-01 1.005283e+00 2.839008e+04 2.244880e+00 2.097023e-02 1.560330e-03
4.623803e-01 8.912509e-01 9.145522e-01 1.030882e+00 2.946055e+04 2.336872e+00 2.759814e-02 1.590490e-03
4.742412e-01 8.912509e-01 9.141229e-01 1.019301e+00 2.907480e+04 2.334962e+00 2.476215e-03 1.558423e-03
4.864064e-01 8.912509e-01 9.129319e-01 9.984958e-01 2.854135e+04 2.289603e+00 1.975298e-03 1.523376e-03
4.988837e-01 8.912509e-01 9.124172e-01 1.027856e+00 2.853022e+04 2.256817e+00 4.005849e-02 1.486540e-03
5.116810e-01 8.912509e-01 9.130149e-01 1.021422e+00 2.879235e+04 2.264616e+00 -4.574776e-03 1.497626e-03
