#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:0.95:2.05:100:1 --domainy=a:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:0.95:2.05:100:1_a:-0.05:1.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
2.716448e+01 8.912509e-01 1.004156e+00 1.010454e+00 5.333734e+05 4.244248e+01 2.384186e-05 2.630949e-04
2.786130e+01 8.912509e-01 1.005819e+00 9.927458e-01 5.383276e+05 4.284419e+01 -4.475355e-03 2.648830e-04
2.857600e+01 8.912509e-01 1.003881e+00 1.003938e+00 5.524338e+05 4.399138e+01 -1.158023e-02 2.783537e-04
2.930903e+01 8.912509e-01 1.005584e+00 9.832949e-01 5.639362e+05 4.486100e+01 -1.691300e-02 2.665520e-04
3.006087e+01 8.912509e-01 1.006279e+00 9.831703e-01 5.793900e+05 4.610846e+01 -1.448625e-02 2.681017e-04
3.083199e+01 8.912509e-01 1.003556e+00 1.015846e+00 6.184232e+05 4.919575e+01 -2.186024e-02 2.726316e-04
3.162289e+01 8.912509e-01 1.002047e+00 9.751120e-01 6.118259e+05 4.868200e+01 -1.422101e-02 2.621412e-04
3.243408e+01 8.912509e-01 1.004997e+00 9.924248e-01 6.322959e+05 5.033020e+01 -7.226175e-02 2.596378e-04
3.326608e+01 8.912509e-01 1.006513e+00 9.741874e-01 6.433374e+05 5.119155e+01 -4.994941e-02 2.478361e-04
3.411942e+01 8.912509e-01 1.006290e+00 1.000573e+00 6.779005e+05 5.393220e+01 -3.271657e-02 2.539158e-04
3.499465e+01 8.912509e-01 1.005229e+00 9.915189e-01 6.853710e+05 5.455640e+01 -3.461820e-02 2.497435e-04
3.589234e+01 8.912509e-01 1.004354e+00 9.803160e-01 6.805614e+05 5.414737e+01 -3.279567e-02 2.441406e-04
3.681305e+01 8.912509e-01 1.003477e+00 1.002633e+00 7.234052e+05 5.754533e+01 -4.241294e-02 2.452135e-04
3.775738e+01 8.912509e-01 1.004087e+00 9.840935e-01 7.340945e+05 5.842546e+01 -4.154563e-02 2.425909e-04
3.872593e+01 8.912509e-01 1.006081e+00 9.814970e-01 7.584821e+05 6.036365e+01 -2.821159e-02 2.423525e-04
3.971933e+01 8.912509e-01 1.003980e+00 1.003034e+00 7.871446e+05 6.262651e+01 -2.595413e-02 2.485514e-04
4.073821e+01 8.912509e-01 1.007937e+00 9.950569e-01 8.130239e+05 6.467802e+01 -4.574913e-02 2.446175e-04
4.178323e+01 8.912509e-01 1.005003e+00 9.923475e-01 8.226071e+05 6.544706e+01 -1.425648e-02 2.539158e-04
4.285505e+01 8.912509e-01 1.005113e+00 9.868859e-01 8.378707e+05 6.669483e+01 -4.744005e-02 2.434254e-04
4.395437e+01 8.912509e-01 1.005711e+00 9.814173e-01 8.623366e+05 6.863239e+01 -3.559858e-02 2.423525e-04
4.508189e+01 8.912509e-01 1.004209e+00 9.889919e-01 8.942652e+05 7.117027e+01 -2.634472e-02 2.390146e-04
4.623833e+01 8.912509e-01 1.001942e+00 1.009126e+00 9.341821e+05 7.433777e+01 -1.631469e-02 2.375841e-04
4.742443e+01 8.912509e-01 1.003838e+00 1.008453e+00 9.495386e+05 7.554289e+01 2.548814e-03 2.427101e-04
4.864096e+01 8.912509e-01 1.004749e+00 1.016017e+00 9.925782e+05 7.898987e+01 -1.631570e-02 2.311468e-04
4.988870e+01 8.912509e-01 1.002207e+00 1.013047e+00 1.011700e+06 8.051617e+01 -6.850839e-03 2.346039e-04
5.116845e+01 8.912509e-01 1.002965e+00 9.862333e-01 9.977080e+05 7.938680e+01 -1.873398e-02 2.330542e-04
5.248102e+01 8.912509e-01 1.002251e+00 9.747428e-01 1.008236e+06 8.023733e+01 1.087761e-02 2.206564e-04
5.382727e+01 8.912509e-01 1.000765e+00 9.813012e-01 1.041527e+06 8.287579e+01 -3.549755e-03 2.386570e-04
5.520805e+01 8.912509e-01 9.987641e-01 9.866537e-01 1.084155e+06 8.626707e+01 -2.539128e-02 2.406836e-04
5.662424e+01 8.912509e-01 1.002030e+00 9.736980e-01 1.098829e+06 8.744895e+01 -3.263313e-02 2.312660e-04
5.807677e+01 8.912509e-01 1.002987e+00 9.829364e-01 1.143429e+06 9.098983e+01 -1.682967e-02 2.361536e-04
5.956656e+01 8.912509e-01 1.002687e+00 9.860856e-01 1.175426e+06 9.352612e+01 -1.575357e-02 2.356768e-04
6.109455e+01 8.912509e-01 1.003519e+00 9.937386e-01 1.216984e+06 9.684928e+01 -3.395873e-02 2.368689e-04
6.266175e+01 8.912509e-01 1.003975e+00 1.003904e+00 1.273025e+06 1.013133e+02 -4.307318e-02 2.477169e-04
6.426916e+01 8.912509e-01 1.004644e+00 9.970678e-01 1.248912e+06 9.936488e+01 -4.191476e-02 2.392530e-04
6.591779e+01 8.912509e-01 1.003923e+00 1.011539e+00 1.310528e+06 1.043238e+02 -4.072732e-02 2.273321e-04
6.760871e+01 8.912509e-01 9.985787e-01 1.012526e+00 1.330275e+06 1.058590e+02 -4.955101e-02 2.485514e-04
6.934301e+01 8.912509e-01 1.000597e+00 1.015063e+00 1.385018e+06 1.102021e+02 -5.152375e-02 2.470016e-04
7.112180e+01 8.912509e-01 1.003651e+00 9.947878e-01 1.380706e+06 1.098777e+02 -5.186379e-03 2.400875e-04
7.294622e+01 8.912509e-01 1.005352e+00 9.966702e-01 1.398936e+06 1.113225e+02 -4.140317e-03 2.294779e-04
7.481744e+01 8.912509e-01 1.000930e+00 9.696356e-01 1.406296e+06 1.119219e+02 5.600572e-03 2.284050e-04
7.673666e+01 8.912509e-01 9.973064e-01 9.573597e-01 1.409390e+06 1.121902e+02 -2.145058e-02 2.331734e-04
7.870510e+01 8.912509e-01 9.988821e-01 9.792925e-01 1.481357e+06 1.178752e+02 -1.226795e-02 2.312660e-04
8.072404e+01 8.912509e-01 9.975097e-01 9.861379e-01 1.503892e+06 1.196810e+02 -1.497740e-02 2.331734e-04
8.279478e+01 8.912509e-01 9.975649e-01 9.532745e-01 1.483302e+06 1.180459e+02 1.677775e-02 2.386570e-04
8.491863e+01 8.912509e-01 9.996899e-01 9.683326e-01 1.568559e+06 1.248268e+02 -4.982096e-02 2.447367e-04
8.709697e+01 8.912509e-01 1.001050e+00 9.804497e-01 1.639163e+06 1.304373e+02 1.525080e-02 2.343655e-04
8.933118e+01 8.912509e-01 9.967768e-01 9.930091e-01 1.704406e+06 1.356414e+02 5.321860e-02 2.372265e-04
9.162270e+01 8.912509e-01 9.961815e-01 1.010045e+00 1.802203e+06 1.434221e+02 5.199075e-03 2.394915e-04
9.397301e+01 8.912509e-01 1.000484e+00 9.921461e-01 1.823973e+06 1.451487e+02 -5.867898e-03 2.449751e-04
9.638361e+01 8.912509e-01 9.968084e-01 9.836510e-01 1.833466e+06 1.459167e+02 1.505613e-03 2.347231e-04
9.885604e+01 8.912509e-01 9.920580e-01 9.842560e-01 1.876190e+06 1.492899e+02 -1.290202e-02 2.260208e-04
1.013919e+02 8.912509e-01 9.972808e-01 9.954562e-01 1.975300e+06 1.571798e+02 1.504993e-02 2.326965e-04
1.039928e+02 8.912509e-01 9.959950e-01 9.761719e-01 1.975140e+06 1.571747e+02 9.362102e-03 2.191067e-04
1.066603e+02 8.912509e-01 1.003481e+00 9.596493e-01 1.944841e+06 1.547584e+02 2.684402e-02 2.342463e-04
1.093964e+02 8.912509e-01 9.995572e-01 9.808899e-01 2.091638e+06 1.664544e+02 2.925897e-02 2.274513e-04

8.912509e+00 9.141132e-01 1.015965e+00 1.015767e+00 1.823766e+05 1.450347e+01 5.096519e-02 3.451109e-04
9.141131e+00 9.141132e-01 1.015517e+00 1.013570e+00 1.876538e+05 1.492841e+01 2.507591e-02 3.303289e-04
9.375619e+00 9.141132e-01 1.014768e+00 1.006169e+00 1.880920e+05 1.496789e+01 1.023781e-02 3.347397e-04
9.616121e+00 9.141132e-01 1.015018e+00 1.005136e+00 1.957665e+05 1.557649e+01 -2.513266e-02 3.255606e-04
9.862793e+00 9.141132e-01 1.012845e+00 1.002351e+00 1.922455e+05 1.529352e+01 1.304042e-02 3.122091e-04
1.011579e+01 9.141132e-01 1.014072e+00 1.001291e+00 2.032254e+05 1.616982e+01 7.550716e-03 3.211498e-04
1.037528e+01 9.141132e-01 1.013023e+00 1.025581e+00 2.113652e+05 1.682236e+01 4.550254e-02 3.266335e-04
1.064143e+01 9.141132e-01 1.014097e+00 1.011146e+00 2.128405e+05 1.693154e+01 4.079413e-02 3.147125e-04
1.091440e+01 9.141132e-01 1.014349e+00 9.940791e-01 2.154747e+05 1.715849e+01 -5.285144e-04 3.243685e-04
1.119438e+01 9.141132e-01 1.013152e+00 9.957536e-01 2.212881e+05 1.759139e+01 -1.495230e-02 3.176928e-04
1.148154e+01 9.141132e-01 1.012343e+00 9.901211e-01 2.253952e+05 1.794185e+01 6.237268e-03 3.176928e-04
1.177606e+01 9.141132e-01 1.012249e+00 9.630136e-01 2.276277e+05 1.810929e+01 -2.347785e-02 3.116131e-04
1.207814e+01 9.141132e-01 1.011175e+00 9.797865e-01 2.315410e+05 1.840627e+01 -1.155078e-03 3.163815e-04
1.238797e+01 9.141132e-01 1.012237e+00 9.681864e-01 2.295919e+05 1.827067e+01 -2.811438e-02 3.101826e-04
1.270575e+01 9.141132e-01 1.010333e+00 9.671234e-01 2.374829e+05 1.889074e+01 -5.230922e-02 3.077984e-04
1.303168e+01 9.141132e-01 1.009439e+00 9.719074e-01 2.431410e+05 1.936693e+01 -4.111350e-03 3.073215e-04
1.336596e+01 9.141132e-01 1.009495e+00 9.943974e-01 2.567951e+05 2.042881e+01 1.554120e-02 3.006458e-04
1.370883e+01 9.141132e-01 1.009458e+00 9.961707e-01 2.661543e+05 2.116156e+01 3.207004e-02 2.955198e-04
1.406049e+01 9.141132e-01 1.008999e+00 1.005896e+00 2.699398e+05 2.148401e+01 1.917636e-02 2.917051e-04
1.442117e+01 9.141132e-01 1.009051e+00 9.958366e-01 2.765698e+05 2.199617e+01 -8.909523e-03 2.928972e-04
1.479110e+01 9.141132e-01 1.007284e+00 1.002588e+00 2.833891e+05 2.254430e+01 -1.986116e-02 2.963543e-04
1.517052e+01 9.141132e-01 1.007470e+00 1.013699e+00 2.915218e+05 2.319651e+01 -3.629249e-02 2.868176e-04
1.555967e+01 9.141132e-01 1.008437e+00 9.858837e-01 2.949323e+05 2.349381e+01 -3.315246e-02 2.875328e-04
1.595881e+01 9.141132e-01 1.006568e+00 9.834517e-01 3.040487e+05 2.416736e+01 -3.506273e-02 2.865791e-04
1.636819e+01 9.141132e-01 1.007951e+00 9.996090e-01 3.252620e+05 2.588782e+01 -8.345187e-03 2.731085e-04
1.678806e+01 9.141132e-01 1.009560e+00 1.000340e+00 3.307522e+05 2.630513e+01 -4.552484e-03 2.788305e-04
1.721871e+01 9.141132e-01 1.008099e+00 1.001943e+00 3.420060e+05 2.722918e+01 -2.049798e-02 2.837181e-04
1.766041e+01 9.141132e-01 1.006641e+00 1.003212e+00 3.470700e+05 2.764330e+01 -5.936563e-03 2.739429e-04
1.811343e+01 9.141132e-01 1.006716e+00 9.836677e-01 3.528510e+05 2.807047e+01 -1.352936e-02 2.808571e-04
1.857808e+01 9.141132e-01 1.006172e+00 9.823786e-01 3.571673e+05 2.843940e+01 -1.720643e-02 2.703667e-04
1.905464e+01 9.141132e-01 1.005924e+00 9.837461e-01 3.810076e+05 3.032188e+01 -1.565993e-02 2.744198e-04
1.954343e+01 9.141132e-01 1.005585e+00 9.935541e-01 3.864364e+05 3.073791e+01 -1.691973e-02 2.857447e-04
2.004476e+01 9.141132e-01 1.007277e+00 9.901049e-01 4.036979e+05 3.212256e+01 -1.927096e-02 2.751350e-04
2.055895e+01 9.141132e-01 1.005281e+00 9.992726e-01 4.066372e+05 3.235779e+01 -2.001053e-02 2.641678e-04
2.108633e+01 9.141132e-01 1.006287e+00 1.000291e+00 4.151078e+05 3.301701e+01 2.208090e-02 2.685785e-04
2.162724e+01 9.141132e-01 1.007236e+00 1.011631e+00 4.325407e+05 3.441757e+01 -2.711749e-02 2.642870e-04
2.218202e+01 9.141132e-01 1.005125e+00 9.916261e-01 4.401658e+05 3.503891e+01 -3.783906e-02 2.579689e-04
2.275103e+01 9.141132e-01 1.008624e+00 1.009624e+00 4.564739e+05 3.632520e+01 -3.333133e-02 2.663136e-04
2.333464e+01 9.141132e-01 1.008218e+00 1.012908e+00 4.669021e+05 3.713053e+01 -1.516062e-02 2.568960e-04
2.393322e+01 9.141132e-01 1.006855e+00 9.975871e-01 4.682119e+05 3.726135e+01 -4.426479e-02 2.644062e-04
