#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-0.05:1.05:100:1 --domainy=a:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-0.05:1.05:100:1_a:-0.05:1.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
8.912509e-01 8.912509e-01 9.511163e-01 1.000885e+00 2.869198e+04 2.275279e+00 -2.972931e-02 1.215935e-03
9.141132e-01 8.912509e-01 9.542114e-01 9.943108e-01 2.856404e+04 2.275916e+00 -2.718854e-02 1.188993e-03
9.375620e-01 8.912509e-01 9.572207e-01 1.017552e+00 2.896761e+04 2.324299e+00 -5.797029e-03 1.184821e-03
9.616123e-01 8.912509e-01 9.601412e-01 9.955041e-01 2.926553e+04 2.344989e+00 -2.619022e-02 1.165509e-03
9.862795e-01 8.912509e-01 9.639447e-01 1.000436e+00 2.931765e+04 2.331938e+00 -1.655233e-02 1.141310e-03
1.011579e+00 8.912509e-01 9.675565e-01 1.012425e+00 2.876097e+04 2.291513e+00 -3.591776e-02 1.125336e-03
1.037528e+00 8.912509e-01 9.709696e-01 9.941556e-01 2.890891e+04 2.320797e+00 -8.175611e-03 1.099467e-03
1.064143e+00 8.912509e-01 9.741985e-01 1.016517e+00 2.963779e+04 2.358994e+00 -8.705497e-03 1.104832e-03
1.091440e+00 8.912509e-01 9.775695e-01 1.006580e+00 2.955563e+04 2.353265e+00 -3.817737e-03 1.070976e-03
1.119438e+00 8.912509e-01 9.807677e-01 1.031291e+00 3.071464e+04 2.448440e+00 -8.875251e-03 1.074910e-03
1.148154e+00 8.912509e-01 9.841288e-01 1.032542e+00 3.083772e+04 2.437617e+00 -1.532215e-02 1.068592e-03
1.177606e+00 8.912509e-01 9.874957e-01 1.018134e+00 3.039923e+04 2.426476e+00 -2.894467e-02 1.034021e-03
1.207814e+00 8.912509e-01 9.910710e-01 1.028181e+00 3.106224e+04 2.478997e+00 -2.421141e-02 1.019716e-03
1.238797e+00 8.912509e-01 9.936634e-01 1.004272e+00 3.021853e+04 2.398147e+00 -1.760364e-02 1.005292e-03
1.270574e+00 8.912509e-01 9.963604e-01 1.035727e+00 3.163880e+04 2.512101e+00 -3.353041e-02 9.865761e-04
1.303167e+00 8.912509e-01 9.994505e-01 1.026061e+00 3.178941e+04 2.532792e+00 -4.135799e-02 9.821653e-04
1.336596e+00 8.912509e-01 1.002173e+00 9.949609e-01 3.162880e+04 2.506054e+00 -7.728875e-03 9.458065e-04
1.370882e+00 8.912509e-01 1.005212e+00 1.003421e+00 3.209656e+04 2.565896e+00 -3.856033e-02 9.227991e-04
1.406047e+00 8.912509e-01 1.007815e+00 1.013609e+00 3.261077e+04 2.595817e+00 -4.841471e-02 8.908510e-04
1.442115e+00 8.912509e-01 1.009976e+00 1.017345e+00 3.385873e+04 2.712000e+00 -3.819215e-02 9.230375e-04
1.479108e+00 8.912509e-01 1.012144e+00 1.026816e+00 3.421097e+04 2.716138e+00 -3.590816e-02 9.167194e-04
1.517050e+00 8.912509e-01 1.014440e+00 1.037798e+00 3.625573e+04 2.885479e+00 -3.506249e-02 9.046793e-04
1.555965e+00 8.912509e-01 1.016389e+00 1.021229e+00 3.588754e+04 2.865744e+00 -6.376547e-02 8.684397e-04
1.595879e+00 8.912509e-01 1.018614e+00 1.004915e+00 3.633971e+04 2.902031e+00 -6.331766e-02 8.492470e-04
