#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:0.95:2.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:0.95:2.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
8.912509e+00 8.912509e+00 1.804314e+00 1.008936e+00 1.751659e+05 1.389423e+01 -1.487017e-03 3.799200e-04
9.141131e+00 8.912509e+00 1.802501e+00 1.011938e+00 1.767202e+05 1.407439e+01 2.278924e-03 3.621578e-04
9.375619e+00 8.912509e+00 1.799243e+00 9.955985e-01 1.800485e+05 1.431185e+01 1.962125e-02 3.619194e-04
9.616121e+00 8.912509e+00 1.796817e+00 9.965914e-01 1.891757e+05 1.504778e+01 2.256989e-03 3.687143e-04
9.862793e+00 8.912509e+00 1.793720e+00 1.000475e+00 1.916595e+05 1.527123e+01 -2.688289e-02 3.626347e-04
1.011579e+01 8.912509e+00 1.789873e+00 1.006469e+00 2.000412e+05 1.592122e+01 1.400256e-02 3.618002e-04
1.037528e+01 8.912509e+00 1.786931e+00 1.024268e+00 2.103149e+05 1.671763e+01 4.501569e-02 3.561974e-04
1.064143e+01 8.912509e+00 1.782183e+00 9.889001e-01 2.074602e+05 1.642861e+01 4.306924e-02 3.552437e-04
1.091440e+01 8.912509e+00 1.778215e+00 9.999470e-01 2.149594e+05 1.706268e+01 2.446306e-02 3.399849e-04
1.119438e+01 8.912509e+00 1.772568e+00 9.987563e-01 2.165613e+05 1.718300e+01 2.853417e-02 3.476143e-04
1.148154e+01 8.912509e+00 1.766473e+00 1.005808e+00 2.265555e+05 1.796668e+01 -4.192650e-03 3.467798e-04
1.177606e+01 8.912509e+00 1.760622e+00 9.895051e-01 2.261950e+05 1.793230e+01 1.696169e-02 3.380775e-04
1.207814e+01 8.912509e+00 1.753482e+00 1.003198e+00 2.371234e+05 1.880702e+01 3.246188e-03 3.324747e-04
1.238797e+01 8.912509e+00 1.745355e+00 9.822485e-01 2.345110e+05 1.857402e+01 -2.174032e-02 3.292561e-04
1.270575e+01 8.912509e+00 1.740954e+00 9.777932e-01 2.387473e+05 1.889551e+01 -9.240270e-03 3.161430e-04
1.303168e+01 8.912509e+00 1.732061e+00 9.802137e-01 2.455301e+05 1.954041e+01 6.810188e-03 3.094673e-04
1.336596e+01 8.912509e+00 1.725031e+00 9.842794e-01 2.468942e+05 1.961362e+01 -2.738941e-02 3.155470e-04
1.370883e+01 8.912509e+00 1.717378e+00 1.005797e+00 2.635610e+05 2.095689e+01 -2.492464e-02 3.181696e-04
1.406049e+01 8.912509e+00 1.708009e+00 1.001554e+00 2.711121e+05 2.156295e+01 6.860733e-03 3.222227e-04
1.442117e+01 8.912509e+00 1.700054e+00 9.924400e-01 2.768514e+05 2.196784e+01 -1.637459e-02 3.112555e-04
1.479110e+01 8.912509e+00 1.691804e+00 1.003140e+00 2.848267e+05 2.254971e+01 -2.570021e-02 3.087521e-04
1.517052e+01 8.912509e+00 1.683298e+00 1.006162e+00 2.955822e+05 2.344161e+01 2.738869e-02 3.006458e-04
1.555967e+01 8.912509e+00 1.672725e+00 9.866234e-01 2.940786e+05 2.335185e+01 -2.725917e-02 2.979040e-04
1.595881e+01 8.912509e+00 1.663464e+00 1.008538e+00 3.080081e+05 2.451750e+01 -9.608984e-03 2.980232e-04
1.636819e+01 8.912509e+00 1.653971e+00 1.009284e+00 3.186172e+05 2.530945e+01 8.103251e-03 3.092289e-04
1.678806e+01 8.912509e+00 1.645357e+00 9.945061e-01 3.296911e+05 2.618863e+01 -2.114147e-02 2.989769e-04
1.721871e+01 8.912509e+00 1.635786e+00 9.884374e-01 3.356830e+05 2.664636e+01 1.142859e-03 2.923012e-04
1.766041e+01 8.912509e+00 1.623527e+00 9.948942e-01 3.469530e+05 2.761084e+01 2.115607e-02 2.894402e-04
1.811343e+01 8.912509e+00 1.616350e+00 9.807090e-01 3.520950e+05 2.793488e+01 -2.505761e-02 2.915859e-04
