#./munderdamped_3d --dev=2 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:0.85:1.0:300:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_0.85_1.0-a15.0-w4.0.dat
#./munderdamped_3d --dev=1 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:1.0:1.0:1:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m1.0-a15.0-w4.0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
8.660008e-01 1.500000e+01 4.000000e+00 1.242118e-01 8.812868e+00 9.874399e-01 1.041775e+04 1.658123e+00 1.240253e-03 2.135396e-03
8.665008e-01 1.500000e+01 4.000000e+00 1.154966e-01 8.791616e+00 9.909400e-01 1.021663e+04 1.625775e+00 -6.459892e-03 2.154469e-03
8.670008e-01 1.500000e+01 4.000000e+00 1.067161e-01 8.770799e+00 1.006722e+00 1.025124e+04 1.631544e+00 2.507448e-03 2.138019e-03
8.675008e-01 1.500000e+01 4.000000e+00 9.730119e-02 8.749780e+00 1.002934e+00 9.990127e+03 1.589450e+00 2.539158e-04 2.143264e-03
8.680009e-01 1.500000e+01 4.000000e+00 8.842712e-02 8.728842e+00 1.001659e+00 9.900514e+03 1.574982e+00 -4.736125e-03 2.165318e-03
8.685009e-01 1.500000e+01 4.000000e+00 8.002907e-02 8.707633e+00 1.001764e+00 9.694030e+03 1.542377e+00 1.205802e-03 2.147675e-03
8.690009e-01 1.500000e+01 4.000000e+00 7.253247e-02 8.686402e+00 9.942438e-01 9.749288e+03 1.551204e+00 1.189590e-03 2.146721e-03
8.695009e-01 1.500000e+01 4.000000e+00 6.635951e-02 8.665068e+00 1.006969e+00 9.562141e+03 1.521521e+00 -4.091799e-03 2.156138e-03
8.700010e-01 1.500000e+01 4.000000e+00 6.102031e-02 8.643984e+00 9.978914e-01 9.531352e+03 1.516720e+00 4.749894e-03 2.165914e-03
8.705010e-01 1.500000e+01 4.000000e+00 5.685921e-02 8.623554e+00 9.868245e-01 9.587710e+03 1.525778e+00 -3.311455e-03 2.160192e-03
8.710010e-01 1.500000e+01 4.000000e+00 5.321892e-02 8.602694e+00 1.008971e+00 9.647153e+03 1.535269e+00 -3.924191e-03 2.148747e-03
8.715010e-01 1.500000e+01 4.000000e+00 5.122164e-02 8.583134e+00 9.874408e-01 9.647653e+03 1.535363e+00 6.446242e-03 2.171397e-03
8.720011e-01 1.500000e+01 4.000000e+00 4.979733e-02 8.564975e+00 9.821732e-01 9.546513e+03 1.519282e+00 -4.856288e-03 2.178073e-03
8.725011e-01 1.500000e+01 4.000000e+00 4.915191e-02 8.547877e+00 1.011144e+00 9.773646e+03 1.555404e+00 -5.430341e-03 2.214074e-03
8.730011e-01 1.500000e+01 4.000000e+00 4.876454e-02 8.531204e+00 1.000177e+00 9.821659e+03 1.563053e+00 1.410961e-03 2.218723e-03
8.735011e-01 1.500000e+01 4.000000e+00 4.960964e-02 8.517714e+00 9.931660e-01 9.826388e+03 1.563814e+00 8.587241e-03 2.215028e-03
8.740011e-01 1.500000e+01 4.000000e+00 4.959296e-02 8.504897e+00 1.004320e+00 9.925669e+03 1.579697e+00 -1.060921e-02 2.233505e-03
8.745012e-01 1.500000e+01 4.000000e+00 5.029369e-02 8.493938e+00 1.005077e+00 9.857279e+03 1.568764e+00 4.373431e-03 2.245665e-03
8.750012e-01 1.500000e+01 4.000000e+00 5.099330e-02 8.484265e+00 1.002210e+00 9.886039e+03 1.573374e+00 1.921296e-03 2.304077e-03
8.755012e-01 1.500000e+01 4.000000e+00 5.161611e-02 8.476107e+00 1.015558e+00 9.972786e+03 1.587201e+00 -1.063466e-02 2.294540e-03
8.760012e-01 1.500000e+01 4.000000e+00 5.234024e-02 8.469256e+00 9.983863e-01 9.893703e+03 1.574556e+00 5.525470e-03 2.300620e-03
8.765013e-01 1.500000e+01 4.000000e+00 5.224084e-02 8.463066e+00 9.944395e-01 9.953371e+03 1.584072e+00 -3.119469e-03 2.324462e-03
8.770013e-01 1.500000e+01 4.000000e+00 5.173928e-02 8.458034e+00 9.968332e-01 9.825269e+03 1.563666e+00 6.132245e-03 2.351284e-03
