#./munderdamped_3d --dev=2 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=4096 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:1.0:100:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f_0.0_1.0-D0.001-m1.0-a15.0-w4.0.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
3.599999e-01 1.500000e+01 4.000000e+00 5.513730e-01 7.815137e+00 9.377749e-01 1.448522e+04 2.304364e+00 8.125305e-04 1.750624e-02
3.699999e-01 1.500000e+01 4.000000e+00 5.611883e-01 7.841640e+00 9.401999e-01 1.556109e+04 2.474621e+00 3.451049e-02 1.697135e-02
3.799999e-01 1.500000e+01 4.000000e+00 5.722128e-01 7.868749e+00 9.529758e-01 1.537291e+04 2.446251e+00 -2.039945e-02 1.770115e-02
3.899999e-01 1.500000e+01 4.000000e+00 5.805347e-01 7.889201e+00 9.698622e-01 1.473621e+04 2.345227e+00 2.829945e-02 1.755702e-02
3.999999e-01 1.500000e+01 4.000000e+00 5.921522e-01 7.921931e+00 9.399621e-01 1.512100e+04 2.406224e+00 4.992568e-02 1.779771e-02
4.099999e-01 1.500000e+01 4.000000e+00 6.030213e-01 7.953169e+00 9.679891e-01 1.547649e+04 2.462564e+00 4.496980e-02 1.779342e-02
4.199999e-01 1.500000e+01 4.000000e+00 6.129041e-01 7.981321e+00 1.038982e+00 1.527141e+04 2.429779e+00 -2.231652e-02 1.866961e-02
4.299999e-01 1.500000e+01 4.000000e+00 6.243329e-01 8.013562e+00 9.888214e-01 1.494215e+04 2.378610e+00 -1.412618e-02 1.768959e-02
4.399998e-01 1.500000e+01 4.000000e+00 6.352997e-01 8.047023e+00 9.995000e-01 1.438542e+04 2.288568e+00 1.665819e-02 1.674998e-02
4.499998e-01 1.500000e+01 4.000000e+00 6.454059e-01 8.079333e+00 1.000442e+00 1.496155e+04 2.382271e+00 1.176894e-02 1.682401e-02
4.599998e-01 1.500000e+01 4.000000e+00 6.531976e-01 8.104685e+00 9.836268e-01 1.440309e+04 2.289842e+00 6.463885e-03 1.594734e-02
4.699998e-01 1.500000e+01 4.000000e+00 6.610700e-01 8.134998e+00 9.807255e-01 1.428036e+04 2.271857e+00 -1.641273e-03 1.576769e-02
4.799998e-01 1.500000e+01 4.000000e+00 6.702595e-01 8.166610e+00 1.026982e+00 1.382786e+04 2.199840e+00 2.730894e-02 1.543772e-02
4.899998e-01 1.500000e+01 4.000000e+00 6.785191e-01 8.202420e+00 9.974065e-01 1.406793e+04 2.238514e+00 3.308964e-02 1.505005e-02
4.999998e-01 1.500000e+01 4.000000e+00 6.875464e-01 8.239408e+00 9.738194e-01 1.379269e+04 2.193553e+00 -8.360624e-03 1.407790e-02
5.099998e-01 1.500000e+01 4.000000e+00 6.967385e-01 8.278668e+00 9.686158e-01 1.377189e+04 2.195144e+00 3.878808e-02 1.416397e-02
5.199998e-01 1.500000e+01 4.000000e+00 7.078247e-01 8.330823e+00 1.006620e+00 1.358361e+04 2.163393e+00 2.800786e-02 1.443732e-02
5.299998e-01 1.500000e+01 4.000000e+00 7.168323e-01 8.382794e+00 1.053099e+00 1.339192e+04 2.130846e+00 1.975608e-02 1.396024e-02
5.399998e-01 1.500000e+01 4.000000e+00 7.269441e-01 8.446370e+00 9.768432e-01 1.341222e+04 2.134984e+00 7.264435e-02 1.309180e-02
5.499998e-01 1.500000e+01 4.000000e+00 7.340639e-01 8.519314e+00 9.850958e-01 1.252414e+04 1.992461e+00 2.831662e-02 1.373601e-02
5.599998e-01 1.500000e+01 4.000000e+00 7.413175e-01 8.606485e+00 1.025205e+00 1.165115e+04 1.852006e+00 8.567095e-03 1.389456e-02
5.699998e-01 1.500000e+01 4.000000e+00 7.459674e-01 8.709377e+00 9.072385e-01 1.071990e+04 1.707971e+00 -7.903099e-03 1.375699e-02
5.799997e-01 1.500000e+01 4.000000e+00 7.478716e-01 8.827394e+00 9.378081e-01 1.049375e+04 1.668023e+00 3.744376e-02 1.496387e-02
5.899997e-01 1.500000e+01 4.000000e+00 7.473846e-01 8.971080e+00 9.968485e-01 9.984418e+03 1.588207e+00 3.386259e-02 1.638532e-02
5.999997e-01 1.500000e+01 4.000000e+00 7.432827e-01 9.128082e+00 1.052054e+00 9.008193e+03 1.434623e+00 2.216721e-02 1.871085e-02
6.099997e-01 1.500000e+01 4.000000e+00 7.370834e-01 9.296731e+00 1.031967e+00 8.254726e+03 1.311596e+00 -7.647753e-03 2.164066e-02
6.199997e-01 1.500000e+01 4.000000e+00 7.292108e-01 9.439638e+00 1.000220e+00 7.657936e+03 1.222549e+00 9.981072e-02 2.290618e-02
6.299997e-01 1.500000e+01 4.000000e+00 7.271923e-01 9.525239e+00 1.023105e+00 7.762427e+03 1.236713e+00 -8.832812e-03 2.561593e-02
6.399997e-01 1.500000e+01 4.000000e+00 7.366774e-01 9.514705e+00 9.987246e-01 8.319572e+03 1.325044e+00 5.595315e-02 2.511597e-02
6.499997e-01 1.500000e+01 4.000000e+00 7.565154e-01 9.429427e+00 9.984206e-01 8.894447e+03 1.418389e+00 5.900824e-02 2.338636e-02
6.599997e-01 1.500000e+01 4.000000e+00 7.838935e-01 9.325440e+00 9.875429e-01 9.463903e+03 1.503059e+00 3.040659e-02 1.919591e-02
6.699997e-01 1.500000e+01 4.000000e+00 8.115669e-01 9.217170e+00 1.014180e+00 1.036361e+04 1.651073e+00 2.168655e-03 1.663566e-02
6.799996e-01 1.500000e+01 4.000000e+00 8.424068e-01 9.127272e+00 9.983784e-01 1.073269e+04 1.711473e+00 1.149118e-02 1.445103e-02
6.899996e-01 1.500000e+01 4.000000e+00 8.689286e-01 9.053372e+00 1.017563e+00 1.134033e+04 1.807045e+00 5.396199e-02 1.205039e-02
6.999996e-01 1.500000e+01 4.000000e+00 8.936885e-01 8.987308e+00 1.016360e+00 1.124878e+04 1.789061e+00 2.163732e-02 1.064563e-02
7.099996e-01 1.500000e+01 4.000000e+00 9.155241e-01 8.933659e+00 9.901164e-01 1.092806e+04 1.738847e+00 4.449582e-02 9.212852e-03
