#./munderdamped_3d --dev=2 --amp=50.0 --omega=0.2 --force=0.1 --mass=149.0 --Dg=0.01 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=2000 --spp=2000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:147:149:100:0 --domainy=a:50.0:50.0:1:0 --domainz=w:0.2:0.2:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.01-m_147_149-a50.0-w0.2.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.477001e+02 5.000000e+01 2.000000e-01 8.670095e-02 1.447971e+00 7.875472e-01 3.823232e+05 3.040464e+00 -3.253222e-03 1.525450e-02
1.477202e+02 5.000000e+01 2.000000e-01 8.663036e-02 1.447555e+00 7.911977e-01 3.788614e+05 3.015668e+00 1.505017e-03 1.507187e-02
1.477402e+02 5.000000e+01 2.000000e-01 8.668824e-02 1.447108e+00 7.925571e-01 3.807562e+05 3.034448e+00 -1.558584e-02 1.494670e-02
1.477602e+02 5.000000e+01 2.000000e-01 8.694726e-02 1.446754e+00 7.806531e-01 3.756614e+05 2.988007e+00 -7.592618e-03 1.482463e-02
1.477802e+02 5.000000e+01 2.000000e-01 8.709506e-02 1.446351e+00 7.916521e-01 3.760173e+05 2.992733e+00 -1.855433e-03 1.486015e-02
1.478002e+02 5.000000e+01 2.000000e-01 8.709235e-02 1.445922e+00 8.003104e-01 3.748007e+05 2.983184e+00 1.781225e-03 1.486158e-02
1.478202e+02 5.000000e+01 2.000000e-01 8.730207e-02 1.445521e+00 7.914523e-01 3.709504e+05 2.951258e+00 -8.364141e-03 1.461458e-02
1.478402e+02 5.000000e+01 2.000000e-01 8.746051e-02 1.445131e+00 7.862684e-01 3.685647e+05 2.931347e+00 2.577662e-03 1.464498e-02
1.478602e+02 5.000000e+01 2.000000e-01 8.763240e-02 1.444724e+00 7.962496e-01 3.664158e+05 2.917103e+00 -5.818307e-03 1.438618e-02
1.478802e+02 5.000000e+01 2.000000e-01 8.777199e-02 1.444336e+00 7.835795e-01 3.604422e+05 2.868784e+00 -6.518781e-03 1.439595e-02
1.479002e+02 5.000000e+01 2.000000e-01 8.787322e-02 1.443932e+00 7.911908e-01 3.607564e+05 2.871282e+00 -1.094985e-02 1.425731e-02
1.479202e+02 5.000000e+01 2.000000e-01 8.799524e-02 1.443533e+00 7.874093e-01 3.608810e+05 2.873542e+00 -8.803785e-03 1.429272e-02
1.479402e+02 5.000000e+01 2.000000e-01 8.808313e-02 1.443115e+00 7.885142e-01 3.570092e+05 2.841457e+00 -8.503377e-03 1.419365e-02
1.479602e+02 5.000000e+01 2.000000e-01 8.800800e-02 1.442653e+00 7.963050e-01 3.530946e+05 2.808225e+00 -9.589374e-03 1.397729e-02
1.479802e+02 5.000000e+01 2.000000e-01 8.812116e-02 1.442259e+00 7.834877e-01 3.509812e+05 2.790591e+00 -4.634261e-03 1.380694e-02
1.480002e+02 5.000000e+01 2.000000e-01 8.811673e-02 1.441810e+00 7.810905e-01 3.482243e+05 2.770474e+00 -7.267177e-03 1.379192e-02
1.480202e+02 5.000000e+01 2.000000e-01 8.811098e-02 1.441382e+00 7.952995e-01 3.453439e+05 2.749274e+00 -1.016438e-02 1.372254e-02
1.480402e+02 5.000000e+01 2.000000e-01 8.805232e-02 1.440916e+00 7.693003e-01 3.390018e+05 2.699968e+00 -5.484581e-03 1.369202e-02
1.480602e+02 5.000000e+01 2.000000e-01 8.800934e-02 1.440474e+00 7.783705e-01 3.385109e+05 2.693681e+00 -6.325781e-03 1.367819e-02
1.480802e+02 5.000000e+01 2.000000e-01 8.798338e-02 1.439995e+00 7.775416e-01 3.366316e+05 2.680074e+00 -8.094490e-03 1.361787e-02
1.481002e+02 5.000000e+01 2.000000e-01 8.780254e-02 1.439514e+00 7.593725e-01 3.346010e+05 2.660864e+00 -8.616269e-03 1.361358e-02
1.481202e+02 5.000000e+01 2.000000e-01 8.771297e-02 1.439019e+00 7.643834e-01 3.256120e+05 2.590199e+00 -1.075441e-02 1.355529e-02
1.481402e+02 5.000000e+01 2.000000e-01 8.769084e-02 1.438570e+00 7.653583e-01 3.266764e+05 2.600337e+00 2.373576e-03 1.350081e-02
1.481602e+02 5.000000e+01 2.000000e-01 8.767193e-02 1.438112e+00 7.707787e-01 3.240150e+05 2.580092e+00 -2.581954e-03 1.353955e-02
1.481803e+02 5.000000e+01 2.000000e-01 8.766854e-02 1.437672e+00 7.708058e-01 3.249722e+05 2.584628e+00 8.808374e-04 1.361001e-02
1.482003e+02 5.000000e+01 2.000000e-01 8.759018e-02 1.437185e+00 7.634108e-01 3.223423e+05 2.568538e+00 4.262209e-03 1.344335e-02
1.482203e+02 5.000000e+01 2.000000e-01 8.767901e-02 1.436769e+00 7.694239e-01 3.186836e+05 2.536898e+00 -2.238512e-03 1.361668e-02
1.482403e+02 5.000000e+01 2.000000e-01 8.765671e-02 1.436354e+00 7.592406e-01 3.138939e+05 2.497316e+00 1.669765e-03 1.342583e-02
1.482603e+02 5.000000e+01 2.000000e-01 8.775622e-02 1.435966e+00 7.747136e-01 3.162543e+05 2.514759e+00 -1.747662e-02 1.346183e-02
1.482803e+02 5.000000e+01 2.000000e-01 8.791304e-02 1.435583e+00 7.625050e-01 3.152220e+05 2.507215e+00 -7.891655e-05 1.357090e-02
1.483003e+02 5.000000e+01 2.000000e-01 8.806078e-02 1.435230e+00 7.692320e-01 3.137412e+05 2.496441e+00 -7.802725e-03 1.343203e-02
1.483203e+02 5.000000e+01 2.000000e-01 8.824313e-02 1.434880e+00 7.549214e-01 3.091403e+05 2.459644e+00 -2.463937e-03 1.335835e-02
1.483403e+02 5.000000e+01 2.000000e-01 8.843590e-02 1.434553e+00 7.744353e-01 3.115177e+05 2.483788e+00 -6.240487e-03 1.351070e-02
1.483603e+02 5.000000e+01 2.000000e-01 8.863328e-02 1.434228e+00 7.651865e-01 3.074090e+05 2.447134e+00 -1.491779e-02 1.340127e-02
1.483803e+02 5.000000e+01 2.000000e-01 8.881450e-02 1.433913e+00 7.644427e-01 3.050681e+05 2.430248e+00 -1.522553e-02 1.343644e-02
1.484003e+02 5.000000e+01 2.000000e-01 8.928093e-02 1.433650e+00 7.504850e-01 3.026075e+05 2.409478e+00 -1.278466e-02 1.319218e-02
1.484203e+02 5.000000e+01 2.000000e-01 8.947896e-02 1.433364e+00 7.463992e-01 2.995766e+05 2.383059e+00 1.944184e-03 1.311135e-02
1.484403e+02 5.000000e+01 2.000000e-01 8.980235e-02 1.433090e+00 7.414618e-01 3.016194e+05 2.400868e+00 -8.796155e-03 1.315212e-02
1.484603e+02 5.000000e+01 2.000000e-01 9.017882e-02 1.432813e+00 7.419646e-01 2.971973e+05 2.362464e+00 -6.157160e-05 1.304340e-02
1.484803e+02 5.000000e+01 2.000000e-01 9.063207e-02 1.432602e+00 7.481276e-01 2.991489e+05 2.381053e+00 -1.411152e-02 1.300848e-02
1.485003e+02 5.000000e+01 2.000000e-01 9.114341e-02 1.432399e+00 7.464764e-01 2.969994e+05 2.362209e+00 -1.443565e-03 1.296020e-02
1.485203e+02 5.000000e+01 2.000000e-01 9.162667e-02 1.432185e+00 7.410044e-01 2.972810e+05 2.362496e+00 -1.130909e-02 1.290989e-02
1.485403e+02 5.000000e+01 2.000000e-01 9.218133e-02 1.432003e+00 7.464422e-01 2.918438e+05 2.322484e+00 -7.078230e-03 1.285362e-02
1.485603e+02 5.000000e+01 2.000000e-01 9.265351e-02 1.431825e+00 7.499251e-01 2.938179e+05 2.336967e+00 -6.542683e-03 1.283693e-02
1.485803e+02 5.000000e+01 2.000000e-01 9.342099e-02 1.431675e+00 7.501595e-01 2.931895e+05 2.336522e+00 -8.761048e-03 1.264298e-02
1.486003e+02 5.000000e+01 2.000000e-01 9.401845e-02 1.431531e+00 7.411888e-01 2.914649e+05 2.321020e+00 -4.913509e-03 1.269090e-02
1.486203e+02 5.000000e+01 2.000000e-01 9.465650e-02 1.431365e+00 7.535775e-01 2.928009e+05 2.330379e+00 -3.027737e-03 1.271152e-02
1.486404e+02 5.000000e+01 2.000000e-01 9.528370e-02 1.431224e+00 7.411764e-01 2.890118e+05 2.299566e+00 -2.176023e-02 1.264143e-02
1.486604e+02 5.000000e+01 2.000000e-01 9.592417e-02 1.431062e+00 7.397416e-01 2.858627e+05 2.277125e+00 -9.766519e-03 1.253951e-02
1.486804e+02 5.000000e+01 2.000000e-01 9.644685e-02 1.430870e+00 7.561860e-01 2.894292e+05 2.302081e+00 -8.515120e-03 1.263952e-02
1.487004e+02 5.000000e+01 2.000000e-01 9.714331e-02 1.430719e+00 7.444263e-01 2.871439e+05 2.287375e+00 -3.641546e-03 1.254642e-02
1.487204e+02 5.000000e+01 2.000000e-01 9.763315e-02 1.430504e+00 7.344490e-01 2.843554e+05 2.262515e+00 -4.293859e-03 1.244855e-02
1.487404e+02 5.000000e+01 2.000000e-01 9.825525e-02 1.430333e+00 7.331440e-01 2.837222e+05 2.259586e+00 -1.683772e-02 1.225948e-02
1.487604e+02 5.000000e+01 2.000000e-01 9.865677e-02 1.430083e+00 7.361735e-01 2.828615e+05 2.246472e+00 -6.297827e-03 1.234376e-02
1.487804e+02 5.000000e+01 2.000000e-01 9.910410e-02 1.429818e+00 7.372003e-01 2.819983e+05 2.242684e+00 -1.048547e-02 1.216292e-02
1.488004e+02 5.000000e+01 2.000000e-01 9.947949e-02 1.429538e+00 7.297310e-01 2.805599e+05 2.236477e+00 -3.029227e-03 1.212847e-02
1.488204e+02 5.000000e+01 2.000000e-01 9.980161e-02 1.429251e+00 7.443464e-01 2.818889e+05 2.243894e+00 -1.219440e-02 1.222610e-02
1.488404e+02 5.000000e+01 2.000000e-01 1.000126e-01 1.428918e+00 7.440889e-01 2.779244e+05 2.211458e+00 3.655672e-03 1.206708e-02
1.488604e+02 5.000000e+01 2.000000e-01 1.002546e-01 1.428604e+00 7.387902e-01 2.762348e+05 2.199903e+00 -5.431235e-03 1.215208e-02
1.488804e+02 5.000000e+01 2.000000e-01 1.004362e-01 1.428251e+00 7.379495e-01 2.750420e+05 2.187616e+00 -3.339469e-03 1.185560e-02
1.489004e+02 5.000000e+01 2.000000e-01 1.005338e-01 1.427883e+00 7.283793e-01 2.745401e+05 2.190513e+00 -7.208645e-03 1.194739e-02
1.489204e+02 5.000000e+01 2.000000e-01 1.007542e-01 1.427562e+00 7.387629e-01 2.753738e+05 2.190640e+00 -9.146214e-03 1.200211e-02
1.489404e+02 5.000000e+01 2.000000e-01 1.009013e-01 1.427199e+00 7.346663e-01 2.700223e+05 2.149260e+00 -5.056977e-03 1.190102e-02
1.489604e+02 5.000000e+01 2.000000e-01 1.009990e-01 1.426861e+00 7.308224e-01 2.701248e+05 2.145918e+00 -1.804280e-02 1.171625e-02
1.489804e+02 5.000000e+01 2.000000e-01 1.011683e-01 1.426558e+00 7.289516e-01 2.704495e+05 2.145472e+00 3.355742e-04 1.182246e-02

