-5.000000, 1.705960e-03
-4.994000, 1.796647e-03
-4.988000, 1.887249e-03
-4.982000, 1.977593e-03
-4.976000, 2.067488e-03
-4.970000, 2.156729e-03
-4.964000, 2.245097e-03
-4.958000, 2.332356e-03
-4.952000, 2.418251e-03
-4.946000, 2.502561e-03
-4.940000, 2.584989e-03
-4.934000, 2.665206e-03
-4.928000, 2.742901e-03
-4.922000, 2.817750e-03
-4.916000, 2.889417e-03
-4.910000, 2.957554e-03
-4.904000, 3.021811e-03
-4.898000, 3.081831e-03
-4.892000, 3.137254e-03
-4.886000, 3.187724e-03
-4.880000, 3.232889e-03
-4.874000, 3.272406e-03
-4.868000, 3.305946e-03
-4.862000, 3.333197e-03
-4.856000, 3.353867e-03
-4.850000, 3.367694e-03
-4.844000, 3.374443e-03
-4.838000, 3.373916e-03
-4.832000, 3.365950e-03
-4.826000, 3.350453e-03
-4.820000, 3.327343e-03
-4.814000, 3.296576e-03
-4.808000, 3.258176e-03
-4.802000, 3.212212e-03
-4.796000, 3.158808e-03
-4.790000, 3.098136e-03
-4.784000, 3.030418e-03
-4.778000, 2.955922e-03
-4.772000, 2.874961e-03
-4.766000, 2.787890e-03
-4.760000, 2.695096e-03
-4.754000, 2.597004e-03
-4.748000, 2.494063e-03
-4.742000, 2.386744e-03
-4.736000, 2.275567e-03
-4.730000, 2.161084e-03
-4.724000, 2.043716e-03
-4.718000, 1.923971e-03
-4.712000, 1.802354e-03
-4.706000, 1.679363e-03
-4.700000, 1.555487e-03
-4.694000, 1.431199e-03
-4.688000, 1.307032e-03
-4.682000, 1.183349e-03
-4.676000, 1.060570e-03
-4.670000, 9.391671e-04
-4.664000, 8.195779e-04
-4.658000, 7.020759e-04
-4.652000, 5.870734e-04
-4.646000, 4.750880e-04
-4.640000, 3.665194e-04
-4.634000, 2.620890e-04
-4.628000, 1.631897e-04
-4.622000, 8.054972e-05
-4.616000, 1.290714e-04
-4.610000, 2.162008e-04
-4.604000, 3.079895e-04
-4.598000, 3.993317e-04
-4.592000, 4.884870e-04
-4.586000, 5.748224e-04
-4.580000, 6.580492e-04
-4.574000, 7.381277e-04
-4.568000, 8.148968e-04
-4.562000, 8.883617e-04
-4.556000, 9.584819e-04
-4.550000, 1.025397e-03
-4.544000, 1.089036e-03
-4.538000, 1.149418e-03
-4.532000, 1.206588e-03
-4.526000, 1.260613e-03
-4.520000, 1.311547e-03
-4.514000, 1.359419e-03
-4.508000, 1.404282e-03
-4.502000, 1.446195e-03
-4.496000, 1.485214e-03
-4.490000, 1.521399e-03
-4.484000, 1.554808e-03
-4.478000, 1.585500e-03
-4.472000, 1.613534e-03
-4.466000, 1.639015e-03
-4.460000, 1.661958e-03
-4.454000, 1.682413e-03
-4.448000, 1.700434e-03
-4.442000, 1.716075e-03
-4.436000, 1.729389e-03
-4.430000, 1.740427e-03
-4.424000, 1.749238e-03
-4.418000, 1.755870e-03
-4.412000, 1.760368e-03
-4.406000, 1.762779e-03
-4.400000, 1.763145e-03
-4.394000, 1.761507e-03
-4.388000, 1.757905e-03
-4.382000, 1.752377e-03
-4.376000, 1.744959e-03
-4.370000, 1.735687e-03
-4.364000, 1.724593e-03
-4.358000, 1.711708e-03
-4.352000, 1.697079e-03
-4.346000, 1.680723e-03
-4.340000, 1.662662e-03
-4.334000, 1.642923e-03
-4.328000, 1.621529e-03
-4.322000, 1.598503e-03
-4.316000, 1.573867e-03
-4.310000, 1.547643e-03
-4.304000, 1.519848e-03
-4.298000, 1.490504e-03
-4.292000, 1.459627e-03
-4.286000, 1.427236e-03
-4.280000, 1.393348e-03
-4.274000, 1.357979e-03
-4.268000, 1.321146e-03
-4.262000, 1.282863e-03
-4.256000, 1.243147e-03
-4.250000, 1.202041e-03
-4.244000, 1.159558e-03
-4.238000, 1.115688e-03
-4.232000, 1.070446e-03
-4.226000, 1.023851e-03
-4.220000, 9.759167e-04
-4.214000, 9.266640e-04
-4.208000, 8.761102e-04
-4.202000, 8.242864e-04
-4.196000, 7.712365e-04
-4.190000, 7.169537e-04
-4.184000, 6.614657e-04
-4.178000, 6.048297e-04
-4.172000, 5.471525e-04
-4.166000, 4.883846e-04
-4.160000, 4.286481e-04
-4.154000, 3.680106e-04
-4.148000, 3.066521e-04
-4.142000, 2.447343e-04
-4.136000, 1.826487e-04
-4.130000, 1.212135e-04
-4.124000, 6.591046e-05
-4.118000, 8.776964e-05
-4.112000, 1.492328e-04
-4.106000, 2.185088e-04
-4.100000, 2.917717e-04
