#m=1, g=1, tau=10^linspace(-3,1,401), M=16, N=1, alpha=3, t = 10^linspace(-6, 2, 1001), b=10, t0=0.01
#tau white_noise eff_mass Markovian_emb
9.332543e-03 6.798959e-03 4.909837e-04 3.585376e-04
9.549926e-03 6.955884e-03 5.109601e-04 3.725837e-04
9.772372e-03 7.116398e-03 5.317359e-04 3.871586e-04
1.000000e-02 7.280582e-03 5.533386e-04 4.022889e-04
1.023293e-02 7.448518e-03 5.758093e-04 4.179944e-04
1.047129e-02 7.620289e-03 5.991932e-04 4.342862e-04
1.071519e-02 7.795983e-03 6.235065e-04 4.512251e-04
1.096478e-02 7.975686e-03 6.487851e-04 4.687982e-04
1.122018e-02 8.159489e-03 6.750827e-04 4.870340e-04
1.148154e-02 8.347483e-03 7.024238e-04 5.059619e-04
1.174898e-02 8.539761e-03 7.308480e-04 5.255912e-04
1.202264e-02 8.736419e-03 7.604365e-04 5.459937e-04
1.230269e-02 8.937556e-03 7.912128e-04 5.671590e-04
1.258925e-02 9.143269e-03 8.232073e-04 5.891360e-04
1.288250e-02 9.353662e-03 8.564738e-04 6.119459e-04
1.318257e-02 9.568838e-03 8.910712e-04 6.355955e-04
1.348963e-02 9.788903e-03 9.270350e-04 6.601764e-04
1.380384e-02 1.001397e-02 9.644183e-04 6.856695e-04
1.412538e-02 1.024414e-02 1.003329e-03 7.121140e-04
1.445440e-02 1.047973e-02 1.043774e-03 7.395495e-04
1.479108e-02 1.072074e-02 1.085813e-03 7.679867e-04
1.513561e-02 1.096722e-02 1.129530e-03 7.975509e-04
1.548817e-02 1.121929e-02 1.174974e-03 8.281930e-04
1.584893e-02 1.147708e-02 1.222205e-03 8.599788e-04
1.621810e-02 1.174071e-02 1.271327e-03 8.929547e-04
1.659587e-02 1.201032e-02 1.322416e-03 9.271510e-04
1.698244e-02 1.228603e-02 1.375510e-03 9.626760e-04
1.737801e-02 1.256797e-02 1.430697e-03 9.994850e-04
1.778279e-02 1.285629e-02 1.488079e-03 1.037676e-03
1.819701e-02 1.315113e-02 1.547723e-03 1.077251e-03
1.862087e-02 1.345262e-02 1.609709e-03 1.118321e-03
1.905461e-02 1.376092e-02 1.674214e-03 1.160936e-03
1.949845e-02 1.407617e-02 1.741242e-03 1.205093e-03
1.995262e-02 1.439852e-02 1.810890e-03 1.250891e-03
2.041738e-02 1.472813e-02 1.883309e-03 1.298348e-03
2.089296e-02 1.506516e-02 1.958562e-03 1.347694e-03
2.137962e-02 1.540985e-02 2.036750e-03 1.398810e-03
2.187762e-02 1.576246e-02 2.118079e-03 1.451808e-03
2.238721e-02 1.612301e-02 2.202619e-03 1.506718e-03
2.290868e-02 1.649165e-02 2.290451e-03 1.563662e-03
2.344229e-02 1.686856e-02 2.381745e-03 1.622751e-03
2.398833e-02 1.725393e-02 2.476625e-03 1.683946e-03
2.454709e-02 1.764793e-02 2.575192e-03 1.747392e-03
2.511886e-02 1.805075e-02 2.677662e-03 1.813061e-03
2.570396e-02 1.846259e-02 2.784218e-03 1.881343e-03
2.630268e-02 1.888363e-02 2.894911e-03 1.952024e-03
2.691535e-02 1.931407e-02 3.009956e-03 2.025300e-03
2.754229e-02 1.975412e-02 3.129579e-03 2.101148e-03
2.818383e-02 2.020398e-02 3.253841e-03 2.179866e-03
2.884032e-02 2.066385e-02 3.382963e-03 2.261426e-03
2.951209e-02 2.113426e-02 3.517280e-03 2.345908e-03
3.019952e-02 2.161572e-02 3.656802e-03 2.433387e-03
3.090295e-02 2.210791e-02 3.801739e-03 2.524057e-03
3.162278e-02 2.261105e-02 3.952405e-03 2.618135e-03
3.235937e-02 2.312539e-02 4.108898e-03 2.715603e-03
3.311311e-02 2.365114e-02 4.271447e-03 2.816557e-03
3.388442e-02 2.418857e-02 4.440583e-03 2.921096e-03
3.467369e-02 2.473790e-02 4.616255e-03 3.029586e-03
3.548134e-02 2.529940e-02 4.798708e-03 3.141817e-03
3.630781e-02 2.587332e-02 4.988380e-03 3.258070e-03
