#./munderdamped_3d --dev=0 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.907 --Dg=0.0001 --block=1024 --paths=65536 --periods=20000 --trans=18000 --samples=1000 --spp=1000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:0.1:100:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> data/faw-D0.0001-m0.907-a12.2-w5.775-f_0.0_0.1-spp1000.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
3.500000e-02 1.220000e+01 5.775000e+00 5.053415e-01 4.603683e+00 9.949722e-01 4.781471e+05 1.098863e+01 -2.323151e-03 2.487302e-03
3.599999e-02 1.220000e+01 5.775000e+00 5.235439e-01 4.605319e+00 1.012283e+00 4.630528e+05 1.061951e+01 -1.651567e-02 2.524257e-03
3.699999e-02 1.220000e+01 5.775000e+00 5.405465e-01 4.607051e+00 9.828951e-01 4.625777e+05 1.057208e+01 8.065701e-04 2.533674e-03
3.799999e-02 1.220000e+01 5.775000e+00 5.582234e-01 4.608869e+00 9.960505e-01 4.480141e+05 1.024598e+01 -9.530187e-03 2.585411e-03
3.899999e-02 1.220000e+01 5.775000e+00 5.748494e-01 4.610734e+00 9.754300e-01 4.421292e+05 1.012870e+01 3.383875e-03 2.598643e-03
3.999999e-02 1.220000e+01 5.775000e+00 5.919415e-01 4.612782e+00 1.045156e+00 4.336789e+05 9.919508e+00 -3.800094e-03 2.611518e-03
4.099999e-02 1.220000e+01 5.775000e+00 6.089989e-01 4.614935e+00 9.724430e-01 4.179661e+05 9.570611e+00 2.196431e-03 2.583265e-03
4.199998e-02 1.220000e+01 5.775000e+00 6.252300e-01 4.617091e+00 1.009861e+00 4.076762e+05 9.336051e+00 7.860422e-03 2.608418e-03
4.299998e-02 1.220000e+01 5.775000e+00 6.400482e-01 4.619270e+00 1.019361e+00 3.936935e+05 8.956638e+00 -1.545846e-03 2.640486e-03
4.399998e-02 1.220000e+01 5.775000e+00 6.556108e-01 4.621622e+00 9.934462e-01 3.821260e+05 8.822447e+00 -3.024042e-03 2.676249e-03
4.499998e-02 1.220000e+01 5.775000e+00 6.713122e-01 4.624141e+00 1.017541e+00 3.643137e+05 8.346343e+00 -4.509866e-03 2.665162e-03
4.599998e-02 1.220000e+01 5.775000e+00 6.852539e-01 4.626637e+00 1.018787e+00 3.490816e+05 8.017666e+00 1.834714e-02 2.671003e-03
4.699998e-02 1.220000e+01 5.775000e+00 6.992391e-01 4.629251e+00 1.001680e+00 3.326226e+05 7.618400e+00 1.171565e-02 2.676010e-03
4.799997e-02 1.220000e+01 5.775000e+00 7.127369e-01 4.632070e+00 1.020919e+00 3.205528e+05 7.309576e+00 1.420629e-02 2.700210e-03
4.899997e-02 1.220000e+01 5.775000e+00 7.266840e-01 4.634881e+00 9.652808e-01 3.009732e+05 6.869869e+00 1.861537e-02 2.652168e-03
4.999997e-02 1.220000e+01 5.775000e+00 7.395787e-01 4.637942e+00 9.604260e-01 2.869885e+05 6.589721e+00 1.499093e-02 2.653360e-03
5.099997e-02 1.220000e+01 5.775000e+00 7.515103e-01 4.641028e+00 9.650965e-01 2.727119e+05 6.206264e+00 7.126927e-03 2.680302e-03
5.199997e-02 1.220000e+01 5.775000e+00 7.633027e-01 4.643957e+00 1.005218e+00 2.558820e+05 5.771337e+00 5.785823e-03 2.694488e-03
5.299997e-02 1.220000e+01 5.775000e+00 7.739810e-01 4.646984e+00 9.883876e-01 2.383679e+05 5.391189e+00 7.096529e-03 2.697349e-03
5.399996e-02 1.220000e+01 5.775000e+00 7.855164e-01 4.650070e+00 9.688041e-01 2.232316e+05 5.070600e+00 2.342963e-02 2.723336e-03
5.499996e-02 1.220000e+01 5.775000e+00 7.950309e-01 4.653083e+00 1.029947e+00 2.125615e+05 4.836040e+00 2.028108e-02 2.702355e-03
5.599996e-02 1.220000e+01 5.775000e+00 8.049747e-01 4.656267e+00 9.987817e-01 1.956375e+05 4.512510e+00 2.405393e-02 2.698064e-03
5.699996e-02 1.220000e+01 5.775000e+00 8.144764e-01 4.659564e+00 9.870275e-01 1.822726e+05 4.136039e+00 3.050733e-02 2.677679e-03
5.799996e-02 1.220000e+01 5.775000e+00 8.229805e-01 4.662981e+00 1.007306e+00 1.677122e+05 3.718391e+00 2.558935e-02 2.671123e-03
5.899996e-02 1.220000e+01 5.775000e+00 8.308992e-01 4.666476e+00 1.023579e+00 1.525698e+05 3.516185e+00 2.369034e-02 2.694488e-03
5.999995e-02 1.220000e+01 5.775000e+00 8.387119e-01 4.670327e+00 1.018341e+00 1.405498e+05 3.211037e+00 3.235960e-02 2.682209e-03
6.099995e-02 1.220000e+01 5.775000e+00 8.463747e-01 4.674101e+00 1.006366e+00 1.275967e+05 2.897801e+00 4.629731e-02 2.655864e-03
6.199995e-02 1.220000e+01 5.775000e+00 8.528659e-01 4.677712e+00 9.920900e-01 1.173949e+05 2.627212e+00 4.256880e-02 2.653241e-03
6.299995e-02 1.220000e+01 5.775000e+00 8.589607e-01 4.681137e+00 1.049269e+00 1.061077e+05 2.312505e+00 4.156065e-02 2.656102e-03
6.399995e-02 1.220000e+01 5.775000e+00 8.652021e-01 4.684588e+00 9.813831e-01 9.489060e+04 2.163240e+00 5.311370e-02 2.663612e-03
6.499995e-02 1.220000e+01 5.775000e+00 8.705729e-01 4.688170e+00 1.010240e+00 8.488348e+04 1.825740e+00 6.572449e-02 2.653003e-03
6.599995e-02 1.220000e+01 5.775000e+00 8.758034e-01 4.692170e+00 9.271843e-01 7.512088e+04 1.717651e+00 6.856513e-02 2.649307e-03
6.699996e-02 1.220000e+01 5.775000e+00 8.802118e-01 4.696123e+00 9.940327e-01 6.737457e+04 1.499268e+00 6.472635e-02 2.621531e-03
6.799996e-02 1.220000e+01 5.775000e+00 8.846000e-01 4.700212e+00 9.709232e-01 5.919150e+04 1.385297e+00 9.349513e-02 2.593637e-03
6.899996e-02 1.220000e+01 5.775000e+00 8.885840e-01 4.704667e+00 9.828911e-01 5.325046e+04 1.208826e+00 1.083066e-01 2.578735e-03
6.999996e-02 1.220000e+01 5.775000e+00 8.919660e-01 4.709366e+00 9.759955e-01 4.653540e+04 9.367669e-01 1.113827e-01 2.586842e-03
7.099997e-02 1.220000e+01 5.775000e+00 8.951174e-01 4.713595e+00 9.524035e-01 4.093553e+04 9.139727e-01 1.322806e-01 2.580762e-03
7.199997e-02 1.220000e+01 5.775000e+00 8.980404e-01 4.717052e+00 9.649841e-01 3.549773e+04 8.830903e-01 1.633651e-01 2.547264e-03
7.299997e-02 1.220000e+01 5.775000e+00 9.008332e-01 4.720873e+00 9.554157e-01 3.089815e+04 6.897075e-01 1.729378e-01 2.532959e-03
7.399997e-02 1.220000e+01 5.775000e+00 9.029435e-01 4.725645e+00 9.952502e-01 2.690067e+04 6.551486e-01 2.285969e-01 2.508879e-03
