#./munderdamped_3d --dev=1 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.8775 --Dg=0.0001 --block=1024 --paths=1048576 --periods=20000 --trans=18000 --samples=1000 --spp=1000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:0.01:100:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/faw-D0.0001-m0.8775-a12.2-w5.775-f_0.0_0.01-spp1000.dat
#./munderdamped_3d --dev=2 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.8775 --Dg=0.0001 --block=1024 --paths=1048576 --periods=20000 --trans=18000 --samples=1000 --spp=1000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.01:0.02:100:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/faw-D0.0001-m0.8775-a12.2-w5.775-f_0.01_0.02-spp1000.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
3.100000e-03 1.220000e+01 5.775000e+00 -1.804907e-01 5.235642e+00 1.267109e+00 1.333800e+08 3.063788e+03 -3.091980e-01 4.860044e-03
3.200000e-03 1.220000e+01 5.775000e+00 -1.857155e-01 5.235559e+00 1.262171e+00 1.328390e+08 3.055011e+03 -3.046287e-01 4.933476e-03
3.300000e-03 1.220000e+01 5.775000e+00 -1.918683e-01 5.235483e+00 1.260945e+00 1.327476e+08 3.049832e+03 -3.041325e-01 4.876494e-03
3.400000e-03 1.220000e+01 5.775000e+00 -1.976728e-01 5.235437e+00 1.256794e+00 1.323425e+08 3.041373e+03 -3.009077e-01 4.881144e-03
3.500000e-03 1.220000e+01 5.775000e+00 -2.032562e-01 5.235343e+00 1.262386e+00 1.317157e+08 3.027443e+03 -2.967643e-01 4.937053e-03
3.600000e-03 1.220000e+01 5.775000e+00 -2.075146e-01 5.235298e+00 1.267707e+00 1.312042e+08 3.014041e+03 -2.949073e-01 4.872799e-03
3.700000e-03 1.220000e+01 5.775000e+00 -2.152787e-01 5.235224e+00 1.238827e+00 1.306839e+08 3.005513e+03 -2.901936e-01 4.901052e-03
3.800001e-03 1.220000e+01 5.775000e+00 -2.185454e-01 5.235154e+00 1.263752e+00 1.304504e+08 2.997429e+03 -2.886617e-01 4.864097e-03
3.900001e-03 1.220000e+01 5.775000e+00 -2.246469e-01 5.235114e+00 1.257018e+00 1.300868e+08 2.989203e+03 -2.861608e-01 4.827261e-03
4.000001e-03 1.220000e+01 5.775000e+00 -2.312067e-01 5.235060e+00 1.239785e+00 1.297755e+08 2.983506e+03 -2.829649e-01 4.852414e-03
