8.570000e-01 -5.294826e-01
8.575000e-01 -4.324978e-01
8.580000e-01 -2.958597e-01
8.585001e-01 -1.797640e-01
8.590001e-01 -9.257156e-02
8.595001e-01 2.459594e-02
8.600001e-01 1.546991e-01
8.605002e-01 1.819626e-01
8.610002e-01 1.498823e-01
8.615002e-01 2.850529e-02
8.620002e-01 -8.707984e-02
8.625003e-01 -3.168648e-01
8.630003e-01 -5.238062e-01
8.635003e-01 -8.423477e-01
8.640003e-01 -1.274907e+00
8.645003e-01 -1.799842e+00
8.650004e-01 -2.323549e+00
8.655004e-01 -3.042856e+00
8.660004e-01 -3.828432e+00
8.665004e-01 -4.847940e+00
8.670005e-01 -5.913924e+00
8.675005e-01 -7.310266e+00
8.680005e-01 -8.957075e+00
8.685005e-01 -1.068312e+01
8.690006e-01 -1.292441e+01
8.695006e-01 -1.538241e+01
8.700006e-01 -1.801344e+01
8.705006e-01 -2.092848e+01
8.710006e-01 -2.432827e+01
8.715007e-01 -2.738310e+01
8.720007e-01 -3.047630e+01
8.725007e-01 -3.361816e+01
8.730007e-01 -3.658262e+01
8.735008e-01 -3.967411e+01
8.740008e-01 -4.206440e+01
8.745008e-01 -4.448687e+01
8.750008e-01 -4.686979e+01
8.755009e-01 -4.858096e+01
8.760009e-01 -5.034845e+01
8.765009e-01 -5.127634e+01
8.770009e-01 -5.232488e+01
8.775010e-01 -5.359325e+01
8.780010e-01 -5.138640e+01
8.785010e-01 -4.715468e+01
8.790010e-01 -4.120732e+01
8.795010e-01 -3.420050e+01
8.800011e-01 -2.484112e+01
8.805011e-01 -1.759687e+01
8.810011e-01 -1.182831e+01
8.815011e-01 -8.147169e+00
8.820000e-01 -5.232829e+00
8.825001e-01 -3.372396e+00
8.830001e-01 -2.273017e+00
8.835001e-01 -2.438970e+00
8.840001e-01 -1.444706e+00
8.845001e-01 -6.258651e-01
8.850002e-01 -7.476260e-01
8.855002e-01 -7.402861e-01
8.860002e-01 -8.001909e-01
8.865002e-01 -8.200730e-01
8.870003e-01 -6.624016e-01
8.875003e-01 3.245109e-01
8.880003e-01 -5.805818e-02
8.885003e-01 -2.195097e-01
8.890004e-01 -6.184359e-03
8.895004e-01 -7.667105e-02
8.900004e-01 7.940520e-01
8.905004e-01 1.289617e+00
8.910004e-01 3.077539e+00
8.915005e-01 6.094549e+00
8.920005e-01 1.049589e+01
8.925005e-01 1.827260e+01
8.930005e-01 2.994608e+01
8.935006e-01 4.652337e+01
8.940006e-01 6.550978e+01
8.945006e-01 7.971058e+01
8.950006e-01 8.727141e+01
8.955007e-01 8.778028e+01
8.960007e-01 8.564885e+01
8.965007e-01 8.346717e+01
8.970007e-01 7.942327e+01
8.975008e-01 7.577087e+01
8.980008e-01 7.183060e+01
8.985008e-01 6.700314e+01
8.990008e-01 6.237757e+01
8.995008e-01 5.771946e+01
9.000009e-01 5.295852e+01
9.005009e-01 4.788091e+01
9.010009e-01 4.332820e+01
9.015009e-01 3.913543e+01
9.020010e-01 3.506344e+01
9.025010e-01 3.116657e+01
9.030010e-01 2.765114e+01
9.035010e-01 2.442004e+01
9.040011e-01 2.168644e+01
9.045011e-01 1.906681e+01
9.050011e-01 1.683845e+01
9.055011e-01 1.473776e+01
9.060012e-01 1.302556e+01
9.065012e-01 1.143213e+01
