#m p_+ p_- v_I v_II v_III
3.622890e-02 7.335255e-02 1.028885e-11 1.651785e+02 3.300739e+02 5.006352e+02
3.825403e-02 7.069257e-02 5.352028e-13 1.590605e+02 3.149507e+02 4.763627e+02
4.039236e-02 6.803666e-02 1.824827e-14 1.532014e+02 3.005718e+02 4.533211e+02
4.265022e-02 6.538829e-02 4.292851e-16 1.475887e+02 2.868991e+02 4.314462e+02
4.503429e-02 6.275106e-02 8.038813e-18 1.422109e+02 2.738962e+02 4.106776e+02
4.755162e-02 6.012862e-02 9.113651e-20 1.370568e+02 2.615291e+02 3.909579e+02
5.020967e-02 5.752473e-02 9.426011e-22 1.321159e+02 2.497651e+02 3.722327e+02
5.301630e-02 5.494319e-02 4.098360e-24 1.273782e+02 2.385735e+02 3.544505e+02
5.597982e-02 5.238786e-02 1.624940e-26 1.228343e+02 2.279252e+02 3.375627e+02
5.910899e-02 4.986261e-02 2.926111e-29 1.184752e+02 2.177925e+02 3.215229e+02
6.241308e-02 4.737136e-02 3.586931e-32 1.142923e+02 2.081492e+02 3.062873e+02
6.590185e-02 4.491802e-02 2.149200e-35 1.102777e+02 1.989705e+02 2.918145e+02
6.958565e-02 4.250645e-02 1.060215e-38 1.064235e+02 1.902328e+02 2.780651e+02
7.347536e-02 4.014052e-02 1.159623e-42 1.027226e+02 1.819138e+02 2.650019e+02
7.758250e-02 3.782399e-02 1.198263e-46 9.916795e+01 1.739925e+02 2.525896e+02
8.191922e-02 3.556057e-02 5.056053e-51 9.575304e+01 1.664486e+02 2.407947e+02
8.649836e-02 3.335385e-02 8.373093e-56 9.247159e+01 1.592633e+02 2.295854e+02
9.133346e-02 3.120728e-02 1.222578e-60 8.931768e+01 1.524186e+02 2.189319e+02
9.643884e-02 2.912415e-02 1.161265e-66 8.628567e+01 1.458972e+02 2.088054e+02
1.018296e-01 2.710757e-02 3.351060e-72 8.337018e+01 1.396831e+02 1.991792e+02
1.075217e-01 2.516043e-02 1.873605e-78 8.056612e+01 1.337608e+02 1.900275e+02
1.135320e-01 2.328540e-02 2.385131e-85 7.786863e+01 1.281158e+02 1.813261e+02
1.198782e-01 2.148486e-02 8.790438e-93 7.527310e+01 1.227343e+02 1.730520e+02
1.265792e-01 1.976093e-02 1.126323e-100 7.277514e+01 1.176032e+02 1.651834e+02
1.336547e-01 1.811539e-02 8.420162e-109 7.037057e+01 1.127099e+02 1.576997e+02
1.411258e-01 1.654972e-02 5.347968e-118 6.805540e+01 1.080429e+02 1.505813e+02
1.490144e-01 1.506501e-02 1.691149e-127 6.582586e+01 1.035907e+02 1.438096e+02
1.573441e-01 1.366201e-02 1.697356e-138 6.367833e+01 9.934292e+01 1.373670e+02
1.661393e-01 1.234108e-02 6.070206e-149 6.160937e+01 9.528938e+01 1.312367e+02
1.754262e-01 1.110216e-02 7.924557e-161 5.961571e+01 9.142056e+01 1.254030e+02
1.852322e-01 9.944839e-03 1.115046e-173 5.769423e+01 8.772740e+01 1.198509e+02
1.955864e-01 8.868266e-03 5.028559e-187 5.584196e+01 8.420127e+01 1.145661e+02
2.065193e-01 7.871206e-03 2.171132e-201 5.405606e+01 8.083403e+01 1.095351e+02
2.180633e-01 6.952035e-03 2.530091e-217 5.233381e+01 7.761794e+01 1.047452e+02
2.302527e-01 6.108749e-03 6.494434e-234 5.067265e+01 7.454563e+01 1.001841e+02
2.431234e-01 5.338987e-03 4.219959e-251 4.907011e+01 7.161012e+01 9.584041e+01
2.567136e-01 4.640055e-03 4.889834e-270 4.752384e+01 6.880480e+01 9.170316e+01
2.710634e-01 4.008950e-03 8.436571e-290 4.603160e+01 6.612338e+01 8.776202e+01
2.862153e-01 3.442400e-03 4.394069e-312 4.459124e+01 6.355988e+01 8.400715e+01
3.022143e-01 2.936898e-03 0.000000e+00 4.320072e+01 6.110865e+01 8.042924e+01
3.191075e-01 2.488744e-03 0.000000e+00 4.185808e+01 5.876429e+01 7.701944e+01
3.369450e-01 2.094092e-03 0.000000e+00 4.056146e+01 5.652170e+01 7.376938e+01
3.557796e-01 1.748995e-03 0.000000e+00 3.930907e+01 5.437603e+01 7.067110e+01
3.756671e-01 1.449451e-03 0.000000e+00 3.809921e+01 5.232267e+01 6.771705e+01
3.966662e-01 1.191457e-03 0.000000e+00 3.693024e+01 5.035725e+01 6.490008e+01
4.188391e-01 9.710501e-04 0.000000e+00 3.580061e+01 4.847561e+01 6.221339e+01
4.422515e-01 7.843560e-04 0.000000e+00 3.470882e+01 4.667380e+01 5.965054e+01
4.669725e-01 6.276290e-04 0.000000e+00 3.365344e+01 4.494807e+01 5.720540e+01
4.930755e-01 4.972925e-04 0.000000e+00 3.263311e+01 4.329486e+01 5.487219e+01
5.206375e-01 3.899683e-04 0.000000e+00 3.164652e+01 4.171078e+01 5.264539e+01
5.497402e-01 3.025061e-04 0.000000e+00 3.069241e+01 4.019262e+01 5.051977e+01
5.804697e-01 2.320028e-04 0.000000e+00 2.976959e+01 3.873732e+01 4.849039e+01
6.129169e-01 1.758173e-04 0.000000e+00 2.887690e+01 3.734199e+01 4.655252e+01
6.471778e-01 1.315772e-04 0.000000e+00 2.801324e+01 3.600385e+01 4.470171e+01
6.833539e-01 9.718031e-05 0.000000e+00 2.717756e+01 3.472028e+01 4.293372e+01
7.215521e-01 7.078942e-05 0.000000e+00 2.636884e+01 3.348879e+01 4.124451e+01
7.618856e-01 5.082166e-05 0.000000e+00 2.558612e+01 3.230701e+01 3.963027e+01
8.044736e-01 3.593369e-05 0.000000e+00 2.482846e+01 3.117269e+01 3.808738e+01
8.494422e-01 2.500304e-05 0.000000e+00 2.409496e+01 3.008368e+01 3.661239e+01
8.969245e-01 1.710679e-05 0.000000e+00 2.338478e+01 2.903793e+01 3.520203e+01
9.470610e-01 1.149894e-05 0.000000e+00 2.269709e+01 2.803353e+01 3.385321e+01
1.000000e+00 7.586972e-06 0.000000e+00 2.203109e+01 2.706860e+01 3.256296e+01
