#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:-0.05:1.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
2.716420e+02 8.912509e-01 2.643095e+00 1.019904e+00 1.569106e+06 1.248233e+02 -1.632655e-02 4.607439e-04
2.786101e+02 8.912509e-01 2.592948e+00 1.022714e+00 1.607154e+06 1.278829e+02 -2.031088e-02 4.451275e-04
2.857569e+02 8.912509e-01 2.551793e+00 9.810815e-01 1.510672e+06 1.201582e+02 -2.954125e-02 4.479885e-04
2.930871e+02 8.912509e-01 2.498611e+00 1.020274e+00 1.666182e+06 1.325519e+02 -5.196488e-02 4.483461e-04
3.006053e+02 8.912509e-01 2.464414e+00 9.894244e-01 1.636270e+06 1.302397e+02 7.851839e-03 4.581213e-04
3.083163e+02 8.912509e-01 2.426279e+00 9.981048e-01 1.674756e+06 1.332025e+02 -3.487349e-03 4.547834e-04
3.162252e+02 8.912509e-01 2.374998e+00 1.022755e+00 1.853842e+06 1.475570e+02 -5.766594e-02 4.431009e-04
3.243369e+02 8.912509e-01 2.336415e+00 9.593506e-01 1.704425e+06 1.356484e+02 -2.217513e-02 4.513264e-04
3.326567e+02 8.912509e-01 2.298297e+00 1.019350e+00 1.854409e+06 1.474666e+02 6.173873e-02 4.293919e-04
3.411899e+02 8.912509e-01 2.249251e+00 9.740326e-01 1.916885e+06 1.524857e+02 -2.401996e-02 4.279613e-04
3.499420e+02 8.912509e-01 2.210501e+00 9.826990e-01 1.899942e+06 1.512749e+02 5.699599e-02 4.361868e-04
3.589186e+02 8.912509e-01 2.177222e+00 1.021084e+00 2.081012e+06 1.655797e+02 -1.037061e-03 4.911423e-04
3.681255e+02 8.912509e-01 2.144175e+00 1.006201e+00 2.132930e+06 1.697165e+02 -2.435493e-02 4.682541e-04
3.775686e+02 8.912509e-01 2.117803e+00 1.022666e+00 2.169696e+06 1.727251e+02 -3.536862e-02 4.422665e-04
3.872539e+02 8.912509e-01 2.062615e+00 9.943490e-01 1.996684e+06 1.589207e+02 -3.443116e-02 4.686117e-04
3.971876e+02 8.912509e-01 2.031417e+00 9.865016e-01 2.144488e+06 1.706026e+02 1.753283e-02 4.594326e-04
4.073762e+02 8.912509e-01 1.994946e+00 9.852625e-01 2.349408e+06 1.869243e+02 -7.318377e-03 4.332066e-04
4.178260e+02 8.912509e-01 1.946607e+00 1.043759e+00 2.600917e+06 2.069180e+02 -5.251056e-02 4.583597e-04
4.285440e+02 8.912509e-01 1.930548e+00 1.035746e+00 2.626598e+06 2.090812e+02 -6.343770e-02 4.909039e-04
4.395369e+02 8.912509e-01 1.868411e+00 1.019782e+00 2.516342e+06 2.002602e+02 -8.492553e-02 4.651546e-04
4.508118e+02 8.912509e-01 1.848706e+00 9.582113e-01 2.388608e+06 1.900756e+02 -2.454829e-02 4.377365e-04
4.623759e+02 8.912509e-01 1.825255e+00 1.041097e+00 2.873848e+06 2.287031e+02 2.424717e-04 4.570484e-04
4.742366e+02 8.912509e-01 1.782200e+00 9.828548e-01 2.664388e+06 2.120033e+02 -4.468119e-02 4.281998e-04
