#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_s:0.95:2.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
2.716435e-01 8.912509e+00 9.277253e-01 1.010196e+00 4.333853e+04 3.442203e+00 8.462429e-03 2.636075e-03
2.786117e-01 8.912509e+00 9.272137e-01 1.001013e+00 4.318609e+04 3.422786e+00 1.774144e-02 2.678871e-03
2.857586e-01 8.912509e+00 9.272599e-01 9.811779e-01 4.169391e+04 3.317425e+00 5.690813e-03 2.584815e-03
2.930888e-01 8.912509e+00 9.273627e-01 9.930074e-01 4.262461e+04 3.398595e+00 -7.130682e-03 2.650619e-03
3.006071e-01 8.912509e+00 9.274647e-01 1.008990e+00 4.328994e+04 3.449524e+00 1.185834e-02 2.713919e-03
3.083182e-01 8.912509e+00 9.288524e-01 9.818432e-01 4.263553e+04 3.408462e+00 6.481171e-03 2.643585e-03
3.162272e-01 8.912509e+00 9.302604e-01 1.010352e+00 4.340527e+04 3.453344e+00 3.671050e-03 2.655387e-03
3.243390e-01 8.912509e+00 9.321265e-01 9.952461e-01 4.335166e+04 3.451752e+00 1.491964e-02 2.624989e-03
3.326589e-01 8.912509e+00 9.344194e-01 1.005589e+00 4.367189e+04 3.468941e+00 1.913667e-03 2.627969e-03
3.411923e-01 8.912509e+00 9.366572e-01 9.911123e-01 4.281573e+04 3.447614e+00 1.863718e-03 2.603292e-03
3.499445e-01 8.912509e+00 9.399598e-01 1.007837e+00 4.406742e+04 3.514141e+00 1.848567e-02 2.583265e-03
3.589213e-01 8.912509e+00 9.434414e-01 1.014670e+00 4.444779e+04 3.531011e+00 -1.698613e-03 2.606630e-03
3.681283e-01 8.912509e+00 9.474151e-01 1.019608e+00 4.440323e+04 3.545654e+00 -1.277989e-02 2.644658e-03
3.775715e-01 8.912509e+00 9.515204e-01 1.012309e+00 4.336798e+04 3.458437e+00 -1.636803e-02 2.536535e-03
3.872570e-01 8.912509e+00 9.555589e-01 9.965203e-01 4.353773e+04 3.466713e+00 -5.286586e-02 2.504110e-03
3.971908e-01 8.912509e+00 9.607638e-01 1.000350e+00 4.364577e+04 3.468623e+00 -2.502841e-02 2.506018e-03
4.073796e-01 8.912509e+00 9.657111e-01 1.012798e+00 4.380795e+04 3.498544e+00 -1.846027e-02 2.468705e-03
4.178296e-01 8.912509e+00 9.715509e-01 9.953381e-01 4.300154e+04 3.457800e+00 -1.152474e-02 2.366662e-03
4.285478e-01 8.912509e+00 9.777952e-01 9.942920e-01 4.436171e+04 3.563161e+00 4.003406e-03 2.418518e-03
4.395409e-01 8.912509e+00 9.840920e-01 9.955210e-01 4.506350e+04 3.613772e+00 -7.517040e-03 2.440810e-03
4.508159e-01 8.912509e+00 9.913197e-01 1.000218e+00 4.452296e+04 3.547564e+00 -1.741773e-02 2.367139e-03
4.623803e-01 8.912509e+00 9.976462e-01 9.975224e-01 4.528409e+04 3.640510e+00 -9.091318e-03 2.377391e-03
4.742412e-01 8.912509e+00 1.006132e+00 9.980472e-01 4.576355e+04 3.636054e+00 -2.365232e-02 2.350450e-03
4.864064e-01 8.912509e+00 1.014174e+00 9.884219e-01 4.533952e+04 3.624594e+00 -2.783293e-02 2.320886e-03
4.988837e-01 8.912509e+00 1.023212e+00 9.855477e-01 4.514734e+04 3.590535e+00 -1.522243e-03 2.258658e-03
5.116810e-01 8.912509e+00 1.032123e+00 9.880362e-01 4.629898e+04 3.657699e+00 -2.247190e-02 2.241254e-03
5.248066e-01 8.912509e+00 1.040887e+00 1.005416e+00 4.576112e+04 3.631279e+00 -2.334255e-02 2.200127e-03
5.382689e-01 8.912509e+00 1.050263e+00 9.874740e-01 4.675283e+04 3.700352e+00 -1.441056e-02 2.192616e-03
5.520766e-01 8.912509e+00 1.060218e+00 9.865886e-01 4.747659e+04 3.758285e+00 -3.186500e-02 2.182484e-03
5.662384e-01 8.912509e+00 1.070364e+00 1.012706e+00 4.794310e+04 3.818763e+00 -1.404643e-03 2.205968e-03
5.807635e-01 8.912509e+00 1.081664e+00 1.014654e+00 4.816752e+04 3.857279e+00 -9.667277e-03 2.148509e-03
5.956612e-01 8.912509e+00 1.093110e+00 1.003127e+00 4.716807e+04 3.748417e+00 1.241922e-03 2.105117e-03
6.109411e-01 8.912509e+00 1.104798e+00 1.003285e+00 4.864433e+04 3.891338e+00 6.176353e-03 2.071381e-03
6.266128e-01 8.912509e+00 1.117298e+00 1.016959e+00 4.901589e+04 3.930809e+00 1.688838e-03 2.057910e-03
6.426867e-01 8.912509e+00 1.129573e+00 9.807047e-01 4.916986e+04 3.952454e+00 2.957582e-03 2.032518e-03
6.591728e-01 8.912509e+00 1.142939e+00 9.865437e-01 4.944540e+04 3.957865e+00 6.169081e-03 2.037406e-03
6.760818e-01 8.912509e+00 1.156344e+00 9.973317e-01 5.145051e+04 4.101104e+00 5.443335e-03 2.027869e-03
6.934246e-01 8.912509e+00 1.170452e+00 1.012144e+00 5.217894e+04 4.195642e+00 -4.884183e-03 2.014041e-03
7.112123e-01 8.912509e+00 1.185032e+00 1.017551e+00 5.320412e+04 4.273947e+00 -2.968216e-02 2.017856e-03
7.294562e-01 8.912509e+00 1.199838e+00 9.947783e-01 5.305946e+04 4.266944e+00 7.847905e-03 1.969457e-03
7.481682e-01 8.912509e+00 1.215099e+00 1.007146e+00 5.416988e+04 4.344930e+00 4.976869e-03 1.970410e-03
7.673602e-01 8.912509e+00 1.230441e+00 1.017558e+00 5.550889e+04 4.447107e+00 2.292037e-03 1.926780e-03
