#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:0.95:2.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
2.716420e+02 8.912509e+00 1.111717e+00 1.022511e+00 1.646293e+07 1.310052e+03 -3.624654e-02 4.538298e-04
2.786101e+02 8.912509e+00 1.076387e+00 1.010291e+00 1.659351e+07 1.320459e+03 1.546025e-03 4.564524e-04
2.857569e+02 8.912509e+00 1.079772e+00 9.966287e-01 1.576131e+07 1.254231e+03 -2.567828e-02 4.211664e-04
2.930871e+02 8.912509e+00 1.043228e+00 1.006026e+00 1.683055e+07 1.339326e+03 -6.013197e-02 4.478693e-04
3.006053e+02 8.912509e+00 1.056863e+00 9.897342e-01 1.662164e+07 1.322735e+03 -1.834631e-04 4.714727e-04
3.083163e+02 8.912509e+00 1.059893e+00 1.018563e+00 1.734803e+07 1.380500e+03 -8.253992e-03 4.590750e-04
3.162252e+02 8.912509e+00 1.042012e+00 1.019103e+00 1.846066e+07 1.469064e+03 -7.148921e-02 4.261732e-04
3.243369e+02 8.912509e+00 1.022401e+00 9.832428e-01 1.756281e+07 1.397613e+03 1.678741e-02 4.552603e-04
3.326567e+02 8.912509e+00 1.048168e+00 1.022790e+00 1.903314e+07 1.514615e+03 4.064155e-02 4.239082e-04
3.411899e+02 8.912509e+00 1.013517e+00 9.734887e-01 1.875260e+07 1.492311e+03 -3.395790e-02 4.458427e-04
