#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-0.05:1.05:100:1 --domainy=s:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-0.05:1.05:100:1_s:-0.05:1.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912509e-01 8.912509e-01 2.276692e-01 9.676240e-01 8.580911e+03 6.833118e-01 -1.330262e-02 5.088329e-03
9.141132e-01 8.912509e-01 2.237574e-01 9.940371e-01 8.695341e+03 6.926622e-01 2.711904e-02 5.335808e-03
9.375620e-01 8.912509e-01 2.197894e-01 9.878500e-01 8.572483e+03 6.808549e-01 2.021778e-02 5.265951e-03
9.616123e-01 8.912509e-01 2.164766e-01 1.001189e+00 8.604146e+03 6.817402e-01 1.069963e-02 5.435824e-03
9.862795e-01 8.912509e-01 2.135517e-01 9.963902e-01 8.578095e+03 6.792434e-01 1.293814e-02 5.569935e-03
1.011579e+00 8.912509e-01 2.104000e-01 9.859083e-01 8.136609e+03 6.431351e-01 -3.755629e-03 5.536437e-03
1.037528e+00 8.912509e-01 2.078626e-01 1.002773e+00 8.163816e+03 6.438116e-01 2.224922e-03 5.592704e-03
1.064143e+00 8.912509e-01 2.052983e-01 1.004662e+00 8.217611e+03 6.490636e-01 -2.090287e-02 5.779147e-03
1.091440e+00 8.912509e-01 2.027908e-01 1.001036e+00 8.137324e+03 6.431749e-01 -4.811734e-02 5.824327e-03
1.119438e+00 8.912509e-01 2.005882e-01 1.006289e+00 7.975776e+03 6.296766e-01 -5.110282e-02 5.788088e-03
1.148154e+00 8.912509e-01 1.988122e-01 1.014132e+00 7.969192e+03 6.294876e-01 -4.691488e-02 5.825400e-03
1.177606e+00 8.912509e-01 1.969941e-01 1.020508e+00 7.661746e+03 6.049678e-01 -3.593189e-02 5.758405e-03
1.207814e+00 8.912509e-01 1.953075e-01 1.003624e+00 7.914216e+03 6.252401e-01 -3.506362e-02 6.035686e-03
