#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=s:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_s:-0.05:1.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
2.716435e-01 8.912509e-01 1.107522e+00 9.973766e-01 4.250275e+04 3.424378e+00 -3.187931e-02 1.575232e-03
2.786117e-01 8.912509e-01 1.064105e+00 1.012582e+00 4.180236e+04 3.298327e+00 -2.191001e-02 1.664042e-03
2.857586e-01 8.912509e-01 1.022340e+00 1.000503e+00 3.932139e+04 3.110206e+00 -4.048944e-03 1.676798e-03
2.930888e-01 8.912509e-01 9.816340e-01 1.010560e+00 3.868006e+04 3.088242e+00 -1.092148e-02 1.759768e-03
3.006071e-01 8.912509e-01 9.418842e-01 1.014475e+00 3.655385e+04 2.927178e+00 -2.787775e-02 1.794934e-03
3.083182e-01 8.912509e-01 9.039433e-01 1.005127e+00 3.529352e+04 2.806697e+00 -1.119101e-02 1.849174e-03
3.162272e-01 8.912509e-01 8.667961e-01 9.989669e-01 3.315630e+04 2.674121e+00 3.199077e-02 1.887679e-03
3.243390e-01 8.912509e-01 8.318877e-01 9.839144e-01 3.189010e+04 2.573694e+00 -2.747667e-02 1.927018e-03
3.326589e-01 8.912509e-01 7.976410e-01 9.956099e-01 3.144114e+04 2.536930e+00 -1.879948e-02 1.999140e-03
3.411923e-01 8.912509e-01 7.647220e-01 1.003240e+00 2.963880e+04 2.380958e+00 1.022363e-02 2.070189e-03
3.499445e-01 8.912509e-01 7.334862e-01 1.005803e+00 2.856709e+04 2.269549e+00 4.262924e-04 2.143979e-03
3.589213e-01 8.912509e-01 7.034404e-01 1.009753e+00 2.747538e+04 2.124400e+00 -1.086187e-02 2.197146e-03
3.681283e-01 8.912509e-01 6.749228e-01 1.005963e+00 2.672919e+04 2.064558e+00 -5.947590e-03 2.296209e-03
3.775715e-01 8.912509e-01 6.474398e-01 1.010256e+00 2.567295e+04 2.002567e+00 -5.774081e-03 2.349019e-03
3.872570e-01 8.912509e-01 6.215966e-01 9.981359e-01 2.406432e+04 1.887737e+00 -1.590770e-02 2.350211e-03
3.971908e-01 8.912509e-01 5.968256e-01 1.005814e+00 2.308411e+04 1.858770e+00 -1.871997e-02 2.441049e-03
4.073796e-01 8.912509e-01 5.727306e-01 9.987819e-01 2.213134e+04 1.794790e+00 -1.768774e-02 2.561450e-03
4.178296e-01 8.912509e-01 5.506579e-01 1.010219e+00 2.200728e+04 1.786594e+00 5.009413e-03 2.671957e-03
4.285478e-01 8.912509e-01 5.285357e-01 9.987747e-01 2.093782e+04 1.675026e+00 -1.357728e-02 2.719998e-03
4.395409e-01 8.912509e-01 5.086510e-01 1.010551e+00 2.041499e+04 1.612876e+00 2.198756e-02 2.801061e-03
4.508159e-01 8.912509e-01 4.893582e-01 1.008053e+00 1.949090e+04 1.526773e+00 2.309561e-03 2.899408e-03
4.623803e-01 8.912509e-01 4.713355e-01 1.005467e+00 1.885664e+04 1.480698e+00 7.022142e-03 2.980232e-03
4.742412e-01 8.912509e-01 4.537880e-01 1.027080e+00 1.811465e+04 1.421174e+00 -1.469517e-02 3.025174e-03
4.864064e-01 8.912509e-01 4.374788e-01 1.020910e+00 1.762940e+04 1.382658e+00 -1.660460e-02 3.171086e-03
4.988837e-01 8.912509e-01 4.220129e-01 1.015458e+00 1.671695e+04 1.307816e+00 -2.434075e-02 3.248096e-03
5.116810e-01 8.912509e-01 4.071965e-01 1.026116e+00 1.642862e+04 1.294208e+00 -4.603803e-03 3.320932e-03
5.248066e-01 8.912509e-01 3.933915e-01 1.005253e+00 1.578643e+04 1.252470e+00 -2.166247e-02 3.455639e-03
5.382689e-01 8.912509e-01 3.798470e-01 1.001995e+00 1.484138e+04 1.186818e+00 -3.526282e-02 3.473401e-03
5.520766e-01 8.912509e-01 3.674470e-01 1.021419e+00 1.466299e+04 1.178224e+00 1.222241e-02 3.605127e-03
5.662384e-01 8.912509e-01 3.557036e-01 9.938919e-01 1.410563e+04 1.132069e+00 -1.944727e-02 3.669500e-03
5.807635e-01 8.912509e-01 3.446513e-01 1.006579e+00 1.354726e+04 1.087585e+00 -2.456862e-02 3.725529e-03
5.956612e-01 8.912509e-01 3.339969e-01 1.003764e+00 1.313707e+04 1.048035e+00 -2.707666e-02 3.836751e-03
