# g P P-Pmin Pmax-P
2.000000e-02 0.000000e+00 NaN 3.688872e-06
3.000000e-02 0.000000e+00 NaN 3.688872e-06
4.000000e-02 1.190000e-04 2.041741e-05 2.339958e-05
5.000000e-02 5.260000e-04 4.398628e-05 4.691996e-05
6.000001e-02 1.106000e-03 6.419649e-05 6.711368e-05
7.000001e-02 1.849000e-03 8.325462e-05 8.616087e-05
8.000001e-02 2.340000e-03 9.375538e-05 9.665626e-05
9.000000e-02 2.648000e-03 9.978067e-05 1.026786e-04
1.000000e-01 2.913000e-03 1.046874e-04 1.075828e-04
