#./underdamped_3d --dev=0 --amp=3.3 --omega=4.04 --force=0.1 --gam=0.08 --Dg=0 --block=1024 --paths=262144 --periods=200000 --trans=199800 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0:0.005:10:0 --domainy=a:3.3:3.3:1:0 --domainz=w:4.04:4.04:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./data/3d-faw-D0-g0.08-a3.3-w4.04-spp200-part0.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.750000e-02 3.300000e+00 4.040000e+00 -1.082503e-01 4.168937e+00 2.061853e+00 3.348989e+11 5.384282e+05 -6.608121e-01 -2.899170e-04
1.800000e-02 3.300000e+00 4.040000e+00 -6.688925e-02 4.169080e+00 2.033233e+00 3.342718e+11 5.373916e+05 -6.632725e-01 -3.303885e-04
1.849999e-02 3.300000e+00 4.040000e+00 -8.087372e-04 4.169649e+00 2.105705e+00 3.328850e+11 5.351062e+05 -6.646588e-01 -2.881289e-04
1.899999e-02 3.300000e+00 4.040000e+00 -2.381456e-01 4.170803e+00 2.061850e+00 3.235868e+11 5.202049e+05 -6.433053e-01 -3.724098e-04
1.949999e-02 3.300000e+00 4.040000e+00 -9.090714e-01 4.170506e+00 2.117154e+00 2.479634e+11 3.986225e+05 -2.844167e-01 -5.939007e-04
2.000000e-02 3.300000e+00 4.040000e+00 -9.079732e-01 4.170751e+00 2.109517e+00 2.464139e+11 3.961489e+05 -2.852326e-01 -6.035566e-04
2.050000e-02 3.300000e+00 4.040000e+00 -9.651390e-01 4.170869e+00 2.132412e+00 2.358125e+11 3.790672e+05 -2.201636e-01 -5.909204e-04
2.100000e-02 3.300000e+00 4.040000e+00 -9.842177e-01 4.171048e+00 2.143853e+00 2.318369e+11 3.726932e+05 -1.961682e-01 -6.113648e-04
2.150000e-02 3.300000e+00 4.040000e+00 -1.056710e+00 4.171185e+00 2.149579e+00 2.169820e+11 3.488260e+05 -9.510154e-02 -6.203651e-04
2.200000e-02 3.300000e+00 4.040000e+00 -1.075279e+00 4.171586e+00 2.166746e+00 2.115935e+11 3.401395e+05 -6.675702e-02 -5.553365e-04
2.250000e-02 3.300000e+00 4.040000e+00 -1.071243e+00 4.172047e+00 2.147669e+00 2.110852e+11 3.393357e+05 -7.317358e-02 -5.538464e-04
2.300001e-02 3.300000e+00 4.040000e+00 -1.102326e+00 4.172082e+00 2.166745e+00 2.054167e+11 3.302193e+05 -2.268350e-02 -5.131364e-04
2.350001e-02 3.300000e+00 4.040000e+00 -1.102547e+00 4.172245e+00 2.159112e+00 2.044547e+11 3.286838e+05 -2.247036e-02 -4.582405e-04
2.400001e-02 3.300000e+00 4.040000e+00 -1.154554e+00 4.172051e+00 2.157207e+00 1.948992e+11 3.133194e+05 7.203090e-02 -4.695654e-04
2.450001e-02 3.300000e+00 4.040000e+00 -1.059993e+00 4.172490e+00 2.153391e+00 2.094689e+11 3.367402e+05 -9.151870e-02 -4.183650e-04
2.500000e-02 3.300000e+00 4.040000e+00 -8.957528e-01 4.173462e+00 2.199166e+00 2.327332e+11 3.741353e+05 -2.964401e-01 -3.202558e-04
2.550000e-02 3.300000e+00 4.040000e+00 -7.650989e-01 4.175859e+00 2.187725e+00 2.489291e+11 4.001498e+05 -4.105376e-01 -2.868176e-04
2.600000e-02 3.300000e+00 4.040000e+00 -6.359311e-01 4.177881e+00 2.201072e+00 2.615847e+11 4.204840e+05 -4.941188e-01 -2.083182e-04
2.650000e-02 3.300000e+00 4.040000e+00 -6.037837e-01 4.180136e+00 2.216335e+00 2.635052e+11 4.235778e+05 -5.110490e-01 -1.482964e-04
2.700000e-02 3.300000e+00 4.040000e+00 -5.429789e-01 4.182230e+00 2.227780e+00 2.640087e+11 4.243847e+05 -5.382298e-01 -3.969669e-05
2.750000e-02 3.300000e+00 4.040000e+00 -5.265992e-01 4.183021e+00 2.222053e+00 2.631465e+11 4.230021e+05 -5.444149e-01 1.478195e-05
2.800000e-02 3.300000e+00 4.040000e+00 -4.164654e-01 4.183617e+00 2.248753e+00 2.697411e+11 4.336066e+05 -5.847509e-01 1.435280e-04
2.849999e-02 3.300000e+00 4.040000e+00 -1.437968e-01 4.185454e+00 2.244940e+00 2.780594e+11 4.469712e+05 -6.390320e-01 2.480745e-04
2.899999e-02 3.300000e+00 4.040000e+00 -3.855406e-02 4.186668e+00 2.246848e+00 2.786258e+11 4.478895e+05 -6.448865e-01 3.875494e-04
2.949999e-02 3.300000e+00 4.040000e+00 1.719727e-01 4.186522e+00 2.283095e+00 2.692201e+11 4.327713e+05 -6.300878e-01 6.959438e-04
3.000000e-02 3.300000e+00 4.040000e+00 7.272495e-01 4.180927e+00 2.304073e+00 2.205878e+11 3.545832e+05 -4.182483e-01 1.823425e-03
3.050000e-02 3.300000e+00 4.040000e+00 9.385904e-01 4.180042e+00 2.311704e+00 1.956647e+11 3.145348e+05 -2.383949e-01 2.110243e-03
3.100000e-02 3.300000e+00 4.040000e+00 9.889626e-01 4.182484e+00 2.285000e+00 1.924241e+11 3.093228e+05 -1.818029e-01 1.946807e-03
3.150000e-02 3.300000e+00 4.040000e+00 9.781651e-01 4.184676e+00 2.279274e+00 1.969541e+11 3.166038e+05 -1.963102e-01 1.530886e-03
3.200000e-02 3.300000e+00 4.040000e+00 9.853457e-01 4.184922e+00 2.284999e+00 1.973856e+11 3.173038e+05 -1.878787e-01 1.444936e-03
3.250000e-02 3.300000e+00 4.040000e+00 9.146336e-01 4.185489e+00 2.258295e+00 2.075302e+11 3.336105e+05 -2.668024e-01 1.269698e-03
3.300000e-02 3.300000e+00 4.040000e+00 8.022749e-01 4.184885e+00 2.290724e+00 2.192878e+11 3.525044e+05 -3.680348e-01 1.388669e-03
3.350000e-02 3.300000e+00 4.040000e+00 7.568722e-01 4.183422e+00 2.288809e+00 2.206598e+11 3.547069e+05 -3.997226e-01 1.541615e-03
3.400001e-02 3.300000e+00 4.040000e+00 7.836764e-01 4.182416e+00 2.296441e+00 2.163389e+11 3.477584e+05 -3.793291e-01 1.745462e-03
3.450001e-02 3.300000e+00 4.040000e+00 6.130383e-01 4.175447e+00 2.344133e+00 2.222969e+11 3.573393e+05 -4.782534e-01 2.647400e-03
3.500000e-02 3.300000e+00 4.040000e+00 3.781534e-01 4.157682e+00 2.408979e+00 2.219824e+11 3.568287e+05 -5.539836e-01 5.106926e-03
3.550000e-02 3.300000e+00 4.040000e+00 -3.853633e-01 4.075466e+00 2.481456e+00 1.899921e+11 3.054022e+05 -5.159940e-01 1.614559e-02
3.600000e-02 3.300000e+00 4.040000e+00 -6.513937e-01 4.021240e+00 2.510064e+00 1.635544e+11 2.628422e+05 -3.991121e-01 2.360904e-02
3.650000e-02 3.300000e+00 4.040000e+00 -6.260262e-01 4.015931e+00 2.504341e+00 1.640601e+11 2.636902e+05 -4.097754e-01 2.438664e-02
3.700000e-02 3.300000e+00 4.040000e+00 -6.712463e-01 3.971350e+00 2.527235e+00 1.531379e+11 2.460838e+05 -3.724002e-01 3.071558e-02
3.750001e-02 3.300000e+00 4.040000e+00 -1.538436e+00 3.737193e+00 1.621245e+00 4.729709e+10 7.596448e+04 -4.598964e-01 6.347120e-02
3.800001e-02 3.300000e+00 4.040000e+00 -1.516243e+00 3.711169e+00 1.661296e+00 4.790365e+10 7.692987e+04 -4.722401e-01 6.726778e-02
3.850001e-02 3.300000e+00 4.040000e+00 -1.475392e+00 3.664140e+00 1.720425e+00 4.879635e+10 7.834930e+04 -4.890119e-01 7.406211e-02
3.900001e-02 3.300000e+00 4.040000e+00 -1.457405e+00 3.643834e+00 1.747129e+00 4.917144e+10 7.893491e+04 -4.948846e-01 7.701683e-02
3.950001e-02 3.300000e+00 4.040000e+00 -1.412529e+00 3.592439e+00 1.827242e+00 4.991348e+10 8.012012e+04 -5.060461e-01 8.444238e-02
4.000000e-02 3.300000e+00 4.040000e+00 -1.346092e+00 3.515097e+00 1.926424e+00 5.056975e+10 8.118265e+04 -5.123848e-01 9.537172e-02
4.050000e-02 3.300000e+00 4.040000e+00 -1.308187e+00 3.470499e+00 1.953122e+00 5.063849e+10 8.129679e+04 -5.104136e-01 1.016673e-01
4.100000e-02 3.300000e+00 4.040000e+00 -1.255465e+00 3.409848e+00 2.035139e+00 5.092244e+10 8.176358e+04 -5.060796e-01 1.099887e-01
4.150000e-02 3.300000e+00 4.040000e+00 -1.258623e+00 3.413611e+00 2.056126e+00 5.082935e+10 8.161063e+04 -5.057214e-01 1.097757e-01
4.200000e-02 3.300000e+00 4.040000e+00 -1.261765e+00 3.418586e+00 2.019881e+00 5.078625e+10 8.154927e+04 -5.045883e-01 1.091578e-01
4.250000e-02 3.300000e+00 4.040000e+00 -1.244165e+00 3.398236e+00 2.017973e+00 5.088491e+10 8.172502e+04 -5.021876e-01 1.120061e-01
4.300001e-02 3.300000e+00 4.040000e+00 -1.140753e+00 3.277115e+00 2.140042e+00 5.031654e+10 8.085934e+04 -4.729189e-01 1.280117e-01
4.350001e-02 3.300000e+00 4.040000e+00 -1.044544e+00 3.164175e+00 2.229686e+00 4.908172e+10 7.893250e+04 -4.253055e-01 1.422312e-01
4.400001e-02 3.300000e+00 4.040000e+00 -9.553636e-01 3.060165e+00 2.336498e+00 4.742497e+10 7.631191e+04 -3.602524e-01 1.543242e-01
4.450001e-02 3.300000e+00 4.040000e+00 -9.516793e-01 3.056745e+00 2.433770e+00 4.736507e+10 7.622666e+04 -3.573352e-01 1.548046e-01
4.500000e-02 3.300000e+00 4.040000e+00 -8.217224e-01 2.905021e+00 2.540581e+00 4.402980e+10 7.085761e+04 -2.276992e-01 1.700947e-01
4.550000e-02 3.300000e+00 4.040000e+00 -7.334799e-01 2.802937e+00 2.372735e+00 4.144193e+10 6.669492e+04 -1.036399e-01 1.784247e-01
4.600000e-02 3.300000e+00 4.040000e+00 -6.883948e-01 2.751732e+00 2.418510e+00 3.996012e+10 6.431151e+04 -3.648001e-02 1.817453e-01
4.650000e-02 3.300000e+00 4.040000e+00 -5.445004e-01 2.584369e+00 2.702708e+00 3.425183e+10 5.508666e+04 2.967130e-01 1.882162e-01
4.700001e-02 3.300000e+00 4.040000e+00 -4.028861e-01 2.420433e+00 2.664559e+00 2.816309e+10 4.528859e+04 8.058387e-01 1.847237e-01
4.750001e-02 3.300000e+00 4.040000e+00 -2.777488e-01 2.275082e+00 2.857204e+00 2.197024e+10 3.530862e+04 1.607419e+00 1.702889e-01
4.800001e-02 3.300000e+00 4.040000e+00 -7.613029e-02 2.040940e+00 2.931585e+00 1.065972e+10 1.711681e+04 5.490631e+00 1.104068e-01
4.850001e-02 3.300000e+00 4.040000e+00 -4.578569e-02 2.006136e+00 2.950661e+00 8.826415e+09 1.418016e+04 7.048280e+00 9.636366e-02
4.900001e-02 3.300000e+00 4.040000e+00 -1.689075e-02 1.973821e+00 2.946846e+00 7.118965e+09 1.145132e+04 9.232159e+00 8.132112e-02
4.950001e-02 3.300000e+00 4.040000e+00 -1.621469e-02 1.973608e+00 2.927772e+00 7.216195e+09 1.160813e+04 9.216537e+00 8.137703e-02
5.000000e-02 3.300000e+00 4.040000e+00 4.096019e-02 1.907731e+00 2.920145e+00 3.641928e+09 5.857668e+03 2.028833e+01 4.596698e-02
5.050000e-02 3.300000e+00 4.040000e+00 2.314079e-02 1.929094e+00 2.902979e+00 4.808969e+09 7.730479e+03 1.485940e+01 5.843592e-02
5.100000e-02 3.300000e+00 4.040000e+00 7.979423e-02 1.862881e+00 2.847666e+00 1.232978e+09 1.983725e+03 6.882423e+01 1.739609e-02
5.150000e-02 3.300000e+00 4.040000e+00 9.412372e-02 1.846654e+00 2.590177e+00 2.959443e+08 4.761605e+02 3.393956e+02 6.091833e-03
5.200000e-02 3.300000e+00 4.040000e+00 9.750558e-02 1.843590e+00 1.991270e+00 1.204571e+08 1.937803e+02 1.092172e+03 3.855586e-03
5.250001e-02 3.300000e+00 4.040000e+00 9.825105e-02 1.843899e+00 1.998899e+00 1.341904e+08 2.158500e+02 9.813059e+02 3.909349e-03
5.300001e-02 3.300000e+00 4.040000e+00 9.878640e-02 1.843918e+00 1.987458e+00 1.190943e+08 1.915992e+02 1.105860e+03 3.792644e-03
5.350001e-02 3.300000e+00 4.040000e+00 9.919006e-02 1.844039e+00 1.991270e+00 1.039659e+08 1.672457e+02 1.266429e+03 3.731608e-03
5.400001e-02 3.300000e+00 4.040000e+00 9.982168e-02 1.844717e+00 1.974109e+00 1.191868e+08 1.917614e+02 1.106011e+03 3.799796e-03
5.450001e-02 3.300000e+00 4.040000e+00 1.000061e-01 1.844944e+00 1.991273e+00 1.070783e+08 1.722276e+02 1.230746e+03 3.737330e-03
5.500000e-02 3.300000e+00 4.040000e+00 1.003057e-01 1.845398e+00 1.993179e+00 1.375015e+08 2.211698e+02 9.597753e+02 3.870010e-03
5.550000e-02 3.300000e+00 4.040000e+00 1.007801e-01 1.845057e+00 1.993180e+00 1.056392e+08 1.699828e+02 1.248456e+03 3.736734e-03
5.600000e-02 3.300000e+00 4.040000e+00 1.013082e-01 1.845568e+00 1.991270e+00 9.351037e+07 1.504224e+02 1.409770e+03 3.685474e-03
5.650000e-02 3.300000e+00 4.040000e+00 1.017988e-01 1.846323e+00 1.987456e+00 1.072264e+08 1.725362e+02 1.230984e+03 3.746986e-03
5.700000e-02 3.300000e+00 4.040000e+00 1.017047e-01 1.846603e+00 1.991270e+00 1.057348e+08 1.701045e+02 1.248659e+03 3.714442e-03
5.750000e-02 3.300000e+00 4.040000e+00 1.024453e-01 1.846736e+00 1.993176e+00 9.056040e+07 1.457039e+02 1.457133e+03 3.625274e-03
5.800001e-02 3.300000e+00 4.040000e+00 1.023756e-01 1.846440e+00 1.987455e+00 8.602677e+07 1.383739e+02 1.533614e+03 3.627300e-03
5.850001e-02 3.300000e+00 4.040000e+00 1.033463e-01 1.846743e+00 1.993178e+00 9.522959e+07 1.531972e+02 1.387474e+03 3.654361e-03
5.900001e-02 3.300000e+00 4.040000e+00 1.036605e-01 1.847740e+00 1.996994e+00 1.577775e+08 2.537996e+02 8.398411e+02 3.965259e-03
5.950001e-02 3.300000e+00 4.040000e+00 1.044012e-01 1.848098e+00 1.998901e+00 1.578647e+08 2.539671e+02 8.399634e+02 3.963947e-03
6.000000e-02 3.300000e+00 4.040000e+00 1.046813e-01 1.848348e+00 1.996994e+00 1.762451e+08 2.835408e+02 7.529986e+02 4.052639e-03
6.050000e-02 3.300000e+00 4.040000e+00 1.050915e-01 1.848905e+00 1.995085e+00 2.160318e+08 3.475803e+02 6.147898e+02 4.233003e-03
6.100000e-02 3.300000e+00 4.040000e+00 1.045582e-01 1.849973e+00 1.998899e+00 4.160330e+08 6.693657e+02 3.189997e+02 5.154133e-03
6.150000e-02 3.300000e+00 4.040000e+00 1.048594e-01 1.851436e+00 1.996994e+00 5.658650e+08 9.105174e+02 2.343186e+02 5.806804e-03
6.200000e-02 3.300000e+00 4.040000e+00 1.049314e-01 1.852305e+00 1.991269e+00 6.302150e+08 1.014114e+03 2.103541e+02 6.098390e-03
6.250000e-02 3.300000e+00 4.040000e+00 1.053987e-01 1.853362e+00 2.000808e+00 6.762684e+08 1.088202e+03 1.960040e+02 6.280184e-03
6.300000e-02 3.300000e+00 4.040000e+00 1.061600e-01 1.852876e+00 1.987460e+00 6.141471e+08 9.882054e+02 2.161314e+02 5.996943e-03
6.350000e-02 3.300000e+00 4.040000e+00 1.068256e-01 1.853939e+00 1.996994e+00 6.773100e+08 1.089880e+03 1.959974e+02 6.295681e-03
