# g P P-Pmin Pmax-P
2.000000e-02 0.000000e+00 NaN 3.688872e-06
3.000000e-02 0.000000e+00 NaN 3.688872e-06
4.000000e-02 5.600000e-05 1.369793e-05 1.672005e-05
5.000000e-02 3.140000e-04 3.376942e-05 3.671672e-05
6.000001e-02 9.160000e-04 5.834191e-05 6.126309e-05
7.000001e-02 1.644000e-03 7.845717e-05 8.136598e-05
8.000001e-02 2.192000e-03 9.071796e-05 9.362037e-05
9.000000e-02 2.497000e-03 9.687355e-05 9.977288e-05
1.000000e-01 2.700000e-03 1.007624e-04 1.036598e-04
