#./underdamped_3d --dev=0 --amp=4.818 --omega=4.028 --force=0.025 --gam=0.022 --Dg=0.1 --block=1024 --paths=65536 --periods=1000000.0 --trans=999000 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-4:100:1 --domainy=a:4.818:4.818:1:0 --domainz=w:4.028:4.028:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./data/3d-Daw-f0.025-g0.022-a4.818-w4.028-part0.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
5.011865e-06 4.818000e+00 4.028000e+00 -7.730427e-02 7.338931e+00 1.931375e+00 1.457689e+13 4.672602e+06 -6.389146e-01 1.673818e-03
5.248066e-06 4.818000e+00 4.028000e+00 -2.650720e-01 7.335311e+00 1.919930e+00 1.419315e+13 4.549543e+06 -6.358323e-01 1.833081e-03
5.495400e-06 4.818000e+00 4.028000e+00 -5.445774e-01 7.330372e+00 1.857016e+00 1.362202e+13 4.366486e+06 -6.253257e-01 2.045631e-03
5.754390e-06 4.818000e+00 4.028000e+00 -8.765689e-01 7.325559e+00 1.790290e+00 1.280117e+13 4.103308e+06 -5.960429e-01 2.225995e-03
6.025586e-06 4.818000e+00 4.028000e+00 -1.222321e+00 7.320630e+00 1.700667e+00 1.169152e+13 3.747579e+06 -5.364548e-01 2.373219e-03
6.309562e-06 4.818000e+00 4.028000e+00 -1.598820e+00 7.315182e+00 1.506203e+00 1.022712e+13 3.278213e+06 -4.290230e-01 2.616882e-03
6.606922e-06 4.818000e+00 4.028000e+00 -1.919194e+00 7.312929e+00 1.294573e+00 8.526975e+12 2.733210e+06 -2.580842e-01 2.571106e-03
6.918297e-06 4.818000e+00 4.028000e+00 -2.195384e+00 7.312370e+00 1.023838e+00 6.579926e+12 2.109153e+06 3.607535e-02 2.507687e-03
7.244346e-06 4.818000e+00 4.028000e+00 -2.377369e+00 7.313515e+00 7.531000e-01 4.776505e+12 1.531063e+06 4.493732e-01 2.398491e-03
7.585761e-06 4.818000e+00 4.028000e+00 -2.483673e+00 7.314928e+00 4.976207e-01 3.274855e+12 1.049712e+06 9.949950e-01 2.303243e-03
7.943267e-06 4.818000e+00 4.028000e+00 -2.535526e+00 7.316779e+00 2.650146e-01 2.161953e+12 6.929714e+05 1.539006e+00 2.207994e-03
8.317621e-06 4.818000e+00 4.028000e+00 -2.555749e+00 7.317829e+00 1.086759e-01 1.374603e+12 4.405592e+05 2.135211e+00 2.190948e-03
8.709618e-06 4.818000e+00 4.028000e+00 -2.560745e+00 7.318052e+00 4.194606e-02 8.781846e+11 2.814314e+05 2.482075e+00 2.242923e-03
9.120089e-06 4.818000e+00 4.028000e+00 -2.562075e+00 7.318039e+00 1.525320e-02 5.576901e+11 1.786837e+05 2.586204e+00 2.280831e-03
9.549905e-06 4.818000e+00 4.028000e+00 -2.562431e+00 7.318102e+00 1.907071e-03 3.583455e+11 1.147985e+05 2.556938e+00 2.323508e-03
9.999978e-06 4.818000e+00 4.028000e+00 -2.562433e+00 7.318116e+00 1.907294e-03 2.481371e+11 7.942613e+04 2.759554e+00 2.319694e-03
1.047126e-05 4.818000e+00 4.028000e+00 -2.562435e+00 7.318124e+00 3.813587e-03 1.724572e+11 5.517759e+04 2.725566e+00 2.324104e-03
1.096476e-05 4.818000e+00 4.028000e+00 -2.562434e+00 7.318124e+00 -2.994837e-08 1.186959e+11 3.794665e+04 2.711467e+00 2.330780e-03
1.148151e-05 4.818000e+00 4.028000e+00 -2.562436e+00 7.318144e+00 5.720508e-03 8.516669e+10 2.723756e+04 2.466859e+00 2.322793e-03
1.202262e-05 4.818000e+00 4.028000e+00 -2.562438e+00 7.318149e+00 -1.862712e-06 6.414567e+10 2.055035e+04 2.588773e+00 2.322078e-03
1.258922e-05 4.818000e+00 4.028000e+00 -2.562438e+00 7.318153e+00 -3.280968e-08 4.708430e+10 1.501531e+04 2.410659e+00 2.310276e-03
1.318253e-05 4.818000e+00 4.028000e+00 -2.562441e+00 7.318162e+00 -3.814616e-03 3.651722e+10 1.160347e+04 2.293677e+00 2.318621e-03
1.380381e-05 4.818000e+00 4.028000e+00 -2.562442e+00 7.318177e+00 -1.911281e-03 2.839354e+10 9.015774e+03 2.410760e+00 2.302647e-03
1.445436e-05 4.818000e+00 4.028000e+00 -2.562443e+00 7.318186e+00 -1.907325e-03 2.320390e+10 7.285152e+03 2.144657e+00 2.287030e-03
1.513557e-05 4.818000e+00 4.028000e+00 -2.562445e+00 7.318199e+00 3.813026e-03 1.929394e+10 6.089614e+03 2.324039e+00 2.282023e-03
1.584889e-05 4.818000e+00 4.028000e+00 -2.562448e+00 7.318220e+00 -3.815538e-03 1.603320e+10 5.107168e+03 2.129618e+00 2.271891e-03
1.659582e-05 4.818000e+00 4.028000e+00 -2.562448e+00 7.318237e+00 5.721432e-03 1.353609e+10 4.292778e+03 2.075041e+00 2.263069e-03
1.737796e-05 4.818000e+00 4.028000e+00 -2.562449e+00 7.318255e+00 -1.908013e-03 1.170863e+10 3.649130e+03 2.247308e+00 2.263784e-03
1.819696e-05 4.818000e+00 4.028000e+00 -2.562451e+00 7.318279e+00 1.907118e-03 1.035826e+10 3.193703e+03 2.166590e+00 2.255082e-03
1.905455e-05 4.818000e+00 4.028000e+00 -2.562452e+00 7.318309e+00 3.816730e-03 9.136596e+09 2.822303e+03 2.045313e+00 2.253652e-03
1.995257e-05 4.818000e+00 4.028000e+00 -2.562454e+00 7.318331e+00 1.908740e-03 8.274958e+09 2.574591e+03 1.943863e+00 2.229095e-03
2.089290e-05 4.818000e+00 4.028000e+00 -2.562453e+00 7.318364e+00 -5.720288e-03 7.653594e+09 2.355448e+03 2.128393e+00 2.231956e-03
2.187755e-05 4.818000e+00 4.028000e+00 -2.562454e+00 7.318390e+00 -9.534732e-03 7.005146e+09 2.119500e+03 1.944884e+00 2.213955e-03
2.290861e-05 4.818000e+00 4.028000e+00 -2.562454e+00 7.318426e+00 1.907602e-03 6.493835e+09 2.064715e+03 1.816741e+00 2.212524e-03
2.398826e-05 4.818000e+00 4.028000e+00 -2.562456e+00 7.318478e+00 1.907693e-03 6.099104e+09 1.903046e+03 1.995292e+00 2.199292e-03
2.511879e-05 4.818000e+00 4.028000e+00 -2.562456e+00 7.318519e+00 5.723906e-03 5.843314e+09 1.755831e+03 1.859621e+00 2.190113e-03
2.630260e-05 4.818000e+00 4.028000e+00 -2.562457e+00 7.318552e+00 3.816741e-03 5.630804e+09 1.740034e+03 2.120973e+00 2.168655e-03
2.754220e-05 4.818000e+00 4.028000e+00 -2.562457e+00 7.318595e+00 3.814386e-03 5.309707e+09 1.546771e+03 2.127626e+00 2.173543e-03
2.884022e-05 4.818000e+00 4.028000e+00 -2.562458e+00 7.318647e+00 3.815012e-03 5.236916e+09 1.537696e+03 1.980530e+00 2.155423e-03
3.019942e-05 4.818000e+00 4.028000e+00 -2.562459e+00 7.318677e+00 -1.716186e-02 4.872605e+09 1.446275e+03 2.002947e+00 2.154469e-03
3.162267e-05 4.818000e+00 4.028000e+00 -2.562459e+00 7.318720e+00 7.630355e-03 4.763245e+09 1.455014e+03 2.216014e+00 2.126217e-03
3.311300e-05 4.818000e+00 4.028000e+00 -2.562459e+00 7.318760e+00 -3.816690e-03 4.692551e+09 1.469466e+03 1.984273e+00 2.107739e-03
3.467357e-05 4.818000e+00 4.028000e+00 -2.562459e+00 7.318796e+00 -3.814992e-03 4.587069e+09 1.411320e+03 2.007268e+00 2.103806e-03
3.630768e-05 4.818000e+00 4.028000e+00 -2.562460e+00 7.318841e+00 -7.629097e-03 4.407158e+09 1.353509e+03 2.196580e+00 2.128243e-03
3.801881e-05 4.818000e+00 4.028000e+00 -2.562460e+00 7.318888e+00 3.814100e-03 4.401427e+09 1.368970e+03 1.989288e+00 2.085090e-03
3.981058e-05 4.818000e+00 4.028000e+00 -2.562460e+00 7.318917e+00 -5.721734e-03 4.333766e+09 1.288304e+03 2.136605e+00 2.066374e-03
4.168679e-05 4.818000e+00 4.028000e+00 -2.562460e+00 7.318933e+00 -4.110938e-06 4.158240e+09 1.200580e+03 1.854557e+00 2.063990e-03
4.365143e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.318969e+00 -1.906575e-03 4.054195e+09 1.151844e+03 2.171280e+00 2.040148e-03
4.570865e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319005e+00 3.812048e-03 4.038640e+09 1.174699e+03 1.986644e+00 2.019763e-03
4.786283e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319025e+00 -3.815241e-03 3.997179e+09 1.234190e+03 1.877225e+00 1.975060e-03
5.011854e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319068e+00 -1.908714e-03 3.931173e+09 1.167977e+03 1.853163e+00 1.974821e-03
5.248055e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319111e+00 5.722930e-03 3.954834e+09 1.183774e+03 2.154759e+00 1.959920e-03
5.495388e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319150e+00 5.718499e-03 3.870643e+09 1.167305e+03 2.068262e+00 1.958609e-03
5.754377e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319208e+00 3.814200e-03 3.868223e+09 1.150499e+03 2.144131e+00 1.924753e-03
6.025572e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319245e+00 9.534010e-03 3.773586e+09 1.181085e+03 1.883290e+00 1.926661e-03
6.309548e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319297e+00 -9.538507e-03 3.732932e+09 1.085967e+03 1.828621e+00 1.894832e-03
6.606908e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319344e+00 3.647215e-07 3.747946e+09 1.098739e+03 1.890235e+00 1.881242e-03
6.918282e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319405e+00 -1.907932e-03 3.749620e+09 1.093025e+03 1.992417e+00 1.863360e-03
7.244330e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319458e+00 -2.892783e-06 3.632854e+09 1.150499e+03 1.991811e+00 1.855969e-03
7.585745e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319530e+00 3.809438e-03 3.710790e+09 1.108822e+03 1.955860e+00 1.827717e-03
7.943250e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319592e+00 -3.895577e-06 3.665795e+09 1.125964e+03 2.055041e+00 1.801610e-03
8.317603e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319650e+00 -1.905975e-03 3.638712e+09 1.047986e+03 2.026792e+00 1.786232e-03
8.709598e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319705e+00 -2.254711e-06 3.652452e+09 1.103780e+03 2.094270e+00 1.782060e-03
9.120069e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319757e+00 1.905362e-03 3.607455e+09 1.066136e+03 1.896250e+00 1.735091e-03
9.549884e-05 4.818000e+00 4.028000e+00 -2.562461e+00 7.319814e+00 -7.625487e-03 3.525117e+09 9.831174e+02 1.744128e+00 1.741052e-03
1.000000e-04 4.818000e+00 4.028000e+00 -2.562461e+00 7.319859e+00 -1.908198e-03 3.556425e+09 1.013367e+03 1.867603e+00 1.714587e-03
1.047129e-04 4.818000e+00 4.028000e+00 -2.562461e+00 7.319902e+00 3.814313e-03 3.533080e+09 9.985784e+02 2.000401e+00 1.670957e-03
1.096478e-04 4.818000e+00 4.028000e+00 -2.562461e+00 7.319941e+00 -3.815813e-03 3.578398e+09 1.118905e+03 2.126462e+00 1.663089e-03
1.148153e-04 4.818000e+00 4.028000e+00 -2.562461e+00 7.319980e+00 -1.904249e-03 3.515566e+09 1.061767e+03 2.074343e+00 1.644492e-03
1.202264e-04 4.818000e+00 4.028000e+00 -2.562461e+00 7.320014e+00 2.753152e-06 3.573541e+09 1.024795e+03 1.970944e+00 1.615882e-03
1.258925e-04 4.818000e+00 4.028000e+00 -2.562004e+00 7.319359e+00 3.622328e-02 3.565388e+09 1.047650e+03 2.070466e+00 1.646519e-03
1.318256e-04 4.818000e+00 4.028000e+00 -2.561816e+00 7.319080e+00 3.622395e-02 3.680482e+09 1.072522e+03 1.919857e+00 1.637459e-03
1.380384e-04 4.818000e+00 4.028000e+00 -2.560596e+00 7.317414e+00 1.182062e-01 3.773744e+09 1.094033e+03 2.100387e+00 1.727819e-03
1.445439e-04 4.818000e+00 4.028000e+00 -2.560370e+00 7.317088e+00 1.029553e-01 3.911340e+09 1.140752e+03 1.934490e+00 1.739025e-03
1.513561e-04 4.818000e+00 4.028000e+00 -2.559463e+00 7.315694e+00 1.448984e-01 4.050328e+09 1.209991e+03 1.954668e+00 1.801491e-03
1.584892e-04 4.818000e+00 4.028000e+00 -2.557452e+00 7.312685e+00 1.773065e-01 4.440965e+09 1.365273e+03 1.764408e+00 1.990080e-03
1.659586e-04 4.818000e+00 4.028000e+00 -2.550790e+00 7.302733e+00 3.813200e-01 5.288795e+09 1.600549e+03 1.654218e+00 2.664804e-03
1.737800e-04 4.818000e+00 4.028000e+00 -2.542202e+00 7.289587e+00 5.433728e-01 6.969139e+09 2.206216e+03 1.322825e+00 3.539085e-03
1.819700e-04 4.818000e+00 4.028000e+00 -2.529273e+00 7.270572e+00 6.367975e-01 9.294075e+09 2.868350e+03 1.029299e+00 4.784703e-03
1.905460e-04 4.818000e+00 4.028000e+00 -2.506561e+00 7.235857e+00 7.283113e-01 1.266221e+10 4.099515e+03 8.371400e-01 7.133722e-03
1.995261e-04 4.818000e+00 4.028000e+00 -2.475447e+00 7.189487e+00 7.969515e-01 1.711764e+10 5.539068e+03 5.431848e-01 1.027179e-02
2.089295e-04 4.818000e+00 4.028000e+00 -2.438837e+00 7.135832e+00 7.893243e-01 2.329895e+10 7.425645e+03 4.226084e-01 1.384544e-02
2.187760e-04 4.818000e+00 4.028000e+00 -2.371989e+00 7.035194e+00 9.437646e-01 3.242204e+10 1.043449e+04 2.609521e-01 2.066994e-02
2.290866e-04 4.818000e+00 4.028000e+00 -2.287679e+00 6.905747e+00 9.494786e-01 4.250048e+10 1.360534e+04 1.500688e-01 2.944326e-02
2.398831e-04 4.818000e+00 4.028000e+00 -2.181411e+00 6.745009e+00 1.029561e+00 5.480036e+10 1.753680e+04 9.183168e-02 4.033327e-02
2.511884e-04 4.818000e+00 4.028000e+00 -2.050529e+00 6.547905e+00 1.044802e+00 6.449061e+10 2.071235e+04 2.658904e-02 5.355179e-02
2.630266e-04 4.818000e+00 4.028000e+00 -1.893064e+00 6.309169e+00 1.075313e+00 7.214377e+10 2.312762e+04 4.827499e-03 6.931090e-02
2.754226e-04 4.818000e+00 4.028000e+00 -1.717018e+00 6.040827e+00 9.876089e-01 7.462391e+10 2.394168e+04 -4.747450e-03 8.692443e-02
2.884029e-04 4.818000e+00 4.028000e+00 -1.512344e+00 5.730149e+00 8.427091e-01 7.403003e+10 2.372640e+04 -7.828772e-03 1.084720e-01
3.019948e-04 4.818000e+00 4.028000e+00 -1.315104e+00 5.427518e+00 9.132580e-01 6.841255e+10 2.192032e+04 -1.720518e-02 1.329834e-01
3.162274e-04 4.818000e+00 4.028000e+00 -1.138618e+00 5.163076e+00 9.933395e-01 6.094476e+10 1.953362e+04 -1.269394e-02 1.528097e-01
3.311308e-04 4.818000e+00 4.028000e+00 -9.527794e-01 4.878806e+00 1.042902e+00 5.271741e+10 1.689109e+04 -8.756101e-03 1.664681e-01
3.467364e-04 4.818000e+00 4.028000e+00 -7.888077e-01 4.626359e+00 8.789303e-01 4.114489e+10 1.318944e+04 -1.356304e-02 1.746172e-01
3.630776e-04 4.818000e+00 4.028000e+00 -6.432415e-01 4.406043e+00 8.083943e-01 3.228780e+10 1.035054e+04 3.423095e-03 1.780648e-01
3.801889e-04 4.818000e+00 4.028000e+00 -5.203273e-01 4.213768e+00 1.109636e+00 2.507805e+10 8.038959e+03 2.840400e-03 1.762724e-01
3.981066e-04 4.818000e+00 4.028000e+00 -4.048016e-01 4.037404e+00 8.140885e-01 1.875443e+10 6.012687e+03 -1.077473e-03 1.680628e-01
4.168688e-04 4.818000e+00 4.028000e+00 -3.189928e-01 3.901949e+00 8.617732e-01 1.411199e+10 4.523931e+03 1.554477e-02 1.574647e-01
4.365152e-04 4.818000e+00 4.028000e+00 -2.496180e-01 3.791646e+00 1.090570e+00 1.051939e+10 3.372397e+03 1.862955e-02 1.466848e-01
4.570875e-04 4.818000e+00 4.028000e+00 -1.863209e-01 3.695379e+00 9.780817e-01 7.823461e+09 2.507700e+03 8.960724e-03 1.317276e-01
4.786294e-04 4.818000e+00 4.028000e+00 -1.301494e-01 3.606927e+00 1.244998e+00 5.889037e+09 1.887689e+03 1.383567e-02 1.167127e-01
5.011865e-04 4.818000e+00 4.028000e+00 -9.224609e-02 3.545117e+00 1.122990e+00 4.400915e+09 1.410683e+03 2.674925e-02 1.049255e-01
5.248066e-04 4.818000e+00 4.028000e+00 -5.364452e-02 3.484421e+00 7.950524e-01 3.349489e+09 1.073634e+03 2.638078e-02 9.122586e-02
5.495400e-04 4.818000e+00 4.028000e+00 -2.911139e-02 3.443896e+00 1.109629e+00 2.580544e+09 8.271501e+02 1.545966e-02 8.216858e-02
5.754390e-04 4.818000e+00 4.028000e+00 -5.328790e-04 3.397574e+00 8.427241e-01 1.985417e+09 6.364027e+02 2.116728e-02 7.008755e-02
6.025585e-04 4.818000e+00 4.028000e+00 1.776632e-02 3.367746e+00 1.020025e+00 1.544496e+09 4.950697e+02 1.759291e-02 6.185317e-02
6.309563e-04 4.818000e+00 4.028000e+00 3.214232e-02 3.343009e+00 1.296448e+00 1.215602e+09 3.896462e+02 1.809263e-02 5.504096e-02
6.606923e-04 4.818000e+00 4.028000e+00 5.051883e-02 3.312634e+00 1.096251e+00 9.577650e+08 3.069839e+02 1.339662e-02 4.659212e-02
6.918297e-04 4.818000e+00 4.028000e+00 6.460140e-02 3.292459e+00 8.370013e-01 7.766561e+08 2.489737e+02 1.760375e-02 4.085481e-02
7.244346e-04 4.818000e+00 4.028000e+00 7.140964e-02 3.278415e+00 1.004749e+00 6.330637e+08 2.028910e+02 3.156674e-02 3.642130e-02
7.585761e-04 4.818000e+00 4.028000e+00 7.925937e-02 3.264051e+00 6.883462e-01 5.218445e+08 1.672773e+02 2.841520e-02 3.220773e-02
7.943267e-04 4.818000e+00 4.028000e+00 8.842193e-02 3.245131e+00 1.079162e+00 4.312600e+08 1.381426e+02 1.517761e-02 2.729237e-02
8.317621e-04 4.818000e+00 4.028000e+00 9.265746e-02 3.237894e+00 7.836002e-01 3.608356e+08 1.157966e+02 1.202309e-02 2.535677e-02
8.709618e-04 4.818000e+00 4.028000e+00 9.910547e-02 3.225528e+00 1.111552e+00 3.098335e+08 9.923866e+01 1.279223e-02 2.234781e-02
9.120089e-04 4.818000e+00 4.028000e+00 1.029158e-01 3.217491e+00 9.552537e-01 2.630409e+08 8.425951e+01 1.578128e-02 2.010846e-02
9.549905e-04 4.818000e+00 4.028000e+00 1.053903e-01 3.207826e+00 8.236995e-01 2.285183e+08 7.327690e+01 1.819444e-02 1.832986e-02
