#./underdamped_3d --dev=3 --amp=4.818 --omega=4.028 --force=0.01925 --gam=0.1 --Dg=4e-06 --block=1024 --paths=262144 --periods=250000 --trans=249750 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=a:4.818:4.818:1:0 --domainy=w:4.028:4.028:1:0 --domainz=g:0.005:0.0325:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-gaw-f0.01925-D4e-06-a4.818-w4.028-spp200-part0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.462500e-02 4.818000e+00 4.028000e+00 -2.566938e+00 7.318086e+00 5.073043e-01 1.189702e+10 1.496599e+04 3.489724e+01 7.561445e-04
1.490000e-02 4.818000e+00 4.028000e+00 -2.566327e+00 7.317279e+00 1.849936e-01 3.526647e+10 4.493401e+04 7.964367e+00 8.136034e-04
1.517500e-02 4.818000e+00 4.028000e+00 -2.501842e+00 7.311331e+00 6.675034e-01 1.410124e+11 1.805323e+05 3.120768e+00 1.315117e-03
1.545000e-02 4.818000e+00 4.028000e+00 -2.219609e+00 7.306189e+00 1.375060e+00 3.325946e+11 4.262614e+05 1.021201e+00 1.733184e-03
1.572500e-02 4.818000e+00 4.028000e+00 -1.865849e+00 7.311711e+00 1.727884e+00 4.974933e+11 6.378045e+05 2.865943e-01 1.358628e-03
1.600000e-02 4.818000e+00 4.028000e+00 -1.620413e+00 7.318079e+00 1.897626e+00 5.924348e+11 7.595454e+05 1.278389e-02 8.521080e-04
1.627500e-02 4.818000e+00 4.028000e+00 -1.452640e+00 7.324030e+00 1.960559e+00 6.529301e+11 8.371945e+05 -1.278813e-01 3.404617e-04
1.655000e-02 4.818000e+00 4.028000e+00 -1.367163e+00 7.325877e+00 2.029215e+00 6.829933e+11 8.755670e+05 -1.920579e-01 1.165867e-04
1.682500e-02 4.818000e+00 4.028000e+00 -1.300667e+00 7.327547e+00 2.010146e+00 7.063029e+11 9.054771e+05 -2.387773e-01 -3.832579e-05
1.710000e-02 4.818000e+00 4.028000e+00 -1.242729e+00 7.328599e+00 1.968183e+00 7.266069e+11 9.316634e+05 -2.830818e-01 -1.249909e-04
1.737500e-02 4.818000e+00 4.028000e+00 -1.188164e+00 7.329831e+00 1.989168e+00 7.456650e+11 9.561468e+05 -3.216310e-01 -2.368093e-04
1.765000e-02 4.818000e+00 4.028000e+00 -1.154828e+00 7.330673e+00 1.970093e+00 7.580964e+11 9.719838e+05 -3.447009e-01 -3.502965e-04
1.792501e-02 4.818000e+00 4.028000e+00 -1.124345e+00 7.331348e+00 2.050202e+00 7.696731e+11 9.867481e+05 -3.645748e-01 -4.313588e-04
1.820001e-02 4.818000e+00 4.028000e+00 -1.092159e+00 7.331505e+00 2.059725e+00 7.814396e+11 1.001911e+06 -3.872590e-01 -4.807115e-04
