# D P P-Pmin Pmax-P
1.000000e-06 3.220000e-04 3.420900e-05 3.715557e-05
2.154435e-06 3.340000e-04 3.485823e-05 3.780376e-05
3.162278e-06 3.520000e-04 3.581056e-05 3.875462e-05
4.641592e-06 3.300000e-04 3.464314e-05 3.758901e-05
6.812923e-06 3.730000e-04 3.689129e-05 3.983376e-05
1.000001e-05 3.460000e-04 3.549589e-05 3.844042e-05
1.467800e-05 3.650000e-04 3.648327e-05 3.942633e-05
2.154438e-05 3.880000e-04 3.764469e-05 4.058610e-05
3.162281e-05 4.010000e-04 3.828592e-05 4.122645e-05
4.641597e-05 4.420000e-04 4.024282e-05 4.318082e-05
6.812931e-05 5.070000e-04 4.316741e-05 4.610198e-05
1.000002e-04 5.300000e-04 4.415678e-05 4.709028e-05
1.467801e-04 5.780000e-04 4.615453e-05 4.908597e-05
2.154438e-04 5.910000e-04 4.668114e-05 4.961206e-05
3.162281e-04 5.770000e-04 4.611378e-05 4.904526e-05
4.641595e-04 5.590000e-04 4.537408e-05 4.830631e-05
6.812927e-04 4.910000e-04 4.246583e-05 4.540119e-05
1.000001e-03 4.190000e-04 3.915683e-05 4.209620e-05
1.467800e-03 3.150000e-04 3.382467e-05 3.677188e-05
2.154437e-03 1.550000e-04 2.343937e-05 2.641051e-05
3.162279e-03 1.200000e-05 5.799410e-06 8.961491e-06
4.641592e-03 0.000000e+00 NaN 3.688872e-06
6.812923e-03 0.000000e+00 NaN 3.688872e-06
1.000000e-02 0.000000e+00 NaN 3.688872e-06
