#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=10 --skew=0.99 --distribution=s>> journal_3_s_10_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-03 9.746038e-01 1.079118e+00 7.349008e+07 5.848081e+03 -7.347107e-03 4.211664e-04
1.039122e-03 8.896059e-01 9.486444e-01 5.296324e+07 4.214494e+03 5.466413e-02 4.568100e-04
1.079775e-03 9.056761e-01 9.602392e-01 5.208534e+07 4.144646e+03 -5.995250e-02 4.367828e-04
1.122018e-03 8.721144e-01 9.288222e-01 5.390454e+07 4.289492e+03 1.613879e-02 4.467964e-04
1.165914e-03 9.565750e-01 9.679840e-01 5.360548e+07 4.265608e+03 4.558921e-03 5.085468e-04
1.211527e-03 1.033775e+00 1.020503e+00 5.283887e+07 4.204480e+03 -6.738883e-02 4.503727e-04
1.258925e-03 1.025468e+00 1.000113e+00 4.963209e+07 3.949196e+03 -4.325801e-02 4.373789e-04
1.308177e-03 9.386757e-01 9.506942e-01 4.279788e+07 3.405538e+03 -3.395528e-02 4.036427e-04
1.359356e-03 1.053701e+00 1.014354e+00 4.846822e+07 3.856719e+03 3.195310e-02 4.121065e-04
1.412537e-03 1.021140e+00 9.876000e-01 4.252038e+07 3.383534e+03 1.971328e-02 4.395247e-04
1.467799e-03 9.564457e-01 1.028487e+00 4.560342e+07 3.628839e+03 -6.910628e-02 4.366636e-04
1.525222e-03 1.018976e+00 1.035990e+00 4.622811e+07 3.678367e+03 -8.568907e-02 4.690886e-04
1.584893e-03 1.045502e+00 1.006173e+00 3.981908e+07 3.168551e+03 -6.668276e-02 4.596710e-04
1.646897e-03 1.037299e+00 9.744252e-01 3.766113e+07 2.996710e+03 1.228344e-02 4.477501e-04
1.711327e-03 9.325886e-01 1.013103e+00 3.864196e+07 3.074882e+03 1.143909e-02 4.538298e-04
1.778278e-03 9.643824e-01 9.777364e-01 3.400346e+07 2.705774e+03 -5.481380e-02 4.494190e-04
1.847849e-03 9.172904e-01 9.746813e-01 3.251359e+07 2.587177e+03 -1.145862e-01 4.012585e-04
1.920141e-03 1.007205e+00 1.015099e+00 3.420499e+07 2.721866e+03 2.600145e-02 4.222393e-04
