#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=1 --skew=0.99 --distribution=s>> journal_3_s_1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
7.079445e-03 3.669001e+00 9.950297e-01 8.157258e+05 6.477734e+01 -5.640632e-02 4.607439e-04
7.356409e-03 3.723609e+00 1.006748e+00 7.815849e+05 6.328510e+01 -1.472157e-02 4.620552e-04
7.644208e-03 3.778323e+00 1.020556e+00 7.614139e+05 6.008163e+01 -2.067417e-02 4.847050e-04
7.943267e-03 3.825827e+00 1.016033e+00 7.277709e+05 5.802916e+01 1.711631e-02 4.894733e-04
8.254025e-03 3.869689e+00 1.001417e+00 6.782896e+05 5.445391e+01 3.091812e-03 4.729033e-04
8.576942e-03 3.911566e+00 9.845132e-01 6.353916e+05 5.042538e+01 -4.652977e-02 4.873276e-04
8.912491e-03 3.946493e+00 9.778265e-01 5.982952e+05 4.849005e+01 -4.634494e-02 4.817247e-04
9.261168e-03 3.980909e+00 9.908711e-01 5.805059e+05 4.497082e+01 -1.980144e-02 4.950762e-04
9.623486e-03 4.007881e+00 1.002925e+00 5.655565e+05 4.494026e+01 -5.353850e-02 4.775524e-04
9.999978e-03 4.027558e+00 1.004616e+00 5.432643e+05 4.211876e+01 -2.760160e-02 4.849434e-04
1.039120e-02 4.044049e+00 9.966382e-01 5.064357e+05 4.079459e+01 -2.107042e-02 4.466772e-04
1.079773e-02 4.051822e+00 1.004671e+00 4.888522e+05 3.829395e+01 -2.789259e-03 4.847050e-04
1.122016e-02 4.053249e+00 1.007692e+00 4.576082e+05 3.405661e+01 2.630353e-02 4.850626e-04
1.165912e-02 4.051815e+00 9.913508e-01 4.217569e+05 3.335378e+01 2.677464e-02 4.860163e-04
1.211525e-02 4.045560e+00 9.750577e-01 3.915601e+05 3.095500e+01 1.365435e-02 4.777908e-04
1.258922e-02 4.029969e+00 9.726545e-01 3.755380e+05 2.836778e+01 2.078140e-02 4.904270e-04
1.308174e-02 4.008614e+00 9.890187e-01 3.679339e+05 3.022671e+01 -2.229702e-02 5.071163e-04
1.359353e-02 3.981349e+00 9.902961e-01 3.454574e+05 2.701305e+01 1.412153e-03 5.278587e-04
1.412534e-02 3.949996e+00 1.000656e+00 3.325169e+05 2.743576e+01 -7.221162e-03 5.114079e-04
1.467795e-02 3.910801e+00 9.942160e-01 3.154493e+05 2.455824e+01 2.862537e-02 5.455017e-04
1.525219e-02 3.865116e+00 9.925634e-01 2.921227e+05 2.465501e+01 8.031964e-03 5.615950e-04
1.584889e-02 3.816141e+00 9.926595e-01 2.793201e+05 2.262801e+01 -3.508389e-03 5.569458e-04
1.646893e-02 3.760245e+00 9.802432e-01 2.550559e+05 2.178767e+01 4.170465e-02 4.979372e-04
1.711324e-02 3.699596e+00 1.011509e+00 2.525543e+05 1.958752e+01 -8.346617e-03 5.393028e-04
1.778275e-02 3.634103e+00 9.949216e-01 2.331142e+05 1.974030e+01 -3.068632e-02 5.376339e-04
1.847845e-02 3.564601e+00 1.006915e+00 2.249857e+05 1.830409e+01 -3.296077e-03 5.880594e-04
1.920136e-02 3.490918e+00 1.002931e+00 2.119188e+05 1.600717e+01 -1.447916e-03 5.725622e-04
1.995257e-02 3.413171e+00 9.844329e-01 1.966818e+05 1.662341e+01 1.877522e-02 5.637407e-04
2.073316e-02 3.334935e+00 9.823137e-01 1.855563e+05 1.614977e+01 -1.046455e-02 6.123781e-04
2.154428e-02 3.255594e+00 9.959093e-01 1.797901e+05 1.531452e+01 -1.669914e-02 6.351471e-04
2.238715e-02 3.171388e+00 9.960054e-01 1.697390e+05 1.289537e+01 -2.731532e-02 6.251335e-04
2.326298e-02 3.085547e+00 9.882547e-01 1.603863e+05 1.285717e+01 -1.185977e-02 6.804466e-04
2.417308e-02 2.999721e+00 9.963641e-01 1.510327e+05 1.257197e+01 -2.168238e-02 6.531477e-04
2.511879e-02 2.911527e+00 9.920844e-01 1.443979e+05 1.158648e+01 1.225185e-02 6.698370e-04
2.610149e-02 2.823440e+00 1.001437e+00 1.378878e+05 1.099315e+01 3.803134e-03 6.837845e-04
2.712264e-02 2.736187e+00 1.000453e+00 1.305822e+05 9.913443e+00 5.098343e-03 7.181168e-04
2.818374e-02 2.648417e+00 9.835352e-01 1.219588e+05 9.684259e+00 1.088631e-02 7.030964e-04
2.928635e-02 2.559880e+00 9.995477e-01 1.180371e+05 9.064192e+00 -7.086992e-04 7.627010e-04
3.043210e-02 2.474005e+00 9.931068e-01 1.105237e+05 8.706411e+00 -1.540303e-03 7.301569e-04
3.162267e-02 2.388192e+00 9.748844e-01 1.035358e+05 8.921589e+00 2.305460e-02 7.823706e-04
3.285982e-02 2.304069e+00 9.829555e-01 9.929239e+04 7.792226e+00 2.251327e-02 8.090734e-04
